timestamp,cpu_usage,cpu_power_draw,dram_usage,dram_power_draw,gpu_name,gpu_index,gpu_power_draw,utilization_gpu,utilization_memory,pcie_link_gen_current,pcie_link_width_current,temperature_gpu,temperature_memory,clocks_gr,clocks_mem,clocks_sm
2025-03-29 17:51:37.8,99.70 %,416.59 W,13.10 %,28.99 W,NVIDIA RTX A6000,0,54.17 W,0 %,0 %,4,4,47 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:51:37.8,99.70 %,416.59 W,13.10 %,28.99 W,NVIDIA RTX A6000,1,33.91 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:51:37.8,99.70 %,416.59 W,13.10 %,28.99 W,NVIDIA RTX A6000,2,9.63 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:51:37.8,99.70 %,416.59 W,13.10 %,28.99 W,NVIDIA RTX A6000,3,9.15 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:51:42.8,100.00 %,469.10 W,13.10 %,31.13 W,NVIDIA RTX A6000,0,54.21 W,0 %,0 %,4,4,47 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:51:42.8,100.00 %,469.10 W,13.10 %,31.13 W,NVIDIA RTX A6000,1,33.86 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:51:42.8,100.00 %,469.10 W,13.10 %,31.13 W,NVIDIA RTX A6000,2,8.40 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:51:42.8,100.00 %,469.10 W,13.10 %,31.13 W,NVIDIA RTX A6000,3,8.40 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:51:47.8,100.00 %,507.13 W,13.10 %,31.91 W,NVIDIA RTX A6000,0,54.24 W,0 %,0 %,4,4,46 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:51:47.8,100.00 %,507.13 W,13.10 %,31.91 W,NVIDIA RTX A6000,1,33.99 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:51:47.8,100.00 %,507.13 W,13.10 %,31.91 W,NVIDIA RTX A6000,2,9.16 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:51:47.8,100.00 %,507.13 W,13.10 %,31.91 W,NVIDIA RTX A6000,3,8.45 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:51:52.8,100.00 %,459.63 W,13.10 %,34.79 W,NVIDIA RTX A6000,0,54.12 W,0 %,0 %,4,4,46 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:51:52.8,100.00 %,459.63 W,13.10 %,34.79 W,NVIDIA RTX A6000,1,33.91 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
