Linux 5.15.0-119-generic (node1) 	05/07/2025 	_x86_64_	(64 CPU)

01:35:39 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:35:40 PM     0   1348690  55083.00      0.00 30208668 3455052   1.31  python
01:35:41 PM     0   1348690  82443.00      0.00 35910696 8721528   3.31  python
01:35:42 PM     0   1348690  73327.00      0.00 31280012 3664948   1.39  python
01:35:43 PM     0   1348690 142629.00      0.00 32179916 1331796   0.50  python
01:35:44 PM     0   1348690    177.00      0.00 32179916 1331928   0.50  python
01:35:45 PM     0   1348690    423.00      0.00 32253648 1332008   0.50  python
01:35:46 PM     0   1348690     31.00      0.00 32245452 1332016   0.50  python
01:35:47 PM     0   1348690    971.00      0.00 32245452 1332092   0.51  python
01:35:48 PM     0   1348690     44.55      0.00 32245452 1332096   0.51  python
01:35:49 PM     0   1348690    843.00      0.00 32245452 1332104   0.51  python
01:35:50 PM     0   1348690    242.00      0.00 32245452 1332152   0.51  python
01:35:51 PM     0   1348690     40.00      0.00 32245452 1332136   0.51  python
01:35:52 PM     0   1348690    150.00      0.00 32245452 1332144   0.51  python
01:35:53 PM     0   1348690  65640.00      0.00 32200740 1340628   0.51  python
