Linux 5.15.0-119-generic (node1) 	05/07/2025 	_x86_64_	(64 CPU)

01:30:38 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:30:39 PM     0   1336725   79.00   21.00    0.00    0.00  100.00     9  python
01:30:40 PM     0   1336725   73.00   27.00    0.00    0.00  100.00     9  python
01:30:41 PM     0   1336725   66.00   33.00    0.00    0.00   99.00     9  python
01:30:42 PM     0   1336725  101.00    0.00    0.00    0.00  101.00     9  python
01:30:43 PM     0   1336725  100.00    0.00    0.00    0.00  100.00     9  python
01:30:44 PM     0   1336725  100.00    0.00    0.00    0.00  100.00     9  python
01:30:45 PM     0   1336725  100.00    0.00    0.00    0.00  100.00     9  python
01:30:46 PM     0   1336725  100.00    0.00    0.00    0.00  100.00     9  python
01:30:47 PM     0   1336725  100.00    0.00    0.00    0.00  100.00     9  python
01:30:48 PM     0   1336725  100.00    0.00    0.00    0.00  100.00     9  python
01:30:49 PM     0   1336725  100.00    0.00    0.00    0.00  100.00     9  python
01:30:50 PM     0   1336725  100.00    0.00    0.00    0.00  100.00     9  python
01:30:51 PM     0   1336725   83.00   18.00    0.00    0.00  101.00     9  python
