Linux 5.15.0-119-generic (node1) 	05/07/2025 	_x86_64_	(64 CPU)

01:31:54 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:55 PM     0   1339260  57820.00      0.00 30600836 3818860   1.45  python
01:31:56 PM     0   1339260  84749.00      0.00 36433936 9233504   3.50  python
01:31:57 PM     0   1339260  73378.00      0.00 31737848 2905544   1.10  python
01:31:58 PM     0   1339260 135497.00      0.00 31589020 1330472   0.50  python
01:31:59 PM     0   1339260    286.00      0.00 31589020 1330520   0.50  python
01:32:00 PM     0   1339260     71.00      0.00 31589020 1330524   0.50  python
01:32:01 PM     0   1339260    575.00      0.00 31589020 1330528   0.50  python
01:32:02 PM     0   1339260    783.00      0.00 31589020 1330528   0.50  python
01:32:03 PM     0   1339260    125.00      0.00 31589020 1330528   0.50  python
01:32:04 PM     0   1339260   1321.00      0.00 31589020 1330536   0.50  python
01:32:05 PM     0   1339260    143.00      0.00 31589020 1330548   0.50  python
01:32:06 PM     0   1339260     10.00      0.00 31589020 1330548   0.50  python
01:32:07 PM     0   1339260  33429.00      0.00 31591420 1330960   0.50  python
