Linux 5.15.0-119-generic (node1) 	05/16/2025 	_x86_64_	(64 CPU)

07:56:52 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:56:53 PM     0   2215554   3206.00      0.00 9064280  634552   0.24  python
07:56:54 PM     0   2215554     11.00      0.00 9064280  634552   0.24  python
07:56:55 PM     0   2215554      4.00      0.00 9064280  634552   0.24  python
07:56:56 PM     0   2215554    263.00      0.00 9064280  635292   0.24  python
07:56:57 PM     0   2215554  43739.00      0.00 28848672 2085100   0.79  python
07:56:58 PM     0   2215554  88445.00      0.00 34984880 7718120   2.93  python
07:56:59 PM     0   2215554  72145.00      0.00 30256024 2587924   0.98  python
07:57:00 PM     0   2215554 151518.00      0.00 36293056 1301312   0.49  python
07:57:01 PM     0   2215554   6101.00      0.00 37043204 1327080   0.50  python
07:57:02 PM     0   2215554    291.00      0.00 37043204 1327116   0.50  python
07:57:03 PM     0   2215554    113.00      0.00 37043204 1327116   0.50  python
07:57:04 PM     0   2215554  59280.00      0.00 37038300 1335304   0.51  python
