Linux 5.15.0-119-generic (node1) 	05/07/2025 	_x86_64_	(64 CPU)

04:22:40 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:41 PM     0   1762421  77073.00      0.00 31944492 5051876   1.92  python
04:22:42 PM     0   1762421  85477.00      0.00 37810360 3775348   1.43  python
04:22:43 PM     0   1762421  62692.00      0.00 28347044  787776   0.30  python
04:22:44 PM     0   1762421 123477.00      0.00 77294352 1307452   0.50  python
04:22:45 PM     0   1762421    132.00      0.00 82504464 1307464   0.50  python
04:22:46 PM     0   1762421    144.00      0.00 87714708 1307480   0.50  python
04:22:47 PM     0   1762421    546.00      0.00 92924820 1307496   0.50  python
04:22:48 PM     0   1762421    213.00      0.00 94661524 1307512   0.50  python
04:22:49 PM     0   1762421     77.00      0.00 94661524 1307512   0.50  python
04:22:50 PM     0   1762421    194.00      0.00 94661524 1307524   0.50  python
04:22:51 PM     0   1762421      8.00      0.00 94661524 1307524   0.50  python
04:22:52 PM     0   1762421      5.00      0.00 94661524 1307524   0.50  python
04:22:53 PM     0   1762421      2.00      0.00 94661524 1307524   0.50  python
04:22:54 PM     0   1762421     77.00      0.00 94661524 1307532   0.50  python
04:22:55 PM     0   1762421   1111.00      0.00 91384724 1307532   0.50  python
04:22:56 PM     0   1762421      0.00      0.00 91384724 1307532   0.50  python
04:22:57 PM     0   1762421      0.00      0.00 91384724 1307532   0.50  python
04:22:58 PM     0   1762421      0.00      0.00 91384724 1307532   0.50  python
04:22:59 PM     0   1762421      0.00      0.00 91384724 1307532   0.50  python
04:23:00 PM     0   1762421    134.00      0.00 91384724 1307532   0.50  python
04:23:01 PM     0   1762421      0.00      0.00 91384724 1307532   0.50  python
04:23:02 PM     0   1762421      0.00      0.00 91384724 1307532   0.50  python
04:23:03 PM     0   1762421      0.00      0.00 91384724 1307532   0.50  python
04:23:04 PM     0   1762421      0.00      0.00 91384724 1307532   0.50  python
04:23:05 PM     0   1762421      0.00      0.00 91384724 1307532   0.50  python
04:23:06 PM     0   1762421      0.00      0.00 91384724 1307532   0.50  python
04:23:07 PM     0   1762421      0.00      0.00 91384724 1307532   0.50  python
04:23:08 PM     0   1762421      0.00      0.00 91384724 1307532   0.50  python
04:23:09 PM     0   1762421      0.00      0.00 91384724 1307532   0.50  python
04:23:10 PM     0   1762421   8817.00      0.00 91413876 1333224   0.51  python
04:23:11 PM     0   1762421     97.00      0.00 91413876 1333252   0.51  python
04:23:12 PM     0   1762421    548.00      0.00 91413876 1333280   0.51  python
04:23:13 PM     0   1762421    811.00      0.00 91413876 1333288   0.51  python
04:23:14 PM     0   1762421     12.00      0.00 91413876 1333288   0.51  python
04:23:15 PM     0   1762421    786.00      0.00 91413876 1333288   0.51  python
04:23:16 PM     0   1762421     10.00      0.00 91413876 1333288   0.51  python
04:23:17 PM     0   1762421    125.00      0.00 91413876 1333288   0.51  python
04:23:18 PM     0   1762421      1.00      0.00 91413876 1333288   0.51  python
04:23:19 PM     0   1762421    750.00      0.00 91413876 1333292   0.51  python
04:23:20 PM     0   1762421    603.00      0.00 91413876 1333292   0.51  python
04:23:21 PM     0   1762421    313.00      0.00 94035316 1333292   0.51  python
04:23:22 PM     0   1762421      4.00      0.00 94035316 1333292   0.51  python
04:23:23 PM     0   1762421    779.00      0.00 94035316 1333312   0.51  python
04:23:24 PM     0   1762421      4.00      0.00 94035316 1333312   0.51  python
04:23:25 PM     0   1762421    129.00      0.00 94035316 1333312   0.51  python
04:23:26 PM     0   1762421      5.00      0.00 94035316 1333312   0.51  python
04:23:27 PM     0   1762421  48446.00      0.00 94037604 1333628   0.51  python
