timestamp,task_name,name,index,clocks.current.memory [MHz],sm_occupancy,utilization.gpu [%],pcie.link.gen.current,usage.memory [%],utilization.memory [%],clocks.current.graphics [MHz],sm_active,dram_power,nvlink_tx_bytes,cpu_power,pcie_tx_bytes,cpu_usage,tensor_active,dram_active,temperature.gpu,pcie_rx_bytes,power.draw [W],dram_usage,nvlink_rx_bytes,pcie.link.width.current,clocks.current.sm [MHz],temperature.memory
2025-05-07 14:32:53.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,0.00 %,0.00 %,4,17.23 %,0.00 %,1410 MHz,0.00 %,9.25 W,0.00 GB/s,157.53 W,0.12 GB/s,2.8 %,0.00 %,0.00 %,55.00 °C,0.05 GB/s,78.63 W,5.4 %,0.00 GB/s,16,1410 MHz,57.00 °C
2025-05-07 14:32:53.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,0.00 %,0.00 %,4,17.26 %,0.00 %,1410 MHz,0.00 %,9.33 W,0.00 GB/s,156.53 W,0.12 GB/s,3.4 %,0.00 %,0.00 %,56.00 °C,0.05 GB/s,78.63 W,5.4 %,0.00 GB/s,16,1410 MHz,57.00 °C
2025-05-07 14:32:53.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,0.00 %,0.00 %,4,20.45 %,0.00 %,1410 MHz,0.00 %,9.28 W,0.00 GB/s,155.28 W,0.12 GB/s,7.0 %,0.00 %,0.00 %,56.00 °C,0.05 GB/s,90.01 W,5.4 %,0.00 GB/s,16,1410 MHz,57.00 °C
2025-05-07 14:32:53.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,0.00 %,0.00 %,4,20.45 %,0.00 %,1410 MHz,0.00 %,9.02 W,0.00 GB/s,154.30 W,0.12 GB/s,3.7 %,0.00 %,0.00 %,56.00 °C,0.05 GB/s,87.41 W,5.5 %,0.00 GB/s,16,1410 MHz,57.00 °C
2025-05-07 14:32:54.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,6.00 %,4,23.93 %,0.00 %,1410 MHz,100.00 %,9.11 W,0.00 GB/s,148.36 W,0.09 GB/s,2.8 %,70.00 %,14.80 %,56.00 °C,0.05 GB/s,80.41 W,5.5 %,0.00 GB/s,16,1410 MHz,57.00 °C
2025-05-07 14:32:54.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,6.00 %,4,30.38 %,0.00 %,1095 MHz,100.00 %,9.15 W,0.00 GB/s,148.54 W,0.09 GB/s,3.0 %,69.90 %,14.10 %,61.00 °C,0.05 GB/s,404.56 W,5.5 %,0.00 GB/s,16,1095 MHz,57.00 °C
2025-05-07 14:32:54.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,94.00 %,4,30.38 %,22.00 %,1155 MHz,99.90 %,9.09 W,0.00 GB/s,153.51 W,0.08 GB/s,3.4 %,93.10 %,17.00 %,61.00 °C,0.05 GB/s,304.12 W,5.5 %,0.00 GB/s,16,1155 MHz,59.00 °C
2025-05-07 14:32:54.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,94.00 %,4,73.85 %,22.00 %,1080 MHz,100.00 %,9.14 W,0.00 GB/s,151.75 W,0.09 GB/s,4.6 %,70.10 %,13.50 %,61.00 °C,0.05 GB/s,297.51 W,5.5 %,0.00 GB/s,16,1080 MHz,61.00 °C
2025-05-07 14:32:54.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,73.85 %,33.00 %,1170 MHz,100.00 %,9.41 W,0.00 GB/s,158.59 W,0.09 GB/s,4.6 %,69.70 %,14.90 %,60.00 °C,0.04 GB/s,283.27 W,5.5 %,0.00 GB/s,16,1170 MHz,61.00 °C
2025-05-07 14:32:54.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,73.85 %,33.00 %,1170 MHz,100.00 %,9.36 W,0.00 GB/s,154.62 W,0.08 GB/s,5.1 %,90.70 %,20.60 %,62.00 °C,0.04 GB/s,290.11 W,5.5 %,0.00 GB/s,16,1170 MHz,61.00 °C
2025-05-07 14:32:54.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,100.00 %,100.00 %,4,73.85 %,24.00 %,1170 MHz,100.00 %,9.30 W,0.00 GB/s,151.22 W,0.07 GB/s,5.3 %,0.00 %,28.30 %,62.00 °C,0.04 GB/s,309.27 W,5.5 %,0.00 GB/s,16,1170 MHz,61.00 °C
2025-05-07 14:32:54.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,75.93 %,24.00 %,1080 MHz,100.00 %,9.46 W,0.00 GB/s,148.05 W,0.09 GB/s,6.2 %,69.90 %,16.70 %,61.00 °C,0.04 GB/s,312.66 W,5.5 %,0.00 GB/s,16,1080 MHz,61.00 °C
2025-05-07 14:32:54.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.40 %,100.00 %,4,75.93 %,31.00 %,1170 MHz,100.00 %,9.10 W,0.00 GB/s,152.74 W,0.08 GB/s,4.0 %,91.10 %,16.00 %,62.00 °C,0.04 GB/s,335.68 W,5.5 %,0.00 GB/s,16,1170 MHz,61.00 °C
2025-05-07 14:32:54.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.10 %,100.00 %,4,75.93 %,31.00 %,1140 MHz,97.10 %,9.04 W,0.00 GB/s,152.62 W,0.08 GB/s,3.7 %,88.10 %,18.10 %,62.00 °C,0.05 GB/s,313.47 W,5.5 %,0.00 GB/s,16,1140 MHz,61.00 °C
2025-05-07 14:32:55.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1512 MHz,12.50 %,100.00 %,4,78.00 %,31.00 %,1065 MHz,100.00 %,9.19 W,0.00 GB/s,152.53 W,0.09 GB/s,4.0 %,69.90 %,15.50 %,62.00 °C,0.05 GB/s,281.13 W,5.5 %,0.00 GB/s,16,1065 MHz,61.00 °C
