timestamp,task_name,name,index,sm_occupancy,clocks.current.sm [MHz],usage.memory [%],dram_power,nvlink_tx_bytes,temperature.memory,utilization.memory [%],nvlink_rx_bytes,clocks.current.memory [MHz],sm_active,dram_usage,power.draw [W],pcie_tx_bytes,cpu_power,clocks.current.graphics [MHz],pcie_rx_bytes,cpu_usage,dram_active,pcie.link.gen.current,pcie.link.width.current,temperature.gpu,utilization.gpu [%],tensor_active
2025-05-07 14:36:27.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 %,1410 MHz,17.13 %,9.21 W,0.00 GB/s,57.00 °C,0.00 %,0.00 GB/s,1512 MHz,0.00 %,5.4 %,78.75 W,0.12 GB/s,151.87 W,1410 MHz,0.05 GB/s,3.7 %,2.00 %,4,16,56.00 °C,4.00 %,0.00 %
2025-05-07 14:36:27.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 %,1410 MHz,17.26 %,9.20 W,0.00 GB/s,57.00 °C,0.00 %,0.00 GB/s,1512 MHz,0.00 %,5.4 %,78.85 W,0.12 GB/s,153.65 W,1410 MHz,0.05 GB/s,5.3 %,0.00 %,4,16,56.00 °C,0.00 %,0.00 %
2025-05-07 14:36:27.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 %,1410 MHz,20.45 %,9.35 W,0.00 GB/s,57.00 °C,0.00 %,0.00 GB/s,1512 MHz,0.00 %,5.4 %,95.23 W,0.12 GB/s,150.52 W,1410 MHz,0.05 GB/s,3.7 %,0.00 %,4,16,56.00 °C,0.00 %,0.00 %
2025-05-07 14:36:27.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 %,1410 MHz,20.45 %,9.11 W,0.00 GB/s,57.00 °C,0.00 %,0.00 GB/s,1512 MHz,0.00 %,5.5 %,86.77 W,0.22 GB/s,151.58 W,1410 MHz,0.89 GB/s,3.4 %,0.00 %,4,16,56.00 °C,6.00 %,0.00 %
2025-05-07 14:36:27.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,1410 MHz,23.93 %,9.28 W,0.00 GB/s,59.00 °C,0.00 %,0.00 GB/s,1512 MHz,100.00 %,5.5 %,224.00 W,0.09 GB/s,148.23 W,1410 MHz,0.04 GB/s,3.4 %,13.00 %,4,16,56.00 °C,6.00 %,70.20 %
2025-05-07 14:36:27.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,1170 MHz,30.38 %,9.39 W,0.00 GB/s,57.00 °C,4.00 %,0.00 GB/s,1512 MHz,100.00 %,5.5 %,308.00 W,0.09 GB/s,153.11 W,1170 MHz,0.04 GB/s,4.6 %,13.30 %,4,16,60.00 °C,5.00 %,70.00 %
2025-05-07 14:36:27.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,1155 MHz,30.38 %,9.13 W,0.00 GB/s,59.00 °C,4.00 %,0.00 GB/s,1512 MHz,99.90 %,5.5 %,268.74 W,0.08 GB/s,148.39 W,1155 MHz,0.05 GB/s,4.0 %,16.30 %,4,16,61.00 °C,5.00 %,91.70 %
2025-05-07 14:36:28.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,92.30 %,1050 MHz,71.78 %,9.12 W,0.00 GB/s,61.00 °C,4.00 %,0.00 GB/s,1512 MHz,100.00 %,5.5 %,286.11 W,0.08 GB/s,153.36 W,1050 MHz,0.04 GB/s,3.7 %,36.60 %,4,16,61.00 °C,5.00 %,4.20 %
2025-05-07 14:36:28.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,1140 MHz,73.85 %,9.33 W,0.00 GB/s,61.00 °C,29.00 %,0.00 GB/s,1512 MHz,100.00 %,5.5 %,286.11 W,0.09 GB/s,150.95 W,1140 MHz,0.04 GB/s,5.3 %,13.70 %,4,16,62.00 °C,100.00 %,70.20 %
2025-05-07 14:36:28.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,1155 MHz,73.85 %,9.24 W,0.00 GB/s,61.00 °C,29.00 %,0.00 GB/s,1512 MHz,100.00 %,5.5 %,237.40 W,0.08 GB/s,150.45 W,1155 MHz,0.04 GB/s,3.1 %,23.00 %,4,16,62.00 °C,100.00 %,90.30 %
