timestamp,task_name,name,index,cpu_usage,temperature.gpu,clocks.current.sm [MHz],pcie_rx_bytes,dram_active,usage.memory [%],pcie.link.gen.current,pcie_tx_bytes,clocks.current.memory [MHz],tensor_active,dram_power,utilization.gpu [%],dram_usage,sm_occupancy,nvlink_tx_bytes,power.draw [W],utilization.memory [%],temperature.memory,clocks.current.graphics [MHz],cpu_power,pcie.link.width.current,sm_active,nvlink_rx_bytes
2025-05-07 14:38:13.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,57.00 °C,1410 MHz,0.05 GB/s,2.00 %,17.13 %,4,0.12 GB/s,1512 MHz,0.00 %,9.33 W,1.00 %,5.4 %,0.00 %,0.00 GB/s,78.95 W,0.00 %,59.00 °C,1410 MHz,150.75 W,16,0.00 %,0.00 GB/s
2025-05-07 14:38:13.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,57.00 °C,1410 MHz,0.05 GB/s,0.00 %,17.26 %,4,0.12 GB/s,1512 MHz,0.00 %,9.23 W,1.00 %,5.4 %,0.00 %,0.00 GB/s,80.13 W,0.00 %,59.00 °C,1410 MHz,156.27 W,16,0.00 %,0.00 GB/s
2025-05-07 14:38:13.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,57.00 °C,1410 MHz,0.05 GB/s,0.00 %,20.45 %,4,0.12 GB/s,1512 MHz,0.00 %,9.17 W,0.00 %,5.5 %,0.00 %,0.00 GB/s,81.32 W,0.00 %,59.00 °C,1410 MHz,154.06 W,16,0.00 %,0.00 GB/s
2025-05-07 14:38:13.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,57.00 °C,1410 MHz,0.05 GB/s,0.00 %,20.45 %,4,0.12 GB/s,1512 MHz,0.00 %,9.07 W,0.00 %,5.5 %,0.00 %,0.00 GB/s,95.47 W,0.00 %,59.00 °C,1410 MHz,151.49 W,16,0.00 %,0.00 GB/s
2025-05-07 14:38:13.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,5.6 %,57.00 °C,1410 MHz,0.04 GB/s,13.90 %,23.93 %,4,0.09 GB/s,1512 MHz,70.00 %,9.13 W,6.00 %,5.5 %,12.50 %,0.00 GB/s,80.80 W,0.00 %,59.00 °C,1410 MHz,150.35 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:13.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,60.00 °C,1155 MHz,0.04 GB/s,10.10 %,30.38 %,4,0.09 GB/s,1512 MHz,70.10 %,9.24 W,6.00 %,5.6 %,12.50 %,0.00 GB/s,309.51 W,0.00 %,59.00 °C,1155 MHz,152.89 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:13.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.4 %,62.00 °C,1170 MHz,0.05 GB/s,16.10 %,30.38 %,4,0.08 GB/s,1512 MHz,91.90 %,9.30 W,5.00 %,5.6 %,12.40 %,0.00 GB/s,309.51 W,4.00 %,59.00 °C,1170 MHz,144.96 W,16,99.90 %,0.00 GB/s
2025-05-07 14:38:13.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,2.5 %,62.00 °C,1065 MHz,0.05 GB/s,14.00 %,73.85 %,4,0.09 GB/s,1512 MHz,70.00 %,9.21 W,81.00 %,5.6 %,12.50 %,0.00 GB/s,346.03 W,19.00 %,61.00 °C,1065 MHz,151.35 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:14.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,62.00 °C,1185 MHz,0.05 GB/s,15.30 %,73.85 %,4,0.09 GB/s,1512 MHz,69.90 %,9.05 W,81.00 %,5.6 %,12.50 %,0.00 GB/s,245.54 W,19.00 %,61.00 °C,1185 MHz,150.15 W,16,100.00 %,0.00 GB/s
2025-05-07 14:38:14.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.0 %,63.00 °C,1155 MHz,0.04 GB/s,20.60 %,73.85 %,4,0.08 GB/s,1512 MHz,90.60 %,9.20 W,100.00 %,5.6 %,12.40 %,0.00 GB/s,298.19 W,22.00 %,61.00 °C,1155 MHz,150.82 W,16,100.00 %,0.00 GB/s
