timestamp,task_name,name,index,usage.memory [%],tensor_active,dram_usage,pcie.link.width.current,clocks.current.sm [MHz],nvlink_rx_bytes,pcie_tx_bytes,dram_power,clocks.current.memory [MHz],nvlink_tx_bytes,sm_active,power.draw [W],cpu_power,pcie.link.gen.current,temperature.memory,clocks.current.graphics [MHz],dram_active,pcie_rx_bytes,utilization.memory [%],temperature.gpu,cpu_usage,utilization.gpu [%],sm_occupancy
2025-05-07 15:44:58.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,17.23 %,0.00 %,5.5 %,16,1410 MHz,0.00 GB/s,0.12 GB/s,9.24 W,1512 MHz,0.00 GB/s,0.00 %,79.64 W,151.40 W,4,59.00 °C,1410 MHz,0.00 %,0.05 GB/s,0.00 %,56.00 °C,2.2 %,0.00 %,0.00 %
2025-05-07 15:44:58.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,17.26 %,0.00 %,5.6 %,16,1410 MHz,0.00 GB/s,0.12 GB/s,9.19 W,1512 MHz,0.00 GB/s,0.00 %,79.64 W,149.83 W,4,59.00 °C,1410 MHz,0.00 %,0.05 GB/s,0.00 %,56.00 °C,2.5 %,0.00 %,0.00 %
2025-05-07 15:44:58.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,20.45 %,0.00 %,5.6 %,16,1410 MHz,0.00 GB/s,0.12 GB/s,9.05 W,1512 MHz,0.00 GB/s,0.00 %,94.06 W,150.15 W,4,59.00 °C,1410 MHz,0.00 %,0.05 GB/s,0.00 %,57.00 °C,3.1 %,6.00 %,0.00 %
2025-05-07 15:44:58.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,20.45 %,90.90 %,5.7 %,16,1410 MHz,0.00 GB/s,0.09 GB/s,9.25 W,1512 MHz,0.00 GB/s,100.00 %,84.54 W,157.78 W,4,59.00 °C,1410 MHz,25.70 %,0.04 GB/s,0.00 %,57.00 °C,5.9 %,6.00 %,12.40 %
2025-05-07 15:44:58.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,30.38 %,70.00 %,5.7 %,16,1170 MHz,0.00 GB/s,0.09 GB/s,9.19 W,1512 MHz,0.00 GB/s,100.00 %,99.54 W,150.17 W,4,59.00 °C,1170 MHz,13.70 %,0.04 GB/s,4.00 %,59.00 °C,3.4 %,5.00 %,12.50 %
2025-05-07 15:44:59.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,30.38 %,91.10 %,5.7 %,16,1155 MHz,0.00 GB/s,0.08 GB/s,9.34 W,1512 MHz,0.00 GB/s,100.00 %,323.66 W,149.75 W,4,59.00 °C,1155 MHz,15.30 %,0.05 GB/s,15.00 %,61.00 °C,3.4 %,53.00 %,12.40 %
2025-05-07 15:44:59.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.50 %,0.00 %,5.7 %,16,1050 MHz,0.00 GB/s,0.08 GB/s,9.24 W,1512 MHz,0.00 GB/s,100.00 %,309.18 W,152.99 W,4,61.00 °C,1050 MHz,29.40 %,0.04 GB/s,15.00 %,62.00 °C,4.7 %,53.00 %,100.00 %
2025-05-07 15:44:59.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,73.85 %,69.90 %,5.7 %,16,1140 MHz,0.00 GB/s,0.09 GB/s,9.17 W,1512 MHz,0.00 GB/s,100.00 %,253.10 W,149.18 W,4,61.00 °C,1140 MHz,15.40 %,0.05 GB/s,15.00 %,61.00 °C,3.7 %,53.00 %,12.50 %
2025-05-07 15:44:59.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,73.85 %,91.00 %,5.7 %,16,1155 MHz,0.00 GB/s,0.08 GB/s,9.06 W,1512 MHz,0.00 GB/s,100.00 %,253.10 W,149.28 W,4,61.00 °C,1155 MHz,16.40 %,0.04 GB/s,26.00 %,62.00 °C,3.1 %,100.00 %,12.40 %
2025-05-07 15:44:59.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,73.85 %,0.00 %,5.7 %,16,1140 MHz,0.00 GB/s,0.07 GB/s,8.97 W,1512 MHz,0.00 GB/s,98.80 %,304.13 W,148.43 W,4,61.00 °C,1140 MHz,68.20 %,0.05 GB/s,26.00 %,63.00 °C,3.1 %,100.00 %,90.30 %
2025-05-07 15:44:59.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,75.93 %,70.10 %,5.7 %,16,1140 MHz,0.00 GB/s,0.09 GB/s,9.17 W,1512 MHz,0.00 GB/s,100.00 %,314.82 W,154.84 W,4,61.00 °C,1140 MHz,14.10 %,0.05 GB/s,26.00 %,62.00 °C,5.6 %,100.00 %,12.50 %
