timestamp,task_name,name,index,power.draw [W],nvlink_tx_bytes,pcie.link.width.current,usage.memory [%],pcie_tx_bytes,tensor_active,cpu_power,dram_power,clocks.current.sm [MHz],clocks.current.graphics [MHz],pcie.link.gen.current,sm_occupancy,sm_active,cpu_usage,temperature.memory,clocks.current.memory [MHz],pcie_rx_bytes,utilization.memory [%],dram_active,nvlink_rx_bytes,dram_usage,utilization.gpu [%],temperature.gpu
2025-05-07 15:50:21.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,78.95 W,0.00 GB/s,16,17.23 %,0.12 GB/s,0.00 %,149.83 W,9.19 W,1410 MHz,1410 MHz,4,0.00 %,0.00 %,2.2 %,59.00 °C,1512 MHz,0.05 GB/s,0.00 %,0.00 %,0.00 GB/s,5.5 %,0.00 %,56.00 °C
2025-05-07 15:50:21.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,90.71 W,0.00 GB/s,16,17.26 %,0.12 GB/s,0.00 %,151.57 W,9.20 W,1410 MHz,1410 MHz,4,0.00 %,0.00 %,4.8 %,57.00 °C,1512 MHz,0.05 GB/s,0.00 %,0.00 %,0.00 GB/s,5.6 %,5.00 %,56.00 °C
2025-05-07 15:50:21.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,91.11 W,0.00 GB/s,16,20.45 %,0.12 GB/s,0.00 %,156.17 W,9.19 W,1410 MHz,1410 MHz,4,0.00 %,0.00 %,3.1 %,59.00 °C,1512 MHz,0.05 GB/s,0.00 %,0.00 %,0.00 GB/s,5.6 %,5.00 %,56.00 °C
2025-05-07 15:50:21.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,93.27 W,0.00 GB/s,16,20.45 %,0.09 GB/s,90.70 %,151.95 W,9.03 W,1410 MHz,1410 MHz,4,12.40 %,100.00 %,2.8 %,59.00 °C,1512 MHz,0.05 GB/s,0.00 %,25.60 %,0.00 GB/s,5.7 %,5.00 %,57.00 °C
2025-05-07 15:50:21.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,243.44 W,0.00 GB/s,16,30.38 %,0.09 GB/s,70.10 %,147.71 W,9.04 W,1170 MHz,1170 MHz,4,12.50 %,100.00 %,3.4 %,59.00 °C,1512 MHz,0.05 GB/s,4.00 %,13.00 %,0.00 GB/s,5.7 %,5.00 %,56.00 °C
2025-05-07 15:50:22.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,231.44 W,0.00 GB/s,16,73.85 %,0.07 GB/s,70.10 %,149.33 W,9.02 W,1170 MHz,1170 MHz,4,12.50 %,100.00 %,3.0 %,61.00 °C,1512 MHz,0.04 GB/s,24.00 %,13.40 %,0.00 GB/s,5.7 %,100.00 %,62.00 °C
2025-05-07 15:50:22.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,303.65 W,0.00 GB/s,16,73.85 %,0.08 GB/s,93.60 %,158.71 W,9.04 W,1155 MHz,1155 MHz,4,12.40 %,99.90 %,8.9 %,61.00 °C,1512 MHz,0.04 GB/s,29.00 %,16.30 %,0.00 GB/s,5.7 %,100.00 %,63.00 °C
2025-05-07 15:50:22.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,348.99 W,0.00 GB/s,16,75.93 %,0.09 GB/s,69.90 %,147.62 W,9.11 W,1050 MHz,1050 MHz,4,12.50 %,100.00 %,3.1 %,61.00 °C,1512 MHz,0.05 GB/s,29.00 %,14.50 %,0.00 GB/s,5.7 %,100.00 %,62.00 °C
2025-05-07 15:50:22.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,301.39 W,0.00 GB/s,16,75.93 %,0.08 GB/s,90.60 %,151.35 W,8.99 W,1140 MHz,1140 MHz,4,12.40 %,100.00 %,3.0 %,63.00 °C,1512 MHz,0.04 GB/s,27.00 %,20.40 %,0.00 GB/s,5.7 %,100.00 %,63.00 °C
2025-05-07 15:50:22.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,300.92 W,0.00 GB/s,16,75.93 %,0.08 GB/s,0.00 %,150.05 W,8.99 W,1065 MHz,1065 MHz,4,34.20 %,100.00 %,3.4 %,61.00 °C,1512 MHz,0.04 GB/s,26.00 %,16.90 %,0.00 GB/s,5.7 %,100.00 %,62.00 °C
