timestamp,task_name,name,index,sm_active,temperature.gpu,nvlink_rx_bytes,pcie_tx_bytes,tensor_active,pcie.link.gen.current,sm_occupancy,clocks.current.memory [MHz],dram_active,pcie_rx_bytes,usage.memory [%],clocks.current.graphics [MHz],cpu_power,pcie.link.width.current,clocks.current.sm [MHz],temperature.memory,nvlink_tx_bytes,cpu_usage,dram_power,power.draw [W],utilization.memory [%],dram_usage,utilization.gpu [%]
2025-05-07 16:33:22.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 %,58.00 °C,0.00 GB/s,0.12 GB/s,0.00 %,4,0.00 %,1512 MHz,2.00 %,0.05 GB/s,17.13 %,1410 MHz,153.99 W,16,1410 MHz,59.00 °C,0.00 GB/s,3.4 %,9.42 W,80.93 W,0.00 %,5.4 %,1.00 %
2025-05-07 16:33:22.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 %,58.00 °C,0.00 GB/s,0.12 GB/s,0.00 %,4,0.00 %,1512 MHz,0.00 %,0.05 GB/s,17.26 %,1410 MHz,157.68 W,16,1410 MHz,59.00 °C,0.00 GB/s,3.7 %,9.29 W,91.81 W,0.00 %,5.4 %,1.00 %
2025-05-07 16:33:23.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 %,58.00 °C,0.00 GB/s,0.12 GB/s,0.00 %,4,0.00 %,1512 MHz,0.00 %,0.05 GB/s,20.45 %,1410 MHz,156.54 W,16,1410 MHz,59.00 °C,0.00 GB/s,4.3 %,9.27 W,91.22 W,0.00 %,5.5 %,0.00 %
2025-05-07 16:33:23.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,58.00 °C,0.00 GB/s,0.09 GB/s,70.00 %,4,12.50 %,1512 MHz,12.60 %,0.05 GB/s,20.45 %,1410 MHz,151.06 W,16,1410 MHz,59.00 °C,0.00 GB/s,3.1 %,9.24 W,111.92 W,0.00 %,5.5 %,6.00 %
2025-05-07 16:33:23.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,58.00 °C,0.00 GB/s,0.09 GB/s,70.20 %,4,12.50 %,1512 MHz,11.40 %,0.05 GB/s,30.38 %,1365 MHz,150.35 W,16,1365 MHz,59.00 °C,0.00 GB/s,3.7 %,9.32 W,81.23 W,0.00 %,5.6 %,6.00 %
2025-05-07 16:33:23.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,62.00 °C,0.00 GB/s,0.09 GB/s,90.60 %,4,12.40 %,1512 MHz,23.00 %,0.04 GB/s,30.38 %,1155 MHz,149.03 W,16,1155 MHz,61.00 °C,0.00 GB/s,4.3 %,9.09 W,295.37 W,21.00 %,5.6 %,88.00 %
2025-05-07 16:33:23.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,64.00 °C,0.00 GB/s,0.08 GB/s,91.20 %,4,12.40 %,1512 MHz,16.80 %,0.04 GB/s,46.94 %,1185 MHz,150.08 W,16,1185 MHz,61.00 °C,0.00 GB/s,5.3 %,9.46 W,304.42 W,21.00 %,5.6 %,88.00 %
2025-05-07 16:33:23.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,64.00 °C,0.00 GB/s,0.09 GB/s,70.10 %,4,12.50 %,1512 MHz,12.70 %,0.05 GB/s,73.85 %,1080 MHz,149.99 W,16,1080 MHz,63.00 °C,0.00 GB/s,4.0 %,9.07 W,314.14 W,21.00 %,5.6 %,88.00 %
2025-05-07 16:33:23.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,63.00 °C,0.00 GB/s,0.09 GB/s,70.10 %,4,12.50 %,1512 MHz,13.50 %,0.04 GB/s,73.85 %,1155 MHz,152.41 W,16,1155 MHz,63.00 °C,0.00 GB/s,3.4 %,9.11 W,314.14 W,31.00 %,5.6 %,100.00 %
2025-05-07 16:33:23.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,99.90 %,64.00 °C,0.00 GB/s,0.08 GB/s,93.00 %,4,12.40 %,1512 MHz,16.50 %,0.04 GB/s,73.85 %,1155 MHz,151.47 W,16,1155 MHz,63.00 °C,0.00 GB/s,4.0 %,9.09 W,262.28 W,31.00 %,5.6 %,100.00 %
2025-05-07 16:33:23.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,98.50 %,64.00 °C,0.00 GB/s,0.08 GB/s,4.10 %,4,90.10 %,1512 MHz,35.90 %,0.05 GB/s,73.85 %,1155 MHz,148.15 W,16,1155 MHz,63.00 °C,0.00 GB/s,3.7 %,9.08 W,326.57 W,25.00 %,5.6 %,100.00 %
2025-05-07 16:33:23.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,63.00 °C,0.00 GB/s,0.09 GB/s,69.90 %,4,12.50 %,1512 MHz,13.70 %,0.05 GB/s,75.93 %,1170 MHz,151.98 W,16,1170 MHz,63.00 °C,0.00 GB/s,2.2 %,9.22 W,251.23 W,25.00 %,5.6 %,100.00 %
