timestamp,task_name,name,index,temperature.memory,nvlink_tx_bytes,nvlink_rx_bytes,usage.memory [%],tensor_active,sm_occupancy,power.draw [W],utilization.memory [%],dram_active,dram_usage,clocks.current.graphics [MHz],cpu_usage,cpu_power,pcie.link.gen.current,pcie_rx_bytes,clocks.current.memory [MHz],dram_power,clocks.current.sm [MHz],temperature.gpu,pcie_tx_bytes,pcie.link.width.current,sm_active,utilization.gpu [%]
2025-05-07 16:35:09.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,59.00 °C,0.00 GB/s,0.00 GB/s,17.13 %,0.00 %,0.00 %,80.73 W,0.00 %,2.00 %,5.4 %,1410 MHz,3.1 %,151.80 W,4,0.05 GB/s,1512 MHz,9.31 W,1410 MHz,58.00 °C,0.12 GB/s,16,0.00 %,13.00 %
2025-05-07 16:35:09.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,59.00 °C,0.00 GB/s,0.00 GB/s,17.26 %,0.00 %,0.00 %,122.48 W,0.00 %,0.00 %,5.5 %,1410 MHz,3.4 %,152.91 W,4,0.05 GB/s,1512 MHz,9.10 W,1410 MHz,58.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:09.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,59.00 °C,0.00 GB/s,0.00 GB/s,20.45 %,0.00 %,0.00 %,92.54 W,0.00 %,0.00 %,5.5 %,1410 MHz,3.1 %,155.31 W,4,0.05 GB/s,1512 MHz,9.34 W,1410 MHz,58.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:10.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,59.00 °C,0.00 GB/s,0.00 GB/s,20.45 %,0.00 %,0.00 %,98.78 W,0.00 %,0.00 %,5.5 %,1410 MHz,3.4 %,154.44 W,4,0.05 GB/s,1512 MHz,9.29 W,1410 MHz,58.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:10.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,59.00 °C,0.00 GB/s,0.00 GB/s,23.93 %,69.90 %,12.50 %,92.43 W,0.00 %,14.50 %,5.6 %,1410 MHz,3.7 %,148.79 W,4,0.05 GB/s,1512 MHz,9.16 W,1410 MHz,58.00 °C,0.09 GB/s,16,100.00 %,0.00 %
2025-05-07 16:35:10.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,61.00 °C,0.00 GB/s,0.00 GB/s,30.38 %,70.10 %,12.50 %,92.43 W,4.00 %,13.60 %,5.6 %,1155 MHz,3.1 %,148.98 W,4,0.04 GB/s,1512 MHz,9.27 W,1155 MHz,61.00 °C,0.09 GB/s,16,100.00 %,11.00 %
2025-05-07 16:35:10.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,61.00 °C,0.00 GB/s,0.00 GB/s,30.38 %,93.30 %,12.40 %,312.40 W,4.00 %,16.50 %,5.6 %,1155 MHz,3.4 %,138.99 W,4,0.05 GB/s,1512 MHz,9.22 W,1155 MHz,64.00 °C,0.08 GB/s,16,99.90 %,11.00 %
2025-05-07 16:35:10.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,61.00 °C,0.00 GB/s,0.00 GB/s,71.78 %,4.20 %,92.40 %,310.35 W,23.00 %,37.50 %,5.6 %,1155 MHz,3.4 %,149.72 W,4,0.05 GB/s,1512 MHz,9.01 W,1155 MHz,64.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:10.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,73.85 %,70.00 %,12.50 %,322.08 W,23.00 %,13.00 %,5.6 %,1080 MHz,3.7 %,150.38 W,4,0.05 GB/s,1512 MHz,9.24 W,1080 MHz,63.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:10.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,73.85 %,90.60 %,12.40 %,263.25 W,30.00 %,21.50 %,5.6 %,1170 MHz,3.7 %,151.34 W,4,0.04 GB/s,1512 MHz,9.23 W,1170 MHz,63.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:10.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,73.85 %,91.90 %,12.40 %,311.12 W,30.00 %,16.80 %,5.6 %,1110 MHz,5.9 %,150.82 W,4,0.04 GB/s,1512 MHz,9.23 W,1110 MHz,65.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:10.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,75.93 %,69.90 %,12.50 %,245.15 W,26.00 %,16.00 %,5.6 %,1065 MHz,5.3 %,150.15 W,4,0.04 GB/s,1512 MHz,9.23 W,1065 MHz,64.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:10.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,75.93 %,90.50 %,12.40 %,310.74 W,26.00 %,19.50 %,5.6 %,1170 MHz,3.7 %,151.80 W,4,0.04 GB/s,1512 MHz,9.27 W,1170 MHz,64.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:11.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,75.93 %,91.90 %,12.40 %,292.45 W,27.00 %,17.20 %,5.6 %,1140 MHz,4.6 %,155.50 W,4,0.04 GB/s,1512 MHz,9.18 W,1140 MHz,64.00 °C,0.08 GB/s,16,100.00 %,100.00 %
