timestamp,task_name,name,index,sm_active,pcie.link.width.current,dram_active,dram_power,usage.memory [%],clocks.current.memory [MHz],clocks.current.graphics [MHz],utilization.gpu [%],pcie_rx_bytes,clocks.current.sm [MHz],pcie.link.gen.current,nvlink_tx_bytes,cpu_power,nvlink_rx_bytes,sm_occupancy,pcie_tx_bytes,temperature.memory,tensor_active,power.draw [W],dram_usage,utilization.memory [%],temperature.gpu,cpu_usage
2025-05-07 16:36:57.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,39.00 %,16,7.00 %,9.14 W,17.13 %,1512 MHz,1410 MHz,0.00 %,0.42 GB/s,1410 MHz,4,0.00 GB/s,159.67 W,0.00 GB/s,19.40 %,0.15 GB/s,59.00 °C,0.40 %,80.33 W,5.4 %,0.00 %,58.00 °C,3.1 %
2025-05-07 16:36:57.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 %,16,0.00 %,9.22 W,17.26 %,1512 MHz,1410 MHz,0.00 %,0.05 GB/s,1410 MHz,4,0.00 GB/s,152.71 W,0.00 GB/s,0.00 %,0.12 GB/s,59.00 °C,0.00 %,81.62 W,5.4 %,0.00 %,58.00 °C,3.1 %
2025-05-07 16:36:57.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 %,16,0.00 %,9.17 W,20.45 %,1512 MHz,1410 MHz,0.00 %,0.05 GB/s,1410 MHz,4,0.00 GB/s,154.19 W,0.00 GB/s,0.00 %,0.12 GB/s,59.00 °C,0.00 %,85.74 W,5.5 %,0.00 %,58.00 °C,3.3 %
2025-05-07 16:36:57.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 %,16,0.00 %,9.32 W,20.45 %,1512 MHz,1410 MHz,0.00 %,0.76 GB/s,1410 MHz,4,0.00 GB/s,152.15 W,0.00 GB/s,0.00 %,0.21 GB/s,61.00 °C,0.00 %,96.85 W,5.5 %,0.00 %,59.00 °C,5.6 %
2025-05-07 16:36:57.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,12.80 %,9.04 W,30.38 %,1512 MHz,1080 MHz,6.00 %,0.04 GB/s,1080 MHz,4,0.00 GB/s,152.73 W,0.00 GB/s,12.50 %,0.09 GB/s,61.00 °C,70.10 %,279.01 W,5.6 %,0.00 %,58.00 °C,3.1 %
2025-05-07 16:36:57.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,15.40 %,9.27 W,30.38 %,1512 MHz,1155 MHz,7.00 %,0.05 GB/s,1155 MHz,4,0.00 GB/s,131.28 W,0.00 GB/s,12.40 %,0.08 GB/s,61.00 °C,91.40 %,304.91 W,5.6 %,4.00 %,63.00 °C,2.8 %
2025-05-07 16:36:57.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,22.00 %,9.09 W,59.36 %,1512 MHz,1065 MHz,7.00 %,0.04 GB/s,1065 MHz,4,0.00 GB/s,147.56 W,0.00 GB/s,12.40 %,0.08 GB/s,61.00 °C,90.70 %,342.85 W,5.6 %,4.00 %,64.00 °C,3.4 %
2025-05-07 16:36:57.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,16.10 %,9.08 W,73.85 %,1512 MHz,1065 MHz,7.00 %,0.04 GB/s,1065 MHz,4,0.00 GB/s,151.07 W,0.00 GB/s,12.50 %,0.09 GB/s,63.00 °C,70.10 %,342.85 W,5.6 %,4.00 %,64.00 °C,3.7 %
2025-05-07 16:36:57.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,18.60 %,9.11 W,73.85 %,1512 MHz,1155 MHz,100.00 %,0.04 GB/s,1155 MHz,4,0.00 GB/s,150.01 W,0.00 GB/s,12.40 %,0.09 GB/s,63.00 °C,91.70 %,259.53 W,5.6 %,35.00 %,64.00 °C,3.1 %
2025-05-07 16:36:58.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,99.90 %,16,19.30 %,9.07 W,73.85 %,1512 MHz,1155 MHz,100.00 %,0.04 GB/s,1155 MHz,4,0.00 GB/s,151.03 W,0.00 GB/s,12.50 %,0.09 GB/s,63.00 °C,90.90 %,310.25 W,5.6 %,35.00 %,65.00 °C,3.7 %
2025-05-07 16:36:58.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,100.00 %,16,13.40 %,9.17 W,75.93 %,1512 MHz,1110 MHz,100.00 %,0.04 GB/s,1110 MHz,4,0.00 GB/s,155.07 W,0.00 GB/s,12.50 %,0.09 GB/s,63.00 °C,69.90 %,302.86 W,5.6 %,23.00 %,65.00 °C,5.0 %
