timestamp,task_name,name,index,sm_occupancy,pcie.link.gen.current,temperature.gpu,clocks.current.memory [MHz],sm_active,cpu_usage,pcie.link.width.current,clocks.current.sm [MHz],tensor_active,pcie_rx_bytes,dram_power,nvlink_tx_bytes,utilization.gpu [%],utilization.memory [%],power.draw [W],pcie_tx_bytes,dram_usage,nvlink_rx_bytes,clocks.current.graphics [MHz],usage.memory [%],dram_active,temperature.memory,cpu_power
2025-05-07 16:39:36.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 %,4,59.00 °C,1512 MHz,0.00 %,3.7 %,16,1410 MHz,0.00 %,0.05 GB/s,9.23 W,0.00 GB/s,0.00 %,0.00 %,81.52 W,0.12 GB/s,5.4 %,0.00 GB/s,1410 MHz,17.13 %,2.00 %,61.00 °C,150.72 W
2025-05-07 16:39:37.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 %,4,59.00 °C,1512 MHz,0.00 %,3.4 %,16,1410 MHz,0.00 %,0.05 GB/s,9.33 W,0.00 GB/s,6.00 %,0.00 %,92.73 W,0.12 GB/s,5.4 %,0.00 GB/s,1410 MHz,17.26 %,0.00 %,61.00 °C,152.76 W
2025-05-07 16:39:37.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 %,4,59.00 °C,1512 MHz,0.00 %,4.9 %,16,1410 MHz,0.00 %,0.05 GB/s,9.26 W,0.00 GB/s,6.00 %,0.00 %,92.73 W,0.12 GB/s,5.5 %,0.00 GB/s,1410 MHz,20.45 %,0.00 %,61.00 °C,154.35 W
2025-05-07 16:39:37.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 %,4,59.00 °C,1512 MHz,0.00 %,3.7 %,16,1410 MHz,0.00 %,0.05 GB/s,9.34 W,0.00 GB/s,6.00 %,0.00 %,108.08 W,0.12 GB/s,5.5 %,0.00 GB/s,1410 MHz,20.45 %,0.00 %,61.00 °C,155.27 W
2025-05-07 16:39:37.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,59.00 °C,1512 MHz,100.00 %,3.4 %,16,1410 MHz,69.80 %,0.05 GB/s,9.26 W,0.00 GB/s,5.00 %,4.00 %,92.75 W,0.09 GB/s,5.6 %,0.00 GB/s,1410 MHz,23.93 %,14.10 %,61.00 °C,153.67 W
2025-05-07 16:39:37.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,62.00 °C,1512 MHz,100.00 %,3.4 %,16,1155 MHz,69.80 %,0.05 GB/s,8.97 W,0.00 GB/s,5.00 %,4.00 %,294.20 W,0.09 GB/s,5.6 %,0.00 GB/s,1155 MHz,30.38 %,16.70 %,61.00 °C,149.53 W
2025-05-07 16:39:37.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,64.00 °C,1512 MHz,99.90 %,3.4 %,16,1155 MHz,92.60 %,0.05 GB/s,9.13 W,0.00 GB/s,57.00 %,15.00 %,294.20 W,0.08 GB/s,5.6 %,0.00 GB/s,1155 MHz,30.38 %,16.20 %,63.00 °C,142.62 W
2025-05-07 16:39:37.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,92.40 %,4,65.00 °C,1512 MHz,100.00 %,6.2 %,16,1065 MHz,4.20 %,0.05 GB/s,9.29 W,0.00 GB/s,57.00 %,15.00 %,305.30 W,0.08 GB/s,5.6 %,0.00 GB/s,1065 MHz,71.78 %,38.40 %,63.00 °C,149.78 W
2025-05-07 16:39:37.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.50 %,4,64.00 °C,1512 MHz,100.00 %,3.4 %,16,1065 MHz,69.70 %,0.05 GB/s,9.24 W,0.00 GB/s,100.00 %,26.00 %,313.56 W,0.09 GB/s,5.6 %,0.00 GB/s,1065 MHz,73.85 %,15.10 %,63.00 °C,152.06 W
2025-05-07 16:39:37.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,12.40 %,4,65.00 °C,1512 MHz,99.90 %,3.7 %,16,1185 MHz,89.80 %,0.04 GB/s,9.09 W,0.00 GB/s,100.00 %,26.00 %,328.15 W,0.08 GB/s,5.6 %,0.00 GB/s,1185 MHz,73.85 %,18.60 %,63.00 °C,151.60 W
