timestamp,task_name,name,index,power.draw [W],utilization.memory [%],temperature.memory,temperature.gpu,clocks.current.memory [MHz],cpu_power,pcie_tx_bytes,clocks.current.sm [MHz],nvlink_tx_bytes,pcie_rx_bytes,nvlink_rx_bytes,utilization.gpu [%],dram_active,dram_power,clocks.current.graphics [MHz],tensor_active,cpu_usage,usage.memory [%],dram_usage,pcie.link.gen.current,pcie.link.width.current,sm_occupancy,sm_active
2025-05-07 17:15:29.2,sleep,NVIDIA A800 80GB PCIe,0,43.30 W,0.00 %,35.00 °C,31.00 °C,1512 MHz,82.55 W,0.08 GB/s,210 MHz,0.00 GB/s,0.03 GB/s,0.00 GB/s,0.00 %,0.00 %,9.33 W,210 MHz,0.00 %,1.6 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:29.4,sleep,NVIDIA A800 80GB PCIe,0,43.71 W,0.00 %,35.00 °C,31.00 °C,1512 MHz,82.56 W,0.08 GB/s,210 MHz,0.00 GB/s,0.03 GB/s,0.00 GB/s,0.00 %,0.00 %,9.42 W,210 MHz,0.00 %,1.5 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:29.5,sleep,NVIDIA A800 80GB PCIe,0,43.71 W,0.00 %,35.00 °C,31.00 °C,1512 MHz,83.69 W,0.10 GB/s,210 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.37 W,210 MHz,0.00 %,1.5 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:29.6,sleep,NVIDIA A800 80GB PCIe,0,44.79 W,0.00 %,35.00 °C,31.00 °C,1512 MHz,82.30 W,0.10 GB/s,1140 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.50 W,1140 MHz,0.00 %,2.8 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:29.7,sleep,NVIDIA A800 80GB PCIe,0,49.61 W,0.00 %,35.00 °C,31.00 °C,1512 MHz,83.88 W,0.10 GB/s,1140 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.27 W,1140 MHz,0.00 %,1.9 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:29.8,sleep,NVIDIA A800 80GB PCIe,0,49.61 W,0.00 %,35.00 °C,31.00 °C,1512 MHz,83.00 W,0.10 GB/s,1140 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.41 W,1140 MHz,0.00 %,2.2 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:29.9,sleep,NVIDIA A800 80GB PCIe,0,54.44 W,0.00 %,35.00 °C,31.00 °C,1512 MHz,83.60 W,0.10 GB/s,1140 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.29 W,1140 MHz,0.00 %,2.2 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:30.0,sleep,NVIDIA A800 80GB PCIe,0,52.57 W,0.00 %,35.00 °C,31.00 °C,1512 MHz,84.61 W,0.10 GB/s,1140 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.29 W,1140 MHz,0.00 %,1.9 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:30.1,sleep,NVIDIA A800 80GB PCIe,0,52.37 W,0.00 %,35.00 °C,31.00 °C,1512 MHz,83.92 W,0.10 GB/s,1140 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.26 W,1140 MHz,0.00 %,1.9 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:30.2,sleep,NVIDIA A800 80GB PCIe,0,51.79 W,0.00 %,35.00 °C,31.00 °C,1512 MHz,83.51 W,0.10 GB/s,1140 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.37 W,1140 MHz,0.00 %,2.8 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:30.3,sleep,NVIDIA A800 80GB PCIe,0,52.86 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,81.81 W,0.09 GB/s,1140 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.35 W,1140 MHz,0.00 %,1.9 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:30.4,sleep,NVIDIA A800 80GB PCIe,0,53.26 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,82.22 W,0.10 GB/s,1215 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.50 W,1215 MHz,0.00 %,1.6 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:30.5,sleep,NVIDIA A800 80GB PCIe,0,55.13 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,82.80 W,0.09 GB/s,1215 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.20 W,1215 MHz,0.00 %,1.6 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
2025-05-07 17:15:30.6,sleep,NVIDIA A800 80GB PCIe,0,54.83 W,0.00 %,35.00 °C,32.00 °C,1512 MHz,83.15 W,0.10 GB/s,1215 MHz,0.00 GB/s,0.04 GB/s,0.00 GB/s,0.00 %,0.00 %,9.41 W,1215 MHz,0.00 %,2.5 %,0.00 %,4.6 %,4,16,0.00 %,0.00 %
