timestamp,task_name,name,index,sm_active,temperature.gpu,pcie.link.width.current,temperature.memory,pcie_rx_bytes,pcie.link.gen.current,cpu_power,clocks.current.memory [MHz],power.draw [W],tensor_active,clocks.current.graphics [MHz],dram_power,dram_active,dram_usage,utilization.memory [%],sm_occupancy,pcie_tx_bytes,usage.memory [%],nvlink_rx_bytes,cpu_usage,clocks.current.sm [MHz],nvlink_tx_bytes,utilization.gpu [%]
2025-05-07 17:16:01.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.03 GB/s,4,83.43 W,1512 MHz,43.52 W,0.00 %,225 MHz,9.26 W,0.00 %,4.6 %,0.00 %,0.00 %,0.07 GB/s,0.00 %,0.00 GB/s,3.1 %,225 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:01.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.03 GB/s,4,86.56 W,1512 MHz,44.89 W,0.00 %,210 MHz,9.37 W,0.00 %,4.6 %,0.00 %,0.00 %,0.08 GB/s,0.00 %,0.00 GB/s,0.6 %,210 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:01.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.03 GB/s,4,85.30 W,1512 MHz,44.89 W,0.00 %,210 MHz,9.37 W,0.00 %,4.6 %,0.00 %,0.00 %,0.08 GB/s,0.00 %,0.00 GB/s,2.5 %,210 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:01.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.03 GB/s,4,83.23 W,1512 MHz,43.90 W,0.00 %,210 MHz,9.49 W,0.00 %,4.6 %,0.00 %,0.00 %,0.08 GB/s,0.00 %,0.00 GB/s,1.2 %,210 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:01.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,83.52 W,1512 MHz,44.98 W,0.00 %,990 MHz,9.29 W,0.00 %,4.6 %,0.00 %,0.00 %,0.09 GB/s,0.00 %,0.00 GB/s,0.9 %,990 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:02.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,84.50 W,1512 MHz,49.42 W,0.00 %,990 MHz,9.83 W,0.00 %,4.6 %,0.00 %,0.00 %,0.09 GB/s,0.00 %,0.00 GB/s,8.1 %,990 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:02.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,82.48 W,1512 MHz,46.08 W,0.00 %,990 MHz,9.41 W,0.00 %,4.6 %,0.00 %,0.00 %,0.08 GB/s,0.00 %,0.00 GB/s,1.9 %,990 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:02.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,81.48 W,1512 MHz,48.33 W,0.00 %,990 MHz,9.39 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,1.8 %,990 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:02.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,82.20 W,1512 MHz,47.36 W,0.00 %,1245 MHz,9.26 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,2.1 %,1245 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:02.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,83.59 W,1512 MHz,54.73 W,0.00 %,1245 MHz,9.47 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,0.3 %,1245 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:02.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,82.23 W,1512 MHz,53.95 W,0.00 %,1245 MHz,9.14 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,0.9 %,1245 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:02.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,81.61 W,1512 MHz,60.46 W,0.00 %,1245 MHz,9.17 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,2.2 %,1245 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:02.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,83.04 W,1512 MHz,60.57 W,0.00 %,1245 MHz,9.29 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,0.9 %,1245 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:02.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,83.98 W,1512 MHz,56.12 W,0.00 %,1245 MHz,9.29 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,2.5 %,1245 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:03.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.04 GB/s,4,83.35 W,1512 MHz,60.77 W,0.00 %,1245 MHz,9.22 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,2.5 %,1245 MHz,0.00 GB/s,0.00 %
2025-05-07 17:16:03.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,32.00 °C,16,35.00 °C,0.05 GB/s,4,83.48 W,1512 MHz,57.49 W,0.00 %,1245 MHz,9.25 W,0.00 %,4.6 %,0.00 %,0.00 %,0.10 GB/s,0.00 %,0.00 GB/s,1.9 %,1245 MHz,0.00 GB/s,0.00 %
