timestamp,task_name,name,index,usage.memory [%],cpu_usage,dram_active,power.draw [W],clocks.current.sm [MHz],sm_occupancy,pcie_rx_bytes,temperature.memory,cpu_power,dram_usage,nvlink_tx_bytes,sm_active,tensor_active,temperature.gpu,clocks.current.memory [MHz],dram_power,utilization.gpu [%],utilization.memory [%],pcie_tx_bytes,clocks.current.graphics [MHz],nvlink_rx_bytes,pcie.link.gen.current,pcie.link.width.current
2025-05-07 17:16:17.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,1.2 %,0.00 %,43.41 W,210 MHz,0.00 %,0.03 GB/s,35.00 °C,84.14 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.50 W,0.00 %,0.00 %,0.08 GB/s,210 MHz,0.00 GB/s,4,16
2025-05-07 17:16:17.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,0.6 %,0.00 %,44.89 W,210 MHz,0.00 %,0.03 GB/s,35.00 °C,82.96 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.30 W,0.00 %,0.00 %,0.08 GB/s,210 MHz,0.00 GB/s,4,16
2025-05-07 17:16:17.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,1.9 %,0.00 %,43.52 W,210 MHz,0.00 %,0.03 GB/s,35.00 °C,81.95 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.28 W,0.00 %,0.00 %,0.08 GB/s,210 MHz,0.00 GB/s,4,16
2025-05-07 17:16:17.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,1.5 %,0.00 %,44.01 W,210 MHz,0.00 %,0.04 GB/s,35.00 °C,83.62 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.35 W,0.00 %,0.00 %,0.10 GB/s,210 MHz,0.00 GB/s,4,16
2025-05-07 17:16:18.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,1.9 %,0.00 %,56.42 W,1200 MHz,0.00 %,0.04 GB/s,35.00 °C,83.67 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.14 W,0.00 %,0.00 %,0.10 GB/s,1200 MHz,0.00 GB/s,4,16
2025-05-07 17:16:18.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,1.9 %,0.00 %,56.42 W,1200 MHz,0.00 %,0.04 GB/s,35.00 °C,82.17 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.25 W,0.00 %,0.00 %,0.10 GB/s,1200 MHz,0.00 GB/s,4,16
2025-05-07 17:16:18.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,2.2 %,0.00 %,52.08 W,1200 MHz,0.00 %,0.04 GB/s,35.00 °C,83.10 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.27 W,0.00 %,0.00 %,0.10 GB/s,1200 MHz,0.00 GB/s,4,16
2025-05-07 17:16:18.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,2.2 %,0.00 %,52.58 W,1200 MHz,0.00 %,0.04 GB/s,35.00 °C,83.30 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.22 W,0.00 %,0.00 %,0.10 GB/s,1200 MHz,0.00 GB/s,4,16
2025-05-07 17:16:18.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,0.6 %,0.00 %,52.38 W,1200 MHz,0.00 %,0.04 GB/s,35.00 °C,82.50 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.33 W,0.00 %,0.00 %,0.09 GB/s,1200 MHz,0.00 GB/s,4,16
2025-05-07 17:16:18.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,2.2 %,0.00 %,52.38 W,1200 MHz,0.00 %,0.04 GB/s,35.00 °C,83.43 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.20 W,0.00 %,0.00 %,0.09 GB/s,1200 MHz,0.00 GB/s,4,16
2025-05-07 17:16:18.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,1.9 %,0.00 %,53.26 W,1200 MHz,0.00 %,0.04 GB/s,35.00 °C,82.63 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.39 W,0.00 %,0.00 %,0.10 GB/s,1200 MHz,0.00 GB/s,4,16
2025-05-07 17:16:18.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,2.2 %,0.00 %,57.91 W,1200 MHz,0.00 %,0.04 GB/s,35.00 °C,84.55 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.41 W,0.00 %,0.00 %,0.10 GB/s,1200 MHz,0.00 GB/s,4,16
2025-05-07 17:16:18.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,1.9 %,0.00 %,55.73 W,1200 MHz,0.00 %,0.04 GB/s,35.00 °C,81.52 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.21 W,0.00 %,0.00 %,0.09 GB/s,1200 MHz,0.00 GB/s,4,16
2025-05-07 17:16:19.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,1.9 %,0.00 %,58.10 W,1200 MHz,0.00 %,0.04 GB/s,35.00 °C,82.04 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.27 W,0.00 %,0.00 %,0.10 GB/s,1200 MHz,0.00 GB/s,4,16
2025-05-07 17:16:19.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,0.6 %,0.00 %,58.10 W,1200 MHz,0.00 %,0.04 GB/s,35.00 °C,83.39 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.32 W,0.00 %,0.00 %,0.10 GB/s,1200 MHz,0.00 GB/s,4,16
2025-05-07 17:16:19.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,1.9 %,0.00 %,52.47 W,1200 MHz,0.00 %,0.04 GB/s,35.00 °C,84.09 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.20 W,0.00 %,0.00 %,0.10 GB/s,1200 MHz,0.00 GB/s,4,16
2025-05-07 17:16:19.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,1.9 %,0.00 %,52.47 W,1200 MHz,0.00 %,0.04 GB/s,35.00 °C,82.28 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.33 W,0.00 %,0.00 %,0.11 GB/s,1200 MHz,0.00 GB/s,4,16
2025-05-07 17:16:19.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,0.3 %,0.00 %,57.49 W,1365 MHz,0.00 %,0.04 GB/s,35.00 °C,81.51 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.23 W,0.00 %,0.00 %,0.10 GB/s,1365 MHz,0.00 GB/s,4,16
2025-05-07 17:16:19.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,3.4 %,0.00 %,59.98 W,1365 MHz,0.00 %,0.05 GB/s,35.00 °C,82.32 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.21 W,0.00 %,0.00 %,0.11 GB/s,1365 MHz,0.00 GB/s,4,16
2025-05-07 17:16:19.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,0.9 %,0.00 %,66.64 W,1365 MHz,0.00 %,0.05 GB/s,35.00 °C,82.90 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.17 W,0.00 %,0.00 %,0.11 GB/s,1365 MHz,0.00 GB/s,4,16
2025-05-07 17:16:19.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,2.2 %,0.00 %,60.56 W,1365 MHz,0.00 %,0.05 GB/s,35.00 °C,81.99 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.37 W,0.00 %,0.00 %,0.10 GB/s,1365 MHz,0.00 GB/s,4,16
2025-05-07 17:16:19.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,1.9 %,0.00 %,60.56 W,1365 MHz,0.00 %,0.04 GB/s,35.00 °C,81.95 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.19 W,0.00 %,0.00 %,0.11 GB/s,1365 MHz,0.00 GB/s,4,16
2025-05-07 17:16:19.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,4.0 %,0.00 %,63.69 W,1365 MHz,0.00 %,0.05 GB/s,35.00 °C,82.10 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.31 W,0.00 %,0.00 %,0.11 GB/s,1365 MHz,0.00 GB/s,4,16
2025-05-07 17:16:20.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 %,2.5 %,0.00 %,63.79 W,1365 MHz,0.00 %,0.04 GB/s,35.00 °C,83.86 W,4.6 %,0.00 GB/s,0.00 %,0.00 %,32.00 °C,1512 MHz,9.29 W,0.00 %,0.00 %,0.10 GB/s,1365 MHz,0.00 GB/s,4,16
