timestamp,task_name,name,index,dram_power,nvlink_tx_bytes,dram_active,pcie_tx_bytes,utilization.memory [%],usage.memory [%],clocks.current.memory [MHz],clocks.current.graphics [MHz],nvlink_rx_bytes,temperature.gpu,utilization.gpu [%],sm_occupancy,tensor_active,dram_usage,cpu_power,power.draw [W],temperature.memory,pcie.link.gen.current,pcie.link.width.current,clocks.current.sm [MHz],cpu_usage,sm_active,pcie_rx_bytes
2025-05-07 17:17:22.6,sleep,NVIDIA A800 80GB PCIe,0,9.69 W,0.00 GB/s,0.00 %,0.08 GB/s,0.00 %,0.00 %,1512 MHz,915 MHz,0.00 GB/s,32.00 °C,0.00 %,0.00 %,0.00 %,4.8 %,141.05 W,45.86 W,35.00 °C,4,16,915 MHz,7.1 %,0.00 %,0.03 GB/s
2025-05-07 17:17:22.7,sleep,NVIDIA A800 80GB PCIe,0,9.55 W,0.00 GB/s,0.00 %,0.09 GB/s,0.00 %,0.00 %,1512 MHz,255 MHz,0.00 GB/s,32.00 °C,0.00 %,0.00 %,0.00 %,4.8 %,144.28 W,45.16 W,35.00 °C,4,16,255 MHz,6.8 %,0.00 %,0.04 GB/s
2025-05-07 17:17:22.8,sleep,NVIDIA A800 80GB PCIe,0,9.44 W,0.00 GB/s,0.00 %,0.09 GB/s,0.00 %,0.00 %,1512 MHz,240 MHz,0.00 GB/s,32.00 °C,0.00 %,0.00 %,0.00 %,4.8 %,140.83 W,45.36 W,35.00 °C,4,16,240 MHz,5.2 %,0.00 %,0.04 GB/s
2025-05-07 17:17:22.9,sleep,NVIDIA A800 80GB PCIe,0,9.70 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,240 MHz,0.00 GB/s,32.00 °C,0.00 %,0.00 %,0.00 %,4.8 %,143.96 W,45.26 W,35.00 °C,4,16,240 MHz,7.4 %,0.00 %,0.05 GB/s
2025-05-07 17:17:23.0,sleep,NVIDIA A800 80GB PCIe,0,9.43 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,32.00 °C,0.00 %,0.00 %,0.00 %,4.8 %,142.68 W,45.26 W,35.00 °C,4,16,1290 MHz,6.8 %,0.00 %,0.05 GB/s
2025-05-07 17:17:23.1,sleep,NVIDIA A800 80GB PCIe,0,9.05 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.8 %,141.86 W,49.99 W,35.00 °C,4,16,1290 MHz,1.9 %,0.00 %,0.05 GB/s
2025-05-07 17:17:23.2,sleep,NVIDIA A800 80GB PCIe,0,8.87 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.8 %,142.31 W,63.59 W,35.00 °C,4,16,1290 MHz,0.9 %,0.00 %,0.05 GB/s
2025-05-07 17:17:23.3,sleep,NVIDIA A800 80GB PCIe,0,9.17 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.8 %,143.34 W,63.59 W,35.00 °C,4,16,1290 MHz,1.9 %,0.00 %,0.05 GB/s
2025-05-07 17:17:23.4,sleep,NVIDIA A800 80GB PCIe,0,9.05 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.8 %,143.36 W,55.91 W,35.00 °C,4,16,1290 MHz,2.2 %,0.00 %,0.05 GB/s
2025-05-07 17:17:23.5,sleep,NVIDIA A800 80GB PCIe,0,9.23 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.8 %,139.82 W,63.78 W,35.00 °C,4,16,1290 MHz,2.5 %,0.00 %,0.05 GB/s
2025-05-07 17:17:23.6,sleep,NVIDIA A800 80GB PCIe,0,9.05 W,0.00 GB/s,0.00 %,0.11 GB/s,0.00 %,0.00 %,1512 MHz,1290 MHz,0.00 GB/s,33.00 °C,0.00 %,0.00 %,0.00 %,4.8 %,139.60 W,63.39 W,35.00 °C,4,16,1290 MHz,1.9 %,0.00 %,0.05 GB/s
