timestamp,task_name,name,index,pcie_rx_bytes,dram_active,pcie.link.gen.current,temperature.memory,pcie_tx_bytes,dram_power,clocks.current.memory [MHz],utilization.gpu [%],utilization.memory [%],sm_active,nvlink_rx_bytes,power.draw [W],tensor_active,cpu_usage,clocks.current.sm [MHz],sm_occupancy,usage.memory [%],nvlink_tx_bytes,cpu_power,clocks.current.graphics [MHz],temperature.gpu,dram_usage,pcie.link.width.current
2025-05-07 17:17:38.5,sleep,NVIDIA A800 80GB PCIe,0,0.04 GB/s,0.00 %,4,35.00 °C,0.09 GB/s,9.03 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,45.56 W,0.00 %,2.8 %,240 MHz,0.00 %,0.00 %,0.00 GB/s,141.01 W,240 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:38.6,sleep,NVIDIA A800 80GB PCIe,0,0.04 GB/s,0.00 %,4,35.00 °C,0.09 GB/s,9.17 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,43.98 W,0.00 %,4.9 %,240 MHz,0.00 %,0.00 %,0.00 GB/s,143.86 W,240 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:38.7,sleep,NVIDIA A800 80GB PCIe,0,0.04 GB/s,0.00 %,4,35.00 °C,0.10 GB/s,9.18 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,44.58 W,0.00 %,1.9 %,225 MHz,0.00 %,0.00 %,0.00 GB/s,141.13 W,225 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:38.8,sleep,NVIDIA A800 80GB PCIe,0,0.04 GB/s,0.00 %,4,35.00 °C,0.10 GB/s,9.32 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,48.01 W,0.00 %,5.0 %,990 MHz,0.00 %,0.00 %,0.00 GB/s,141.68 W,990 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:38.9,sleep,NVIDIA A800 80GB PCIe,0,0.04 GB/s,0.00 %,4,35.00 °C,0.10 GB/s,8.97 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,50.99 W,0.00 %,1.8 %,990 MHz,0.00 %,0.00 %,0.00 GB/s,140.47 W,990 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:39.0,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,9.80 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,50.99 W,0.00 %,6.5 %,1350 MHz,0.00 %,0.00 %,0.00 GB/s,143.06 W,1350 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:39.1,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.98 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,56.68 W,0.00 %,5.6 %,1350 MHz,0.00 %,0.00 %,0.00 GB/s,140.60 W,1350 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:39.2,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.40 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,62.99 W,0.00 %,2.5 %,1350 MHz,0.00 %,0.00 %,0.00 GB/s,143.94 W,1350 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:39.3,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,8.91 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,64.07 W,0.00 %,1.9 %,1350 MHz,0.00 %,0.00 %,0.00 GB/s,142.04 W,1350 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:39.4,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.04 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,64.47 W,0.00 %,2.2 %,1350 MHz,0.00 %,0.00 %,0.00 GB/s,141.54 W,1350 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:39.5,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.11 GB/s,9.09 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,63.78 W,0.00 %,0.6 %,1350 MHz,0.00 %,0.00 %,0.00 GB/s,140.85 W,1350 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:39.6,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.11 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,63.78 W,0.00 %,2.8 %,1350 MHz,0.00 %,0.00 %,0.00 GB/s,143.90 W,1350 MHz,33.00 °C,5.1 %,16
2025-05-07 17:17:39.7,sleep,NVIDIA A800 80GB PCIe,0,0.05 GB/s,0.00 %,4,35.00 °C,0.12 GB/s,9.02 W,1512 MHz,0.00 %,0.00 %,0.00 %,0.00 GB/s,68.10 W,0.00 %,2.2 %,1350 MHz,0.00 %,0.00 %,0.00 GB/s,141.84 W,1350 MHz,33.00 °C,5.1 %,16
