Linux 5.15.0-119-generic (node1) 	05/07/2025 	_x86_64_	(64 CPU)

01:36:35 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:36:36 PM     0   1351613  46302.00      0.00 29520528 2763404   1.05  python
01:36:37 PM     0   1351613  82478.00      0.00 35157020 8033716   3.05  python
01:36:38 PM     0   1351613  73219.00      0.00 30526336 2969008   1.13  python
01:36:39 PM     0   1351613 153042.00      0.00 32179916 1331612   0.50  python
01:36:40 PM     0   1351613    502.00      0.00 32179916 1331808   0.50  python
01:36:41 PM     0   1351613    129.00      0.00 32179916 1331828   0.50  python
01:36:42 PM     0   1351613    306.00      0.00 32179916 1331876   0.50  python
01:36:43 PM     0   1351613    975.00      0.00 32179916 1331940   0.50  python
01:36:44 PM     0   1351613     86.00      0.00 32179916 1331932   0.50  python
01:36:45 PM     0   1351613    793.00      0.00 32179916 1331936   0.50  python
01:36:46 PM     0   1351613    292.00      0.00 32179916 1331996   0.50  python
01:36:47 PM     0   1351613     46.00      0.00 32179916 1331980   0.50  python
01:36:48 PM     0   1351613    143.00      0.00 32179916 1331972   0.50  python
01:36:49 PM     0   1351613  57958.00      0.00 32140328 1331244   0.50  python
