Linux 5.15.0-119-generic (node1) 	05/07/2025 	_x86_64_	(64 CPU)

01:34:04 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:34:05 PM     0   1343892   72.00   26.00    0.00    0.00   98.00    63  python
01:34:06 PM     0   1343892   82.00   18.00    0.00    0.00  100.00    63  python
01:34:07 PM     0   1343892   69.00   31.00    0.00    0.00  100.00    63  python
01:34:08 PM     0   1343892   66.00   35.00    0.00    0.00  101.00    63  python
01:34:09 PM     0   1343892   99.00    1.00    0.00    0.00  100.00    63  python
01:34:10 PM     0   1343892  101.00    0.00    0.00    0.00  101.00    63  python
01:34:11 PM     0   1343892  100.00    0.00    0.00    0.00  100.00    63  python
01:34:12 PM     0   1343892  100.00    0.00    0.00    0.00  100.00    21  python
01:34:13 PM     0   1343892  100.00    1.00    0.00    0.00  101.00    35  python
01:34:14 PM     0   1343892  100.00    0.00    0.00    0.00  100.00    33  python
01:34:15 PM     0   1343892   99.00    1.00    0.00    0.00  100.00    33  python
01:34:16 PM     0   1343892  100.00    1.00    0.00    0.00  101.00    33  python
01:34:17 PM     0   1343892  100.00    0.00    0.00    0.00  100.00    33  python
01:34:18 PM     0   1343892   65.00   17.00    0.00    0.00   82.00    33  python
