Linux 5.15.0-119-generic (node1) 	05/07/2025 	_x86_64_	(64 CPU)

01:30:57 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:30:58 PM     0   1337416   71.00   29.00    0.00    1.00  100.00    39  python
01:30:59 PM     0   1337416   85.00   15.00    0.00    0.00  100.00    39  python
01:31:00 PM     0   1337416   61.00   39.00    0.00    0.00  100.00    39  python
01:31:01 PM     0   1337416   86.00   14.00    0.00    0.00  100.00    39  python
01:31:02 PM     0   1337416  100.00    0.00    0.00    0.00  100.00    39  python
01:31:03 PM     0   1337416  100.00    0.00    0.00    0.00  100.00    39  python
01:31:04 PM     0   1337416  100.00    0.00    0.00    0.00  100.00    39  python
01:31:05 PM     0   1337416  100.00    0.00    0.00    0.00  100.00    39  python
01:31:06 PM     0   1337416  101.00    0.00    0.00    0.00  101.00    39  python
01:31:07 PM     0   1337416  100.00    0.00    0.00    0.00  100.00    39  python
01:31:08 PM     0   1337416  100.00    0.00    0.00    0.00  100.00    39  python
01:31:09 PM     0   1337416  100.00    0.00    0.00    0.00  100.00    39  python
01:31:10 PM     0   1337416   96.00    3.00    0.00    0.00   99.00    39  python
