Linux 5.15.0-119-generic (node1) 	05/16/2025 	_x86_64_	(64 CPU)

07:56:13 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:56:14 PM     0   2214281   3208.00      0.00 9064280  634144   0.24  python
07:56:15 PM     0   2214281     12.00      0.00 9064280  634144   0.24  python
07:56:16 PM     0   2214281      4.00      0.00 9064280  634144   0.24  python
07:56:17 PM     0   2214281    261.00      0.00 9064280  634792   0.24  python
07:56:18 PM     0   2214281  49696.00      0.00 29176348 2431772   0.92  python
07:56:19 PM     0   2214281 103054.00      0.00 36361264 8997472   3.41  python
07:56:20 PM     0   2214281  77148.00      0.00 31894552 2904680   1.10  python
07:56:21 PM     0   2214281 127820.00      0.00 37022416 1306524   0.50  python
07:56:22 PM     0   2214281   4783.00      0.00 37043208 1326528   0.50  python
07:56:23 PM     0   2214281    348.00      0.00 37043208 1326568   0.50  python
07:56:24 PM     0   2214281    588.00      0.00 37043208 1326572   0.50  python
07:56:25 PM     0   2214281  68404.00      0.00       0       0   0.00  python
