Linux 5.15.0-119-generic (node1) 	05/07/2025 	_x86_64_	(64 CPU)

03:44:55 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:44:56 PM     0   1652375  62856.00      0.00 31027880 4218812   1.60  python
03:44:57 PM     0   1652375  83681.00      0.00 36860980 9568684   3.63  python
03:44:58 PM     0   1652375  68756.00      0.00 28321380  765172   0.29  python
03:44:59 PM     0   1652375 132839.00      0.00 41265844 1307308   0.50  python
03:45:00 PM     0   1652375    427.00      0.00 81210168 1307592   0.50  python
03:45:01 PM     0   1652375    197.00      0.00 86412216 1307700   0.50  python
03:45:02 PM     0   1652375    906.00      0.00 91630524 1307740   0.50  python
03:45:03 PM     0   1652375    109.00      0.00 95095736 1307744   0.50  python
03:45:04 PM     0   1652375     87.00      0.00 95103932 1307772   0.50  python
03:45:05 PM     0   1652375    361.00      0.00 95103932 1307772   0.50  python
03:45:06 PM     0   1652375     51.00      0.00 95103932 1307748   0.50  python
03:45:07 PM     0   1652375     41.00      0.00 95103932 1307712   0.50  python
03:45:08 PM     0   1652375    115.00      0.00 95103932 1307800   0.50  python
03:45:09 PM     0   1652375    372.00      0.00 95103932 1307796   0.50  python
03:45:10 PM     0   1652375   1055.00      0.00 91818936 1307804   0.50  python
03:45:11 PM     0   1652375    429.00      0.00 91827132 1307772   0.50  python
03:45:12 PM     0   1652375     43.00      0.00 91827132 1307736   0.50  python
03:45:13 PM     0   1652375     34.00      0.00 91827132 1307708   0.50  python
03:45:14 PM     0   1652375     46.00      0.00 91827132 1307668   0.50  python
03:45:15 PM     0   1652375     95.00      0.00 91827132 1307628   0.50  python
03:45:16 PM     0   1652375     49.00      0.00 91827132 1307592   0.50  python
03:45:17 PM     0   1652375     40.00      0.00 91827132 1307800   0.50  python
03:45:18 PM     0   1652375     32.00      0.00 91818936 1307768   0.50  python
03:45:19 PM     0   1652375     36.00      0.00 91818936 1307740   0.50  python
03:45:20 PM     0   1652375     45.00      0.00 91827132 1307704   0.50  python
03:45:21 PM     0   1652375     41.00      0.00 91827132 1307668   0.50  python
03:45:22 PM     0   1652375     35.00      0.00 91818936 1307628   0.50  python
03:45:23 PM     0   1652375     40.00      0.00 91827132 1307604   0.50  python
03:45:24 PM     0   1652375     39.00      0.00 91827132 1307816   0.50  python
03:45:25 PM     0   1652375     28.00      0.00 91827132 1307788   0.50  python
03:45:26 PM     0   1652375   9743.00      0.00 91848088 1333536   0.51  python
03:45:27 PM     0   1652375    208.00      0.00 91856284 1333560   0.51  python
03:45:28 PM     0   1652375    265.00      0.00 91856284 1333604   0.51  python
03:45:29 PM     0   1652375   1324.00      0.00 91856284 1333616   0.51  python
03:45:30 PM     0   1652375    582.00      0.00 91856284 1333620   0.51  python
03:45:31 PM     0   1652375     63.00      0.00 91856284 1333584   0.51  python
03:45:32 PM     0   1652375     47.00      0.00 91856284 1333592   0.51  python
03:45:33 PM     0   1652375    959.00      0.00 91856284 1333620   0.51  python
03:45:34 PM     0   1652375     68.00      0.00 91856284 1333580   0.51  python
03:45:35 PM     0   1652375    239.00      0.00 91856284 1333552   0.51  python
03:45:36 PM     0   1652375    906.00      0.00 94477724 1333624   0.51  python
03:45:37 PM     0   1652375     46.00      0.00 94469528 1333588   0.51  python
03:45:38 PM     0   1652375   1443.00      0.00 94477724 1333624   0.51  python
03:45:39 PM     0   1652375    964.00      0.00 94469528 1333648   0.51  python
03:45:40 PM     0   1652375     48.00      0.00 94477724 1333620   0.51  python
03:45:41 PM     0   1652375    173.00      0.00 94469528 1333584   0.51  python
03:45:42 PM     0   1652375     48.00      0.00 94469528 1333628   0.51  python
03:45:43 PM     0   1652375  64100.00      0.00 94449292 1341496   0.51  python
