Linux 5.15.0-119-generic (node1) 	05/07/2025 	_x86_64_	(64 CPU)

04:27:06 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:27:07 PM     0   1774335   69.00   28.00    0.00    0.00   97.00    57  python
04:27:08 PM     0   1774335   82.00   18.00    0.00    0.00  100.00    57  python
04:27:09 PM     0   1774335   72.00   28.00    0.00    0.00  100.00    57  python
04:27:10 PM     0   1774335   78.00   22.00    0.00    0.00  100.00    57  python
04:27:11 PM     0   1774335   57.00   44.00    0.00    0.00  101.00    57  python
04:27:12 PM     0   1774335   51.00   48.00    0.00    0.00   99.00    57  python
04:27:13 PM     0   1774335   54.00   47.00    0.00    0.00  101.00    57  python
04:27:14 PM     0   1774335   68.00   31.00    0.00    0.00   99.00    57  python
04:27:15 PM     0   1774335  100.00    0.00    0.00    0.00  100.00    57  python
04:27:16 PM     0   1774335  100.00    0.00    0.00    0.00  100.00    57  python
04:27:17 PM     0   1774335  100.00    0.00    0.00    0.00  100.00    57  python
04:27:18 PM     0   1774335  100.00    0.00    0.00    0.00  100.00    57  python
04:27:19 PM     0   1774335  100.00    0.00    0.00    0.00  100.00    57  python
04:27:20 PM     0   1774335  100.00    0.00    0.00    0.00  100.00    57  python
04:27:21 PM     0   1774335   95.00    1.00    0.00    0.00   96.00    57  python
04:27:22 PM     0   1774335    0.00    0.00    0.00    0.00    0.00    57  python
04:27:23 PM     0   1774335    0.00    0.00    0.00    0.00    0.00    57  python
04:27:24 PM     0   1774335    0.00    0.00    0.00    0.00    0.00    57  python
04:27:25 PM     0   1774335    0.00    0.00    0.00    0.00    0.00    57  python
04:27:26 PM     0   1774335    0.00    0.00    0.00    0.00    0.00    57  python
04:27:27 PM     0   1774335    0.00    0.00    0.00    0.00    0.00    57  python
04:27:28 PM     0   1774335    0.00    0.00    0.00    0.00    0.00    57  python
04:27:29 PM     0   1774335    0.00    0.00    0.00    0.00    0.00    57  python
04:27:30 PM     0   1774335    0.00    0.00    0.00    0.00    0.00    57  python
04:27:31 PM     0   1774335    0.00    0.00    0.00    0.00    0.00    57  python
04:27:32 PM     0   1774335    0.00    0.00    0.00    0.00    0.00    57  python
04:27:33 PM     0   1774335    0.00    0.00    0.00    0.00    0.00    57  python
04:27:34 PM     0   1774335    0.00    0.00    0.00    0.00    0.00    57  python
04:27:35 PM     0   1774335    0.00    0.00    0.00    0.00    0.00    57  python
04:27:36 PM     0   1774335    0.00    0.00    0.00    0.00    0.00    57  python
04:27:37 PM     0   1774335   83.00    6.00    0.00    0.00   89.00    57  python
04:27:38 PM     0   1774335   93.00    7.00    0.00    0.00  100.00    57  python
04:27:39 PM     0   1774335   93.00    8.00    0.00    0.00  101.00    57  python
04:27:40 PM     0   1774335   92.00    8.00    0.00    0.00  100.00    57  python
04:27:41 PM     0   1774335   96.00    4.00    0.00    0.00  100.00    57  python
04:27:42 PM     0   1774335   93.00    6.00    0.00    0.00   99.00    57  python
04:27:43 PM     0   1774335   93.00    7.00    0.00    0.00  100.00    57  python
04:27:44 PM     0   1774335   93.00    7.00    0.00    0.00  100.00    57  python
04:27:45 PM     0   1774335   92.00    8.00    0.00    0.00  100.00    57  python
04:27:46 PM     0   1774335   95.00    6.00    0.00    0.00  101.00    57  python
04:27:47 PM     0   1774335   94.00    5.00    0.00    0.00   99.00    57  python
04:27:48 PM     0   1774335   95.00    6.00    0.00    0.00  101.00    57  python
04:27:49 PM     0   1774335   92.00    7.00    0.00    0.00   99.00    57  python
04:27:50 PM     0   1774335   94.00    7.00    0.00    0.00  101.00    57  python
04:27:51 PM     0   1774335   96.00    4.00    0.00    0.00  100.00    57  python
04:27:52 PM     0   1774335   93.00    7.00    0.00    0.00  100.00    57  python
04:27:53 PM     0   1774335   95.00    5.00    0.00    0.00  100.00    57  python
04:27:54 PM     0   1774335   85.00   12.00    0.00    0.00   97.00    57  python
