timestamp,task_name,name,index,pcie_rx_bytes,dram_power,cpu_usage,temperature.memory,pcie.link.width.current,utilization.gpu [%],sm_occupancy,clocks.current.sm [MHz],dram_usage,nvlink_tx_bytes,power.draw [W],temperature.gpu,usage.memory [%],dram_active,nvlink_rx_bytes,sm_active,pcie.link.gen.current,clocks.current.memory [MHz],tensor_active,clocks.current.graphics [MHz],utilization.memory [%],pcie_tx_bytes,cpu_power
2025-05-07 14:32:00.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,8.94 W,2.2 %,57.00 °C,16,4.00 %,0.00 %,1410 MHz,5.3 %,0.00 GB/s,77.56 W,55.00 °C,17.23 %,0.00 %,0.00 GB/s,0.00 %,4,1512 MHz,0.00 %,1410 MHz,0.00 %,0.12 GB/s,151.40 W
2025-05-07 14:32:00.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,9.24 W,3.7 %,57.00 °C,16,0.00 %,0.00 %,1410 MHz,5.4 %,0.00 GB/s,78.05 W,55.00 °C,17.26 %,0.00 %,0.00 GB/s,0.00 %,4,1512 MHz,0.00 %,1410 MHz,0.00 %,0.12 GB/s,150.58 W
2025-05-07 14:32:00.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,9.16 W,3.4 %,57.00 °C,16,0.00 %,0.00 %,1410 MHz,5.4 %,0.00 GB/s,85.24 W,55.00 °C,20.45 %,0.00 %,0.00 GB/s,0.00 %,4,1512 MHz,0.00 %,1410 MHz,0.00 %,0.12 GB/s,151.51 W
2025-05-07 14:32:00.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.11 W,3.4 %,57.00 °C,16,6.00 %,12.40 %,1410 MHz,5.5 %,0.00 GB/s,137.52 W,55.00 °C,20.45 %,19.00 %,0.00 GB/s,100.00 %,4,1512 MHz,91.50 %,1410 MHz,0.00 %,0.07 GB/s,150.48 W
2025-05-07 14:32:00.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,9.13 W,3.7 %,57.00 °C,16,6.00 %,12.50 %,1410 MHz,5.5 %,0.00 GB/s,78.93 W,58.00 °C,30.38 %,12.00 %,0.00 GB/s,100.00 %,4,1512 MHz,70.10 %,1410 MHz,0.00 %,0.09 GB/s,149.33 W
2025-05-07 14:32:00.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.08 W,4.3 %,59.00 °C,16,66.00 %,12.40 %,1170 MHz,5.5 %,0.00 GB/s,243.81 W,60.00 °C,30.38 %,17.00 %,0.00 GB/s,100.00 %,4,1512 MHz,91.10 %,1170 MHz,17.00 %,0.08 GB/s,153.94 W
2025-05-07 14:32:00.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,9.30 W,3.4 %,59.00 °C,16,66.00 %,12.50 %,1155 MHz,5.5 %,0.00 GB/s,301.60 W,60.00 °C,32.45 %,18.80 %,0.00 GB/s,99.90 %,4,1512 MHz,90.90 %,1155 MHz,17.00 %,0.06 GB/s,150.64 W
2025-05-07 14:32:00.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,9.39 W,4.0 %,61.00 °C,16,100.00 %,12.50 %,1065 MHz,5.5 %,0.00 GB/s,344.98 W,61.00 °C,69.71 %,13.50 %,0.00 GB/s,100.00 %,4,1512 MHz,70.00 %,1065 MHz,27.00 %,0.09 GB/s,146.30 W
2025-05-07 14:32:01.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.33 W,4.0 %,59.00 °C,16,100.00 %,12.40 %,1170 MHz,5.5 %,0.00 GB/s,305.30 W,61.00 °C,73.85 %,17.10 %,0.00 GB/s,100.00 %,4,1512 MHz,91.00 %,1170 MHz,27.00 %,0.08 GB/s,153.18 W
2025-05-07 14:32:01.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.09 W,2.8 %,59.00 °C,16,100.00 %,92.60 %,1155 MHz,5.5 %,0.00 GB/s,308.01 W,61.00 °C,73.85 %,41.70 %,0.00 GB/s,100.00 %,4,1512 MHz,2.70 %,1155 MHz,25.00 %,0.08 GB/s,148.21 W
2025-05-07 14:32:01.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.11 W,3.4 %,61.00 °C,16,100.00 %,12.50 %,1065 MHz,5.5 %,0.00 GB/s,286.19 W,61.00 °C,75.93 %,16.40 %,0.00 GB/s,100.00 %,4,1512 MHz,70.10 %,1065 MHz,25.00 %,0.09 GB/s,152.93 W
2025-05-07 14:32:01.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,8.98 W,3.1 %,61.00 °C,16,100.00 %,12.50 %,1185 MHz,5.5 %,0.00 GB/s,270.99 W,62.00 °C,75.93 %,13.50 %,0.00 GB/s,100.00 %,4,1512 MHz,69.80 %,1185 MHz,33.00 %,0.09 GB/s,149.00 W
2025-05-07 14:32:01.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.12 W,6.2 %,61.00 °C,16,100.00 %,91.70 %,1170 MHz,5.5 %,0.00 GB/s,301.59 W,62.00 °C,75.93 %,90.90 %,0.00 GB/s,100.00 %,4,1512 MHz,0.00 %,1170 MHz,33.00 %,0.05 GB/s,150.00 W
2025-05-07 14:32:01.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,9.16 W,3.7 %,61.00 °C,16,100.00 %,93.40 %,1065 MHz,5.5 %,0.00 GB/s,310.74 W,61.00 °C,75.93 %,48.70 %,0.00 GB/s,100.00 %,4,1512 MHz,4.30 %,1065 MHz,24.00 %,0.08 GB/s,151.98 W
2025-05-07 14:32:01.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.01 W,3.4 %,61.00 °C,16,100.00 %,12.50 %,1050 MHz,5.5 %,0.00 GB/s,335.10 W,61.00 °C,78.00 %,14.00 %,0.00 GB/s,100.00 %,4,1512 MHz,70.00 %,1050 MHz,24.00 %,0.09 GB/s,153.34 W
2025-05-07 14:32:01.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.04 W,3.1 %,61.00 °C,16,100.00 %,12.40 %,1170 MHz,5.5 %,0.00 GB/s,305.69 W,62.00 °C,78.00 %,22.70 %,0.00 GB/s,100.00 %,4,1512 MHz,90.40 %,1170 MHz,24.00 %,0.08 GB/s,147.68 W
2025-05-07 14:32:01.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,8.83 W,3.7 %,61.00 °C,16,100.00 %,12.40 %,1050 MHz,5.5 %,0.00 GB/s,305.69 W,62.00 °C,78.00 %,16.40 %,0.00 GB/s,100.00 %,4,1512 MHz,91.50 %,1050 MHz,31.00 %,0.08 GB/s,151.41 W
2025-05-07 14:32:01.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.00 W,3.4 %,61.00 °C,16,100.00 %,12.50 %,1080 MHz,5.5 %,0.00 GB/s,299.27 W,61.00 °C,80.07 %,13.50 %,0.00 GB/s,100.00 %,4,1512 MHz,69.90 %,1080 MHz,31.00 %,0.09 GB/s,151.37 W
2025-05-07 14:32:02.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.21 W,6.2 %,61.00 °C,16,100.00 %,12.50 %,1080 MHz,5.5 %,0.00 GB/s,274.29 W,61.00 °C,80.07 %,11.50 %,0.00 GB/s,100.00 %,4,1512 MHz,70.10 %,1080 MHz,25.00 %,0.09 GB/s,152.94 W
2025-05-07 14:32:02.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.09 W,3.7 %,61.00 °C,16,100.00 %,12.40 %,1170 MHz,5.5 %,0.00 GB/s,277.91 W,62.00 °C,80.07 %,16.60 %,0.00 GB/s,99.90 %,4,1512 MHz,92.90 %,1170 MHz,25.00 %,0.08 GB/s,151.46 W
2025-05-07 14:32:02.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,9.15 W,3.4 %,61.00 °C,16,100.00 %,92.30 %,1185 MHz,5.5 %,0.00 GB/s,306.07 W,62.00 °C,80.07 %,37.90 %,0.00 GB/s,100.00 %,4,1512 MHz,4.20 %,1185 MHz,28.00 %,0.08 GB/s,152.44 W
2025-05-07 14:32:02.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,9.23 W,3.7 %,61.00 °C,16,100.00 %,12.50 %,1080 MHz,5.5 %,0.00 GB/s,321.22 W,61.00 °C,82.14 %,13.40 %,0.00 GB/s,100.00 %,4,1512 MHz,70.10 %,1080 MHz,28.00 %,0.09 GB/s,150.64 W
2025-05-07 14:32:02.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,8.94 W,3.4 %,61.00 °C,16,100.00 %,12.50 %,1170 MHz,5.5 %,0.00 GB/s,310.44 W,62.00 °C,82.14 %,18.20 %,0.00 GB/s,99.90 %,4,1512 MHz,91.30 %,1170 MHz,31.00 %,0.08 GB/s,152.62 W
2025-05-07 14:32:02.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.16 W,4.0 %,61.00 °C,16,100.00 %,12.50 %,1110 MHz,5.5 %,0.00 GB/s,316.07 W,61.00 °C,84.21 %,14.60 %,0.00 GB/s,100.00 %,4,1512 MHz,70.20 %,1110 MHz,31.00 %,0.09 GB/s,151.43 W
2025-05-07 14:32:02.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.09 W,3.7 %,61.00 °C,16,100.00 %,12.50 %,1110 MHz,5.5 %,0.00 GB/s,261.49 W,61.00 °C,84.21 %,15.90 %,0.00 GB/s,100.00 %,4,1512 MHz,69.90 %,1110 MHz,36.00 %,0.09 GB/s,150.39 W
2025-05-07 14:32:02.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,8.92 W,4.3 %,63.00 °C,16,100.00 %,12.40 %,1170 MHz,5.5 %,0.00 GB/s,304.62 W,62.00 °C,84.21 %,15.20 %,0.00 GB/s,100.00 %,4,1512 MHz,91.00 %,1170 MHz,36.00 %,0.08 GB/s,150.82 W
2025-05-07 14:32:02.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.07 W,3.1 %,61.00 °C,16,100.00 %,12.40 %,1110 MHz,5.5 %,0.00 GB/s,308.31 W,62.00 °C,84.21 %,21.90 %,0.00 GB/s,100.00 %,4,1512 MHz,90.50 %,1110 MHz,36.00 %,0.08 GB/s,148.11 W
2025-05-07 14:32:03.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.03 W,3.4 %,63.00 °C,16,100.00 %,12.50 %,1050 MHz,5.5 %,0.00 GB/s,308.31 W,62.00 °C,86.28 %,11.00 %,0.00 GB/s,100.00 %,4,1512 MHz,70.10 %,1050 MHz,24.00 %,0.09 GB/s,152.64 W
2025-05-07 14:32:03.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.10 W,3.1 %,63.00 °C,16,100.00 %,12.40 %,1170 MHz,5.5 %,0.00 GB/s,270.49 W,62.00 °C,86.28 %,23.40 %,0.00 GB/s,100.00 %,4,1512 MHz,90.50 %,1170 MHz,24.00 %,0.08 GB/s,150.14 W
2025-05-07 14:32:03.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.22 W,5.6 %,61.00 °C,16,100.00 %,12.50 %,1170 MHz,5.5 %,0.00 GB/s,311.42 W,63.00 °C,86.28 %,18.30 %,0.00 GB/s,99.90 %,4,1512 MHz,91.20 %,1170 MHz,29.00 %,0.07 GB/s,152.18 W
2025-05-07 14:32:03.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.03 W,4.7 %,63.00 °C,16,100.00 %,12.50 %,1170 MHz,5.5 %,0.00 GB/s,329.16 W,62.00 °C,88.35 %,16.00 %,0.00 GB/s,100.00 %,4,1512 MHz,70.10 %,1170 MHz,29.00 %,0.09 GB/s,150.23 W
2025-05-07 14:32:03.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.15 W,4.0 %,63.00 °C,16,100.00 %,12.50 %,1095 MHz,5.5 %,0.00 GB/s,243.17 W,62.00 °C,88.35 %,12.20 %,0.00 GB/s,100.00 %,4,1512 MHz,69.90 %,1095 MHz,26.00 %,0.09 GB/s,148.35 W
2025-05-07 14:32:03.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.00 W,4.0 %,63.00 °C,16,100.00 %,12.40 %,1170 MHz,5.5 %,0.00 GB/s,302.09 W,63.00 °C,88.35 %,15.60 %,0.00 GB/s,100.00 %,4,1512 MHz,91.00 %,1170 MHz,26.00 %,0.08 GB/s,151.87 W
2025-05-07 14:32:03.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,9.07 W,2.5 %,61.00 °C,16,100.00 %,12.50 %,1080 MHz,5.5 %,0.00 GB/s,305.39 W,63.00 °C,90.42 %,12.30 %,0.00 GB/s,100.00 %,4,1512 MHz,70.00 %,1080 MHz,26.00 %,0.09 GB/s,154.82 W
2025-05-07 14:32:03.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,9.07 W,3.7 %,63.00 °C,16,100.00 %,12.50 %,1080 MHz,5.5 %,0.00 GB/s,309.09 W,61.00 °C,90.42 %,13.00 %,0.00 GB/s,100.00 %,4,1512 MHz,70.00 %,1080 MHz,26.00 %,0.09 GB/s,155.56 W
