timestamp,task_name,name,index,pcie.link.width.current,temperature.memory,tensor_active,pcie_tx_bytes,usage.memory [%],temperature.gpu,cpu_power,dram_power,pcie.link.gen.current,cpu_usage,clocks.current.graphics [MHz],utilization.gpu [%],power.draw [W],sm_occupancy,nvlink_tx_bytes,dram_usage,clocks.current.memory [MHz],sm_active,pcie_rx_bytes,nvlink_rx_bytes,clocks.current.sm [MHz],utilization.memory [%],dram_active
2025-05-07 14:33:46.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,57.00 °C,0.00 %,0.12 GB/s,17.13 %,56.00 °C,149.18 W,9.20 W,4,3.4 %,1410 MHz,0.00 %,78.35 W,0.00 %,0.00 GB/s,5.4 %,1512 MHz,0.00 %,0.05 GB/s,0.00 GB/s,1410 MHz,0.00 %,2.00 %
2025-05-07 14:33:46.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,57.00 °C,0.00 %,0.12 GB/s,17.26 %,56.00 °C,151.85 W,9.18 W,4,3.4 %,1410 MHz,0.00 %,81.88 W,0.00 %,0.00 GB/s,5.4 %,1512 MHz,0.00 %,0.05 GB/s,0.00 GB/s,1410 MHz,0.00 %,0.00 %
2025-05-07 14:33:46.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,57.00 °C,0.00 %,0.12 GB/s,20.45 %,56.00 °C,153.73 W,9.16 W,4,3.1 %,1410 MHz,0.00 %,86.52 W,0.00 %,0.00 GB/s,5.4 %,1512 MHz,0.00 %,0.05 GB/s,0.00 GB/s,1410 MHz,0.00 %,0.00 %
2025-05-07 14:33:47.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,57.00 °C,90.50 %,0.09 GB/s,20.45 %,56.00 °C,157.43 W,9.18 W,4,3.4 %,1410 MHz,6.00 %,80.12 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1410 MHz,0.00 %,25.70 %
2025-05-07 14:33:47.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,57.00 °C,70.00 %,0.09 GB/s,23.93 %,56.00 °C,152.58 W,9.15 W,4,3.1 %,1410 MHz,6.00 %,398.04 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1410 MHz,0.00 %,16.20 %
2025-05-07 14:33:47.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,59.00 °C,31.00 %,0.11 GB/s,30.38 %,59.00 °C,150.13 W,9.36 W,4,5.3 %,1155 MHz,6.00 %,309.47 W,3.90 %,0.00 GB/s,5.5 %,1512 MHz,50.60 %,0.04 GB/s,0.00 GB/s,1155 MHz,0.00 %,0.10 %
2025-05-07 14:33:47.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,59.00 °C,90.70 %,0.08 GB/s,30.38 %,62.00 °C,150.16 W,9.08 W,4,4.4 %,1155 MHz,5.00 %,321.25 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,99.90 %,0.05 GB/s,0.00 GB/s,1155 MHz,4.00 %,18.70 %
2025-05-07 14:33:47.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,61.00 °C,70.10 %,0.05 GB/s,73.85 %,62.00 °C,150.27 W,9.06 W,4,3.7 %,1080 MHz,5.00 %,321.25 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.03 GB/s,0.00 GB/s,1080 MHz,4.00 %,16.00 %
2025-05-07 14:33:47.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,61.00 °C,70.00 %,0.09 GB/s,73.85 %,62.00 °C,152.88 W,9.18 W,4,4.0 %,1080 MHz,100.00 %,282.01 W,12.50 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.04 GB/s,0.00 GB/s,1080 MHz,32.00 %,13.70 %
2025-05-07 14:33:47.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,61.00 °C,91.00 %,0.07 GB/s,73.85 %,63.00 °C,150.70 W,8.99 W,4,3.9 %,1170 MHz,100.00 %,291.37 W,12.40 %,0.00 GB/s,5.5 %,1512 MHz,100.00 %,0.03 GB/s,0.00 GB/s,1170 MHz,32.00 %,15.20 %
