timestamp,task_name,name,index,cpu_usage,cpu_power,tensor_active,utilization.memory [%],dram_active,temperature.memory,clocks.current.memory [MHz],utilization.gpu [%],clocks.current.sm [MHz],clocks.current.graphics [MHz],dram_power,pcie_rx_bytes,power.draw [W],pcie.link.gen.current,dram_usage,nvlink_rx_bytes,usage.memory [%],pcie_tx_bytes,sm_occupancy,temperature.gpu,pcie.link.width.current,sm_active,nvlink_tx_bytes
2025-05-07 14:34:40.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,159.14 W,0.00 %,0.00 %,2.00 %,57.00 °C,1512 MHz,0.00 %,1410 MHz,1410 MHz,9.36 W,0.06 GB/s,78.95 W,4,5.4 %,0.00 GB/s,17.13 %,0.10 GB/s,0.00 %,56.00 °C,16,0.00 %,0.00 GB/s
2025-05-07 14:34:40.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.7 %,152.66 W,0.00 %,0.00 %,0.00 %,57.00 °C,1512 MHz,0.00 %,1410 MHz,1410 MHz,9.29 W,0.05 GB/s,79.31 W,4,5.4 %,0.00 GB/s,17.26 %,0.12 GB/s,0.00 %,56.00 °C,16,0.00 %,0.00 GB/s
2025-05-07 14:34:40.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,6.4 %,148.75 W,0.00 %,0.00 %,0.00 %,57.00 °C,1512 MHz,6.00 %,1410 MHz,1410 MHz,9.24 W,0.05 GB/s,98.68 W,4,5.4 %,0.00 GB/s,20.45 %,0.12 GB/s,0.00 %,56.00 °C,16,0.00 %,0.00 GB/s
2025-05-07 14:34:40.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,150.75 W,0.00 %,0.00 %,0.00 %,57.00 °C,1512 MHz,6.00 %,1410 MHz,1410 MHz,9.23 W,0.05 GB/s,98.68 W,4,5.5 %,0.00 GB/s,20.45 %,0.12 GB/s,0.00 %,56.00 °C,16,0.00 %,0.00 GB/s
2025-05-07 14:34:40.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,149.84 W,70.10 %,4.00 %,12.40 %,57.00 °C,1512 MHz,5.00 %,1410 MHz,1410 MHz,9.12 W,0.04 GB/s,90.54 W,4,5.5 %,0.00 GB/s,23.93 %,0.09 GB/s,12.50 %,56.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:40.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,148.07 W,90.70 %,4.00 %,23.20 %,59.00 °C,1512 MHz,5.00 %,1140 MHz,1140 MHz,9.22 W,0.04 GB/s,317.86 W,4,5.5 %,0.00 GB/s,30.38 %,0.08 GB/s,12.40 %,61.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:41.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,153.41 W,90.80 %,13.00 %,19.20 %,59.00 °C,1512 MHz,45.00 %,1155 MHz,1155 MHz,9.21 W,0.05 GB/s,302.86 W,4,5.5 %,0.00 GB/s,30.38 %,0.08 GB/s,12.50 %,61.00 °C,16,99.90 %,0.00 GB/s
2025-05-07 14:34:41.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,152.92 W,69.90 %,13.00 %,13.60 %,61.00 °C,1512 MHz,45.00 %,1065 MHz,1065 MHz,8.90 W,0.05 GB/s,311.90 W,4,5.5 %,0.00 GB/s,73.85 %,0.09 GB/s,12.50 %,61.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:41.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.9 %,147.89 W,69.80 %,24.00 %,15.60 %,61.00 °C,1512 MHz,100.00 %,1050 MHz,1050 MHz,9.04 W,0.04 GB/s,248.29 W,4,5.5 %,0.00 GB/s,73.85 %,0.09 GB/s,12.50 %,61.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:41.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,148.95 W,91.00 %,24.00 %,15.60 %,61.00 °C,1512 MHz,100.00 %,1155 MHz,1155 MHz,9.14 W,0.04 GB/s,300.53 W,4,5.5 %,0.00 GB/s,73.85 %,0.08 GB/s,12.40 %,62.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:41.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.7 %,152.36 W,91.20 %,24.00 %,16.50 %,61.00 °C,1512 MHz,100.00 %,1080 MHz,1080 MHz,9.15 W,0.04 GB/s,300.04 W,4,5.5 %,0.00 GB/s,73.85 %,0.08 GB/s,12.40 %,62.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:41.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,149.85 W,70.00 %,29.00 %,15.30 %,61.00 °C,1512 MHz,100.00 %,1095 MHz,1095 MHz,9.03 W,0.05 GB/s,302.69 W,4,5.5 %,0.00 GB/s,75.93 %,0.09 GB/s,12.50 %,61.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:41.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,6.5 %,154.62 W,90.50 %,30.00 %,22.80 %,61.00 °C,1512 MHz,100.00 %,1170 MHz,1170 MHz,9.29 W,0.04 GB/s,232.11 W,4,5.5 %,0.00 GB/s,75.93 %,0.08 GB/s,12.40 %,61.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:41.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,5.2 %,152.39 W,90.90 %,30.00 %,21.90 %,61.00 °C,1512 MHz,100.00 %,1185 MHz,1185 MHz,9.22 W,0.04 GB/s,358.49 W,4,5.5 %,0.00 GB/s,75.93 %,0.08 GB/s,12.40 %,63.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:41.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.6 %,149.20 W,70.10 %,30.00 %,12.70 %,61.00 °C,1512 MHz,100.00 %,1080 MHz,1080 MHz,9.02 W,0.04 GB/s,285.70 W,4,5.5 %,0.00 GB/s,78.00 %,0.09 GB/s,12.50 %,63.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:41.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,151.65 W,70.00 %,22.00 %,13.00 %,63.00 °C,1512 MHz,100.00 %,1170 MHz,1170 MHz,9.09 W,0.04 GB/s,285.70 W,4,5.5 %,0.00 GB/s,78.00 %,0.09 GB/s,12.50 %,61.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:42.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,151.14 W,93.20 %,22.00 %,16.60 %,61.00 °C,1512 MHz,100.00 %,1155 MHz,1155 MHz,9.09 W,0.04 GB/s,312.10 W,4,5.5 %,0.00 GB/s,78.00 %,0.08 GB/s,12.40 %,63.00 °C,16,99.90 %,0.00 GB/s
2025-05-07 14:34:42.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,150.78 W,4.20 %,23.00 %,36.80 %,63.00 °C,1512 MHz,100.00 %,1155 MHz,1155 MHz,9.06 W,0.04 GB/s,267.68 W,4,5.5 %,0.00 GB/s,78.00 %,0.08 GB/s,92.30 %,63.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:42.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,149.94 W,70.10 %,23.00 %,12.80 %,63.00 °C,1512 MHz,100.00 %,1080 MHz,1080 MHz,8.90 W,0.05 GB/s,279.96 W,4,5.5 %,0.00 GB/s,80.07 %,0.09 GB/s,12.50 %,62.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:42.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,150.61 W,90.50 %,30.00 %,21.90 %,63.00 °C,1512 MHz,100.00 %,1170 MHz,1170 MHz,8.81 W,0.04 GB/s,238.17 W,4,5.5 %,0.00 GB/s,80.07 %,0.08 GB/s,12.40 %,62.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:42.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.9 %,150.35 W,90.90 %,30.00 %,22.20 %,63.00 °C,1512 MHz,100.00 %,1125 MHz,1125 MHz,8.95 W,0.04 GB/s,322.98 W,4,5.5 %,0.00 GB/s,80.07 %,0.08 GB/s,12.40 %,63.00 °C,16,100.00 %,0.00 GB/s
2025-05-07 14:34:42.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,149.03 W,69.80 %,30.00 %,15.60 %,63.00 °C,1512 MHz,100.00 %,1080 MHz,1080 MHz,8.83 W,0.04 GB/s,316.05 W,4,5.5 %,0.00 GB/s,82.14 %,0.09 GB/s,12.50 %,63.00 °C,16,100.00 %,0.00 GB/s
