timestamp,task_name,name,index,usage.memory [%],sm_occupancy,utilization.memory [%],power.draw [W],cpu_power,temperature.memory,sm_active,clocks.current.sm [MHz],utilization.gpu [%],cpu_usage,pcie_rx_bytes,nvlink_rx_bytes,clocks.current.memory [MHz],clocks.current.graphics [MHz],dram_usage,pcie.link.gen.current,pcie_tx_bytes,pcie.link.width.current,tensor_active,nvlink_tx_bytes,temperature.gpu,dram_active,dram_power
2025-05-07 14:35:34.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,17.13 %,0.00 %,0.00 %,79.93 W,148.58 W,57.00 °C,0.00 %,1410 MHz,0.00 %,3.4 %,0.05 GB/s,0.00 GB/s,1512 MHz,1410 MHz,5.4 %,4,0.12 GB/s,16,0.00 %,0.00 GB/s,56.00 °C,2.00 %,9.24 W
2025-05-07 14:35:34.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,17.26 %,0.00 %,0.00 %,92.41 W,155.05 W,57.00 °C,0.00 %,1410 MHz,0.00 %,3.4 %,0.05 GB/s,0.00 GB/s,1512 MHz,1410 MHz,5.4 %,4,0.12 GB/s,16,0.00 %,0.00 GB/s,56.00 °C,0.00 %,9.16 W
2025-05-07 14:35:34.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,20.45 %,0.00 %,0.00 %,86.95 W,150.81 W,57.00 °C,0.00 %,1410 MHz,0.00 %,2.5 %,0.05 GB/s,0.00 GB/s,1512 MHz,1410 MHz,5.4 %,4,0.12 GB/s,16,0.00 %,0.00 GB/s,56.00 °C,0.00 %,8.99 W
2025-05-07 14:35:34.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,20.45 %,0.00 %,2.00 %,90.23 W,151.86 W,57.00 °C,0.00 %,1410 MHz,8.00 %,5.1 %,1.06 GB/s,0.00 GB/s,1512 MHz,1410 MHz,5.5 %,4,0.24 GB/s,16,0.00 %,0.00 GB/s,56.00 °C,0.00 %,9.24 W
2025-05-07 14:35:34.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,23.93 %,12.50 %,2.00 %,369.45 W,150.40 W,57.00 °C,100.00 %,1365 MHz,8.00 %,4.4 %,0.05 GB/s,0.00 GB/s,1512 MHz,1365 MHz,5.5 %,4,0.09 GB/s,16,70.10 %,0.00 GB/s,56.00 °C,13.90 %,9.27 W
2025-05-07 14:35:34.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,30.38 %,12.40 %,12.00 %,302.97 W,154.39 W,59.00 °C,100.00 %,1155 MHz,32.00 %,3.4 %,0.05 GB/s,0.00 GB/s,1512 MHz,1155 MHz,5.5 %,4,0.08 GB/s,16,91.00 %,0.00 GB/s,62.00 °C,15.30 %,9.26 W
2025-05-07 14:35:34.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,53.15 %,93.50 %,12.00 %,324.63 W,152.25 W,61.00 °C,100.00 %,1170 MHz,32.00 %,6.0 %,0.04 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.5 %,4,0.08 GB/s,16,4.30 %,0.00 GB/s,62.00 °C,49.20 %,9.35 W
2025-05-07 14:35:34.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,73.85 %,12.50 %,23.00 %,276.26 W,152.94 W,61.00 °C,100.00 %,1065 MHz,100.00 %,4.7 %,0.04 GB/s,0.00 GB/s,1512 MHz,1065 MHz,5.5 %,4,0.09 GB/s,16,70.20 %,0.00 GB/s,62.00 °C,13.90 %,9.39 W
2025-05-07 14:35:34.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,73.85 %,12.40 %,23.00 %,272.94 W,154.23 W,61.00 °C,100.00 %,1170 MHz,100.00 %,3.4 %,0.04 GB/s,0.00 GB/s,1512 MHz,1170 MHz,5.5 %,4,0.08 GB/s,16,91.40 %,0.00 GB/s,62.00 °C,17.10 %,9.31 W
2025-05-07 14:35:35.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,73.85 %,12.40 %,30.00 %,301.50 W,152.46 W,61.00 °C,100.00 %,1065 MHz,100.00 %,1.9 %,0.04 GB/s,0.00 GB/s,1512 MHz,1065 MHz,5.5 %,4,0.08 GB/s,16,90.60 %,0.00 GB/s,62.00 °C,21.40 %,8.95 W
