timestamp,task_name,name,index,nvlink_tx_bytes,power.draw [W],usage.memory [%],tensor_active,temperature.memory,clocks.current.sm [MHz],cpu_usage,utilization.gpu [%],clocks.current.graphics [MHz],pcie.link.width.current,dram_active,sm_active,utilization.memory [%],pcie.link.gen.current,cpu_power,temperature.gpu,dram_usage,dram_power,sm_occupancy,clocks.current.memory [MHz],nvlink_rx_bytes,pcie_tx_bytes,pcie_rx_bytes
2025-05-07 14:37:20.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,81.49 W,17.13 %,0.00 %,57.00 °C,1410 MHz,3.1 %,0.00 %,1410 MHz,16,2.00 %,0.00 %,0.00 %,4,149.55 W,56.00 °C,5.4 %,9.29 W,0.00 %,1512 MHz,0.00 GB/s,0.12 GB/s,0.05 GB/s
2025-05-07 14:37:20.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,78.95 W,17.26 %,0.00 %,57.00 °C,1410 MHz,3.7 %,0.00 %,1410 MHz,16,0.00 %,0.00 %,0.00 %,4,152.18 W,56.00 °C,5.4 %,9.28 W,0.00 %,1512 MHz,0.00 GB/s,0.12 GB/s,0.05 GB/s
2025-05-07 14:37:21.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,119.28 W,20.45 %,0.00 %,57.00 °C,1410 MHz,5.3 %,7.00 %,1410 MHz,16,0.00 %,0.00 %,0.00 %,4,155.32 W,56.00 °C,5.5 %,9.27 W,0.00 %,1512 MHz,0.00 GB/s,0.12 GB/s,0.05 GB/s
2025-05-07 14:37:21.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,90.44 W,20.45 %,0.00 %,59.00 °C,1410 MHz,3.6 %,7.00 %,1410 MHz,16,0.00 %,0.00 %,0.00 %,4,152.51 W,56.00 °C,5.5 %,9.20 W,0.00 %,1512 MHz,0.00 GB/s,0.12 GB/s,0.05 GB/s
2025-05-07 14:37:21.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,98.00 W,21.61 %,70.00 %,59.00 °C,1410 MHz,5.5 %,5.00 %,1410 MHz,16,14.80 %,100.00 %,4.00 %,4,153.51 W,56.00 °C,5.6 %,9.16 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:21.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,90.47 W,30.38 %,70.00 %,59.00 °C,1110 MHz,4.0 %,5.00 %,1110 MHz,16,11.70 %,100.00 %,4.00 %,4,147.31 W,61.00 °C,5.6 %,9.16 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:21.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,305.00 W,30.38 %,92.60 %,59.00 °C,1155 MHz,3.4 %,58.00 %,1155 MHz,16,16.70 %,99.90 %,15.00 %,4,136.31 W,62.00 °C,5.6 %,9.29 W,12.40 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.05 GB/s
2025-05-07 14:37:21.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,305.88 W,73.85 %,70.00 %,61.00 °C,1065 MHz,2.2 %,58.00 %,1065 MHz,16,15.40 %,100.00 %,15.00 %,4,152.38 W,61.00 °C,5.6 %,9.17 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:21.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,265.21 W,73.85 %,70.00 %,61.00 °C,1065 MHz,5.0 %,100.00 %,1065 MHz,16,15.10 %,100.00 %,26.00 %,4,149.16 W,62.00 °C,5.6 %,9.26 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:21.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,311.14 W,73.85 %,90.60 %,61.00 °C,1170 MHz,4.5 %,100.00 %,1170 MHz,16,20.90 %,100.00 %,26.00 %,4,151.55 W,62.00 °C,5.6 %,9.21 W,12.40 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:21.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,355.41 W,73.85 %,2.80 %,61.00 °C,1080 MHz,3.4 %,100.00 %,1080 MHz,16,42.00 %,100.00 %,26.00 %,4,147.03 W,63.00 °C,5.6 %,9.14 W,92.60 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.05 GB/s
2025-05-07 14:37:22.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,245.33 W,75.93 %,70.00 %,61.00 °C,1110 MHz,3.1 %,100.00 %,1110 MHz,16,11.50 %,100.00 %,26.00 %,4,148.19 W,62.00 °C,5.6 %,9.15 W,12.50 %,1512 MHz,0.00 GB/s,0.09 GB/s,0.04 GB/s
2025-05-07 14:37:22.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,306.57 W,75.93 %,89.70 %,63.00 °C,1170 MHz,3.4 %,100.00 %,1170 MHz,16,16.40 %,100.00 %,26.00 %,4,150.26 W,62.00 °C,5.6 %,9.17 W,12.30 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
2025-05-07 14:37:22.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,306.57 W,75.93 %,91.20 %,61.00 °C,1110 MHz,3.4 %,100.00 %,1110 MHz,16,20.90 %,99.90 %,31.00 %,4,148.83 W,63.00 °C,5.6 %,9.07 W,12.50 %,1512 MHz,0.00 GB/s,0.08 GB/s,0.04 GB/s
