timestamp,task_name,name,index,cpu_power,utilization.gpu [%],tensor_active,dram_power,cpu_usage,clocks.current.memory [MHz],sm_active,dram_usage,dram_active,power.draw [W],clocks.current.graphics [MHz],usage.memory [%],temperature.memory,utilization.memory [%],clocks.current.sm [MHz],temperature.gpu,pcie.link.width.current,nvlink_tx_bytes,pcie_tx_bytes,nvlink_rx_bytes,pcie.link.gen.current,pcie_rx_bytes,sm_occupancy
2025-05-07 14:39:07.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.41 W,0.00 %,0.00 %,9.32 W,5.0 %,1512 MHz,0.00 %,5.4 %,2.00 %,79.05 W,1410 MHz,17.13 %,59.00 °C,0.00 %,1410 MHz,56.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:07.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,155.61 W,0.00 %,0.00 %,9.25 W,3.3 %,1512 MHz,0.00 %,5.4 %,0.00 %,105.26 W,1410 MHz,17.26 %,57.00 °C,0.00 %,1410 MHz,56.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:07.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.94 W,0.00 %,0.00 %,8.97 W,3.1 %,1512 MHz,0.00 %,5.5 %,0.00 %,89.08 W,1410 MHz,20.45 %,57.00 °C,0.00 %,1410 MHz,56.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:07.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,154.14 W,0.00 %,0.00 %,9.31 W,4.0 %,1512 MHz,0.00 %,5.5 %,0.00 %,89.08 W,1410 MHz,20.45 %,59.00 °C,0.00 %,1410 MHz,56.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:07.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,150.85 W,6.00 %,70.10 %,9.36 W,4.6 %,1512 MHz,100.00 %,5.6 %,14.10 %,93.56 W,1305 MHz,21.61 %,59.00 °C,1.00 %,1305 MHz,56.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:08.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,148.81 W,6.00 %,70.10 %,8.96 W,3.1 %,1512 MHz,100.00 %,5.6 %,15.30 %,89.08 W,1155 MHz,30.38 %,59.00 °C,1.00 %,1155 MHz,61.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:08.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,145.66 W,7.00 %,91.50 %,8.98 W,1.9 %,1512 MHz,100.00 %,5.6 %,16.30 %,308.61 W,1155 MHz,65.57 %,59.00 °C,4.00 %,1155 MHz,62.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:08.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.68 W,7.00 %,69.90 %,9.24 W,3.7 %,1512 MHz,100.00 %,5.6 %,15.00 %,298.10 W,1080 MHz,73.85 %,61.00 °C,4.00 %,1080 MHz,62.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:08.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,153.27 W,100.00 %,70.10 %,9.08 W,3.1 %,1512 MHz,100.00 %,5.6 %,13.70 %,298.10 W,1170 MHz,73.85 %,61.00 °C,23.00 %,1170 MHz,61.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:08.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,149.63 W,100.00 %,92.80 %,8.94 W,3.7 %,1512 MHz,99.90 %,5.6 %,15.80 %,229.47 W,1155 MHz,73.85 %,61.00 °C,23.00 %,1155 MHz,63.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
