timestamp,task_name,name,index,pcie.link.width.current,sm_occupancy,sm_active,clocks.current.memory [MHz],tensor_active,pcie_tx_bytes,power.draw [W],nvlink_rx_bytes,dram_usage,temperature.memory,clocks.current.sm [MHz],dram_active,nvlink_tx_bytes,temperature.gpu,cpu_power,utilization.memory [%],utilization.gpu [%],cpu_usage,pcie.link.gen.current,clocks.current.graphics [MHz],dram_power,pcie_rx_bytes,usage.memory [%]
2025-05-07 14:40:01.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,0.00 %,0.00 %,1512 MHz,0.00 %,0.12 GB/s,79.22 W,0.00 GB/s,5.4 %,57.00 °C,1410 MHz,2.00 %,0.00 GB/s,56.00 °C,154.42 W,0.00 %,0.00 %,3.1 %,4,1410 MHz,9.12 W,0.05 GB/s,17.13 %
2025-05-07 14:40:01.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,0.00 %,0.00 %,1512 MHz,0.00 %,0.12 GB/s,83.57 W,0.00 GB/s,5.4 %,57.00 °C,1410 MHz,0.00 %,0.00 GB/s,56.00 °C,153.14 W,0.00 %,0.00 %,3.1 %,4,1410 MHz,9.22 W,0.05 GB/s,17.26 %
2025-05-07 14:40:02.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,0.00 %,0.00 %,1512 MHz,0.00 %,0.12 GB/s,84.34 W,0.00 GB/s,5.5 %,57.00 °C,1410 MHz,0.00 %,0.00 GB/s,56.00 °C,153.25 W,0.00 %,0.00 %,3.1 %,4,1410 MHz,9.01 W,0.05 GB/s,20.45 %
2025-05-07 14:40:02.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,0.00 %,0.00 %,1512 MHz,0.00 %,0.12 GB/s,91.30 W,0.00 GB/s,5.5 %,57.00 °C,1410 MHz,0.00 %,0.00 GB/s,56.00 °C,150.97 W,2.00 %,8.00 %,3.3 %,4,1410 MHz,9.19 W,0.05 GB/s,20.45 %
2025-05-07 14:40:02.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,69.90 %,0.09 GB/s,84.73 W,0.00 GB/s,5.6 %,59.00 °C,1410 MHz,14.00 %,0.00 GB/s,60.00 °C,154.84 W,2.00 %,8.00 %,2.2 %,4,1410 MHz,9.01 W,0.04 GB/s,30.38 %
2025-05-07 14:40:02.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.40 %,100.00 %,1512 MHz,91.30 %,0.09 GB/s,245.85 W,0.00 GB/s,5.6 %,59.00 °C,1200 MHz,17.10 %,0.00 GB/s,61.00 °C,147.67 W,11.00 %,29.00 %,3.1 %,4,1200 MHz,9.16 W,0.04 GB/s,30.38 %
2025-05-07 14:40:02.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.40 %,100.00 %,1512 MHz,91.00 %,0.08 GB/s,307.13 W,0.00 GB/s,5.6 %,59.00 °C,1155 MHz,20.60 %,0.00 GB/s,62.00 °C,152.29 W,11.00 %,29.00 %,5.2 %,4,1155 MHz,9.22 W,0.04 GB/s,53.15 %
2025-05-07 14:40:02.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,70.10 %,0.09 GB/s,362.97 W,0.00 GB/s,5.6 %,61.00 °C,1050 MHz,12.70 %,0.00 GB/s,62.00 °C,153.15 W,23.00 %,100.00 %,3.7 %,4,1050 MHz,9.15 W,0.05 GB/s,73.85 %
2025-05-07 14:40:02.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,12.50 %,100.00 %,1512 MHz,70.00 %,0.09 GB/s,291.65 W,0.00 GB/s,5.6 %,61.00 °C,1185 MHz,14.70 %,0.00 GB/s,62.00 °C,152.10 W,23.00 %,100.00 %,5.6 %,4,1185 MHz,9.16 W,0.04 GB/s,73.85 %
2025-05-07 14:40:02.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,16,91.60 %,100.00 %,1512 MHz,0.00 %,0.05 GB/s,322.98 W,0.00 GB/s,5.6 %,61.00 °C,1155 MHz,90.80 %,0.00 GB/s,62.00 °C,155.28 W,30.00 %,100.00 %,5.6 %,4,1155 MHz,9.22 W,0.04 GB/s,73.85 %
