timestamp,task_name,name,index,clocks.current.graphics [MHz],temperature.memory,dram_active,utilization.gpu [%],nvlink_tx_bytes,power.draw [W],usage.memory [%],sm_occupancy,pcie.link.width.current,utilization.memory [%],sm_active,cpu_power,pcie.link.gen.current,clocks.current.sm [MHz],nvlink_rx_bytes,clocks.current.memory [MHz],pcie_tx_bytes,cpu_usage,dram_usage,dram_power,pcie_rx_bytes,temperature.gpu,tensor_active
2025-05-07 15:45:52.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1410 MHz,59.00 °C,2.00 %,11.00 %,0.00 GB/s,79.55 W,17.13 %,0.00 %,16,0.00 %,0.00 %,152.91 W,4,1410 MHz,0.00 GB/s,1512 MHz,0.12 GB/s,3.1 %,5.5 %,9.33 W,0.05 GB/s,56.00 °C,0.00 %
2025-05-07 15:45:52.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1410 MHz,59.00 °C,0.00 %,0.00 %,0.00 GB/s,84.65 W,17.26 %,0.00 %,16,0.00 %,0.00 %,154.72 W,4,1410 MHz,0.00 GB/s,1512 MHz,0.12 GB/s,3.7 %,5.6 %,9.17 W,0.05 GB/s,56.00 °C,0.00 %
2025-05-07 15:45:52.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1410 MHz,59.00 °C,0.00 %,0.00 %,0.00 GB/s,86.33 W,20.45 %,0.00 %,16,0.00 %,0.00 %,151.42 W,4,1410 MHz,0.00 GB/s,1512 MHz,0.12 GB/s,2.5 %,5.6 %,9.00 W,0.05 GB/s,57.00 °C,0.00 %
2025-05-07 15:45:52.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1410 MHz,59.00 °C,0.00 %,0.00 %,0.00 GB/s,109.72 W,20.45 %,0.00 %,16,0.00 %,0.00 %,154.15 W,4,1410 MHz,0.00 GB/s,1512 MHz,0.23 GB/s,5.0 %,5.7 %,9.16 W,0.94 GB/s,57.00 °C,0.00 %
2025-05-07 15:45:52.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1320 MHz,59.00 °C,14.50 %,0.00 %,0.00 GB/s,84.64 W,30.38 %,12.50 %,16,0.00 %,100.00 %,153.34 W,4,1320 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.1 %,5.7 %,9.00 W,0.05 GB/s,56.00 °C,70.00 %
2025-05-07 15:45:53.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1155 MHz,59.00 °C,17.50 %,11.00 %,0.00 GB/s,84.64 W,30.38 %,12.40 %,16,4.00 %,100.00 %,149.74 W,4,1155 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.1 %,5.7 %,9.10 W,0.05 GB/s,60.00 °C,91.60 %
2025-05-07 15:45:53.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1170 MHz,61.00 °C,22.20 %,11.00 %,0.00 GB/s,301.50 W,30.38 %,12.40 %,16,4.00 %,100.00 %,151.21 W,4,1170 MHz,0.00 GB/s,1512 MHz,0.07 GB/s,3.4 %,5.7 %,9.26 W,0.04 GB/s,62.00 °C,90.60 %
2025-05-07 15:45:53.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1065 MHz,61.00 °C,13.70 %,100.00 %,0.00 GB/s,296.63 W,73.85 %,12.50 %,16,24.00 %,100.00 %,152.65 W,4,1065 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,5.8 %,5.7 %,9.17 W,0.04 GB/s,62.00 °C,69.90 %
2025-05-07 15:45:53.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1170 MHz,61.00 °C,14.20 %,100.00 %,0.00 GB/s,308.31 W,73.85 %,12.50 %,16,24.00 %,100.00 %,152.30 W,4,1170 MHz,0.00 GB/s,1512 MHz,0.09 GB/s,3.4 %,5.7 %,8.97 W,0.04 GB/s,61.00 °C,69.90 %
2025-05-07 15:45:53.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,1185 MHz,61.00 °C,17.50 %,100.00 %,0.00 GB/s,315.50 W,73.85 %,12.40 %,16,29.00 %,99.90 %,156.32 W,4,1185 MHz,0.00 GB/s,1512 MHz,0.08 GB/s,6.7 %,5.7 %,9.22 W,0.04 GB/s,63.00 °C,93.80 %
