timestamp,task_name,name,index,temperature.gpu,clocks.current.sm [MHz],temperature.memory,dram_power,cpu_usage,pcie.link.gen.current,nvlink_tx_bytes,power.draw [W],utilization.memory [%],utilization.gpu [%],sm_occupancy,sm_active,dram_usage,cpu_power,usage.memory [%],nvlink_rx_bytes,pcie_tx_bytes,pcie_rx_bytes,clocks.current.memory [MHz],tensor_active,clocks.current.graphics [MHz],pcie.link.width.current,dram_active
2025-05-07 15:46:46.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,56.00 °C,1410 MHz,59.00 °C,9.13 W,3.1 %,4,0.00 GB/s,78.56 W,0.00 %,1.00 %,0.00 %,0.00 %,5.5 %,154.15 W,17.13 %,0.00 GB/s,0.12 GB/s,0.05 GB/s,1512 MHz,0.00 %,1410 MHz,16,2.00 %
2025-05-07 15:46:46.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,56.00 °C,1410 MHz,59.00 °C,9.09 W,3.4 %,4,0.00 GB/s,85.34 W,0.00 %,0.00 %,0.00 %,0.00 %,5.6 %,154.62 W,17.26 %,0.00 GB/s,0.12 GB/s,0.05 GB/s,1512 MHz,0.00 %,1410 MHz,16,0.00 %
2025-05-07 15:46:46.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,56.00 °C,1410 MHz,57.00 °C,9.07 W,3.1 %,4,0.00 GB/s,87.00 W,0.00 %,0.00 %,0.00 %,0.00 %,5.6 %,149.49 W,20.45 %,0.00 GB/s,0.12 GB/s,0.05 GB/s,1512 MHz,0.00 %,1410 MHz,16,0.00 %
2025-05-07 15:46:46.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,57.00 °C,1410 MHz,59.00 °C,9.00 W,3.4 %,4,0.00 GB/s,87.00 W,0.00 %,6.00 %,0.00 %,0.00 %,5.7 %,150.41 W,20.45 %,0.00 GB/s,0.12 GB/s,0.05 GB/s,1512 MHz,0.00 %,1410 MHz,16,0.00 %
2025-05-07 15:46:46.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,56.00 °C,1410 MHz,59.00 °C,9.21 W,2.2 %,4,0.00 GB/s,87.30 W,4.00 %,5.00 %,12.50 %,100.00 %,5.7 %,151.60 W,30.38 %,0.00 GB/s,0.09 GB/s,0.05 GB/s,1512 MHz,69.90 %,1410 MHz,16,13.80 %
2025-05-07 15:46:46.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,59.00 °C,1155 MHz,59.00 °C,9.11 W,3.4 %,4,0.00 GB/s,247.53 W,4.00 %,5.00 %,92.50 %,100.00 %,5.7 %,149.84 W,30.38 %,0.00 GB/s,0.09 GB/s,0.06 GB/s,1512 MHz,0.00 %,1155 MHz,16,58.20 %
2025-05-07 15:46:46.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,62.00 °C,1200 MHz,59.00 °C,9.06 W,3.6 %,4,0.00 GB/s,356.70 W,4.00 %,5.00 %,91.20 %,100.00 %,5.7 %,148.65 W,32.45 %,0.00 GB/s,0.06 GB/s,0.04 GB/s,1512 MHz,0.00 %,1200 MHz,16,90.20 %
2025-05-07 15:46:46.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,62.00 °C,1125 MHz,61.00 °C,9.26 W,5.8 %,4,0.00 GB/s,356.70 W,20.00 %,82.00 %,12.50 %,100.00 %,5.7 %,149.29 W,73.85 %,0.00 GB/s,0.09 GB/s,0.04 GB/s,1512 MHz,69.90 %,1125 MHz,16,14.10 %
2025-05-07 15:46:46.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,61.00 °C,1125 MHz,61.00 °C,9.14 W,3.7 %,4,0.00 GB/s,308.00 W,20.00 %,82.00 %,12.50 %,100.00 %,5.7 %,149.30 W,73.85 %,0.00 GB/s,0.09 GB/s,0.05 GB/s,1512 MHz,70.00 %,1125 MHz,16,14.30 %
2025-05-07 15:46:46.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,1155 MHz,61.00 °C,9.10 W,3.7 %,4,0.00 GB/s,310.35 W,31.00 %,100.00 %,12.40 %,100.00 %,5.7 %,149.64 W,73.85 %,0.00 GB/s,0.08 GB/s,0.04 GB/s,1512 MHz,90.90 %,1155 MHz,16,21.50 %
