timestamp,task_name,name,index,dram_power,tensor_active,utilization.memory [%],pcie_rx_bytes,temperature.memory,pcie.link.width.current,clocks.current.graphics [MHz],cpu_usage,dram_active,sm_active,clocks.current.sm [MHz],nvlink_tx_bytes,utilization.gpu [%],cpu_power,temperature.gpu,nvlink_rx_bytes,dram_usage,sm_occupancy,pcie.link.gen.current,pcie_tx_bytes,clocks.current.memory [MHz],usage.memory [%],power.draw [W]
2025-05-07 15:47:40.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.05 W,0.00 %,0.00 %,0.04 GB/s,57.00 °C,16,1410 MHz,4.0 %,2.00 %,0.00 %,1410 MHz,0.00 GB/s,3.00 %,151.93 W,56.00 °C,0.00 GB/s,5.5 %,0.00 %,4,0.09 GB/s,1512 MHz,17.13 %,81.68 W
2025-05-07 15:47:40.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.12 W,0.00 %,0.00 %,0.05 GB/s,57.00 °C,16,1410 MHz,4.3 %,0.00 %,0.00 %,1410 MHz,0.00 GB/s,0.00 %,151.61 W,56.00 °C,0.00 GB/s,5.6 %,0.00 %,4,0.12 GB/s,1512 MHz,17.25 %,79.74 W
2025-05-07 15:47:41.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.23 W,0.00 %,0.00 %,0.05 GB/s,57.00 °C,16,1410 MHz,3.7 %,0.00 %,0.00 %,1410 MHz,0.00 GB/s,0.00 %,149.47 W,56.00 °C,0.00 GB/s,5.6 %,0.00 %,4,0.12 GB/s,1512 MHz,20.45 %,81.69 W
2025-05-07 15:47:41.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.30 W,0.00 %,0.00 %,0.86 GB/s,57.00 °C,16,1410 MHz,3.4 %,0.00 %,0.00 %,1410 MHz,0.00 GB/s,7.00 %,151.44 W,56.00 °C,0.00 GB/s,5.7 %,0.00 %,4,0.23 GB/s,1512 MHz,20.45 %,101.32 W
2025-05-07 15:47:41.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.12 W,70.10 %,0.00 %,0.04 GB/s,57.00 °C,16,1410 MHz,2.2 %,12.20 %,100.00 %,1410 MHz,0.00 GB/s,7.00 %,153.95 W,60.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,30.38 %,80.31 W
2025-05-07 15:47:41.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.32 W,0.00 %,4.00 %,0.06 GB/s,59.00 °C,16,1185 MHz,4.7 %,58.20 %,100.00 %,1185 MHz,0.00 GB/s,5.00 %,146.71 W,61.00 °C,0.00 GB/s,5.7 %,92.50 %,4,0.08 GB/s,1512 MHz,30.38 %,306.57 W
2025-05-07 15:47:41.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.30 W,2.70 %,4.00 %,0.04 GB/s,59.00 °C,16,1155 MHz,3.4 %,41.80 %,100.00 %,1155 MHz,0.00 GB/s,5.00 %,149.28 W,62.00 °C,0.00 GB/s,5.7 %,92.70 %,4,0.08 GB/s,1512 MHz,32.45 %,302.95 W
2025-05-07 15:47:41.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.18 W,69.90 %,28.00 %,0.05 GB/s,61.00 °C,16,1050 MHz,3.7 %,17.20 %,100.00 %,1050 MHz,0.00 GB/s,100.00 %,148.79 W,62.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,73.85 %,339.17 W
2025-05-07 15:47:41.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.24 W,69.90 %,28.00 %,0.05 GB/s,61.00 °C,16,1185 MHz,3.4 %,15.90 %,100.00 %,1185 MHz,0.00 GB/s,100.00 %,149.83 W,62.00 °C,0.00 GB/s,5.7 %,12.50 %,4,0.09 GB/s,1512 MHz,73.85 %,251.21 W
2025-05-07 15:47:41.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,8.96 W,90.60 %,24.00 %,0.04 GB/s,61.00 °C,16,1155 MHz,3.4 %,20.80 %,100.00 %,1155 MHz,0.00 GB/s,100.00 %,153.33 W,62.00 °C,0.00 GB/s,5.7 %,12.40 %,4,0.08 GB/s,1512 MHz,73.85 %,320.46 W
