timestamp,task_name,name,index,temperature.gpu,power.draw [W],pcie_tx_bytes,tensor_active,nvlink_rx_bytes,utilization.memory [%],usage.memory [%],clocks.current.memory [MHz],sm_active,pcie.link.gen.current,sm_occupancy,clocks.current.graphics [MHz],cpu_usage,dram_active,cpu_power,nvlink_tx_bytes,pcie_rx_bytes,clocks.current.sm [MHz],dram_usage,dram_power,utilization.gpu [%],pcie.link.width.current,temperature.memory
2025-05-07 15:48:34.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,56.00 °C,79.15 W,0.10 GB/s,0.00 %,0.00 GB/s,0.00 %,17.13 %,1512 MHz,0.00 %,4,0.00 %,1410 MHz,3.4 %,2.00 %,151.51 W,0.00 GB/s,0.04 GB/s,1410 MHz,5.5 %,9.37 W,0.00 %,16,59.00 °C
2025-05-07 15:48:34.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,57.00 °C,79.24 W,0.12 GB/s,0.00 %,0.00 GB/s,0.00 %,17.26 %,1512 MHz,0.00 %,4,0.00 %,1410 MHz,3.4 %,0.00 %,151.42 W,0.00 GB/s,0.05 GB/s,1410 MHz,5.6 %,9.22 W,0.00 %,16,59.00 °C
2025-05-07 15:48:34.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,56.00 °C,84.55 W,0.12 GB/s,0.00 %,0.00 GB/s,0.00 %,20.45 %,1512 MHz,0.00 %,4,0.00 %,1410 MHz,2.8 %,0.00 %,154.05 W,0.00 GB/s,0.05 GB/s,1410 MHz,5.6 %,8.97 W,6.00 %,16,59.00 °C
2025-05-07 15:48:34.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,56.00 °C,89.76 W,0.20 GB/s,0.00 %,0.00 GB/s,0.00 %,20.45 %,1512 MHz,0.00 %,4,0.00 %,1410 MHz,5.6 %,0.00 %,149.75 W,0.00 GB/s,0.62 GB/s,1410 MHz,5.7 %,9.26 W,6.00 %,16,59.00 °C
2025-05-07 15:48:34.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,57.00 °C,81.42 W,0.09 GB/s,70.10 %,0.00 GB/s,4.00 %,23.93 %,1512 MHz,100.00 %,4,12.50 %,1410 MHz,3.4 %,15.10 %,152.94 W,0.00 GB/s,0.05 GB/s,1410 MHz,5.7 %,9.13 W,5.00 %,16,59.00 °C
2025-05-07 15:48:34.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,61.00 °C,430.21 W,0.08 GB/s,90.40 %,0.00 GB/s,4.00 %,30.38 %,1512 MHz,100.00 %,4,12.40 %,1155 MHz,2.2 %,22.70 %,149.06 W,0.00 GB/s,0.04 GB/s,1155 MHz,5.7 %,9.06 W,5.00 %,16,59.00 °C
2025-05-07 15:48:34.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,62.00 °C,304.51 W,0.08 GB/s,4.60 %,0.00 GB/s,15.00 %,71.78 %,1512 MHz,100.00 %,4,93.00 %,1065 MHz,4.9 %,35.90 %,141.48 W,0.00 GB/s,0.05 GB/s,1065 MHz,5.7 %,9.14 W,56.00 %,16,61.00 °C
2025-05-07 15:48:34.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,62.00 °C,277.89 W,0.09 GB/s,69.90 %,0.00 GB/s,15.00 %,73.85 %,1512 MHz,100.00 %,4,12.50 %,1095 MHz,5.2 %,15.20 %,152.23 W,0.00 GB/s,0.04 GB/s,1095 MHz,5.7 %,9.15 W,56.00 %,16,61.00 °C
2025-05-07 15:48:34.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,62.00 °C,289.52 W,0.08 GB/s,91.20 %,0.00 GB/s,26.00 %,73.85 %,1512 MHz,100.00 %,4,12.40 %,1155 MHz,2.8 %,15.40 %,151.51 W,0.00 GB/s,0.04 GB/s,1155 MHz,5.7 %,9.25 W,100.00 %,16,61.00 °C
2025-05-07 15:48:35.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,62.00 °C,312.97 W,0.09 GB/s,70.00 %,0.00 GB/s,27.00 %,75.93 %,1512 MHz,100.00 %,4,12.50 %,1065 MHz,3.4 %,13.60 %,152.67 W,0.00 GB/s,0.05 GB/s,1065 MHz,5.7 %,9.07 W,100.00 %,16,61.00 °C
2025-05-07 15:48:35.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,62.00 °C,301.82 W,0.09 GB/s,70.20 %,0.00 GB/s,27.00 %,75.93 %,1512 MHz,100.00 %,4,12.50 %,1095 MHz,4.3 %,10.60 %,141.34 W,0.00 GB/s,0.05 GB/s,1095 MHz,5.7 %,9.25 W,100.00 %,16,63.00 °C
2025-05-07 15:48:35.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,308.80 W,0.08 GB/s,90.40 %,0.00 GB/s,31.00 %,75.93 %,1512 MHz,100.00 %,4,12.40 %,1155 MHz,2.5 %,21.50 %,134.15 W,0.00 GB/s,0.04 GB/s,1155 MHz,5.7 %,9.15 W,100.00 %,16,61.00 °C
2025-05-07 15:48:35.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,347.81 W,0.09 GB/s,69.80 %,0.00 GB/s,31.00 %,78.00 %,1512 MHz,100.00 %,4,12.50 %,1050 MHz,5.3 %,12.70 %,109.98 W,0.00 GB/s,0.04 GB/s,1050 MHz,5.7 %,9.20 W,100.00 %,16,63.00 °C
