timestamp,task_name,name,index,pcie_rx_bytes,dram_usage,nvlink_rx_bytes,usage.memory [%],clocks.current.sm [MHz],pcie_tx_bytes,tensor_active,sm_occupancy,cpu_power,dram_active,sm_active,power.draw [W],nvlink_tx_bytes,temperature.gpu,utilization.memory [%],clocks.current.memory [MHz],dram_power,cpu_usage,temperature.memory,pcie.link.gen.current,pcie.link.width.current,clocks.current.graphics [MHz],utilization.gpu [%]
2025-05-07 16:32:28.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.4 %,0.00 GB/s,17.23 %,1410 MHz,0.12 GB/s,0.00 %,0.00 %,151.92 W,0.00 %,0.00 %,80.33 W,0.00 GB/s,58.00 °C,0.00 %,1512 MHz,9.10 W,1.9 %,59.00 °C,4,16,1410 MHz,0.00 %
2025-05-07 16:32:28.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.26 GB/s,5.4 %,0.00 GB/s,17.26 %,1410 MHz,0.12 GB/s,0.00 %,29.00 %,152.51 W,21.80 %,33.40 %,84.95 W,0.00 GB/s,58.00 °C,0.00 %,1512 MHz,9.39 W,3.4 %,59.00 °C,4,16,1410 MHz,0.00 %
2025-05-07 16:32:28.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.5 %,0.00 GB/s,20.45 %,1410 MHz,0.12 GB/s,0.00 %,0.00 %,154.21 W,0.00 %,0.00 %,82.86 W,0.00 GB/s,58.00 °C,0.00 %,1512 MHz,9.25 W,3.1 %,59.00 °C,4,16,1410 MHz,0.00 %
2025-05-07 16:32:29.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.5 %,0.00 GB/s,20.45 %,1410 MHz,0.09 GB/s,90.70 %,12.40 %,150.05 W,25.20 %,100.00 %,125.53 W,0.00 GB/s,58.00 °C,0.00 %,1512 MHz,9.13 W,3.4 %,59.00 °C,4,16,1410 MHz,0.00 %
2025-05-07 16:32:29.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,30.38 %,1140 MHz,0.09 GB/s,70.20 %,12.50 %,153.40 W,12.60 %,100.00 %,82.27 W,0.00 GB/s,58.00 °C,4.00 %,1512 MHz,9.09 W,3.4 %,59.00 °C,4,16,1140 MHz,5.00 %
2025-05-07 16:32:29.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,30.38 %,1140 MHz,0.08 GB/s,91.10 %,12.40 %,146.68 W,16.00 %,100.00 %,303.85 W,0.00 GB/s,63.00 °C,4.00 %,1512 MHz,9.37 W,6.8 %,61.00 °C,4,16,1140 MHz,5.00 %
2025-05-07 16:32:29.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,40.73 %,1110 MHz,0.08 GB/s,0.00 %,92.40 %,149.92 W,53.20 %,100.00 %,303.85 W,0.00 GB/s,64.00 °C,20.00 %,1512 MHz,9.31 W,4.7 %,61.00 °C,4,16,1110 MHz,84.00 %
2025-05-07 16:32:29.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,73.85 %,1110 MHz,0.09 GB/s,69.80 %,12.50 %,149.73 W,16.30 %,100.00 %,294.88 W,0.00 GB/s,64.00 °C,20.00 %,1512 MHz,9.09 W,4.3 %,63.00 °C,4,16,1110 MHz,84.00 %
2025-05-07 16:32:29.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.05 GB/s,5.6 %,0.00 GB/s,73.85 %,1110 MHz,0.09 GB/s,70.20 %,12.50 %,150.90 W,14.20 %,100.00 %,323.77 W,0.00 GB/s,63.00 °C,31.00 %,1512 MHz,9.16 W,3.1 %,63.00 °C,4,16,1110 MHz,100.00 %
2025-05-07 16:32:29.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.04 GB/s,5.6 %,0.00 GB/s,73.85 %,1110 MHz,0.08 GB/s,90.80 %,12.40 %,151.05 W,22.10 %,100.00 %,310.74 W,0.00 GB/s,65.00 °C,31.00 %,1512 MHz,9.25 W,3.4 %,63.00 °C,4,16,1110 MHz,100.00 %
