timestamp,task_name,name,index,dram_power,sm_active,pcie_tx_bytes,pcie_rx_bytes,temperature.memory,clocks.current.sm [MHz],nvlink_tx_bytes,utilization.gpu [%],clocks.current.graphics [MHz],usage.memory [%],dram_active,pcie.link.gen.current,cpu_usage,temperature.gpu,cpu_power,dram_usage,clocks.current.memory [MHz],nvlink_rx_bytes,pcie.link.width.current,power.draw [W],tensor_active,sm_occupancy,utilization.memory [%]
2025-05-07 16:34:16.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.23 W,0.00 %,0.12 GB/s,0.05 GB/s,59.00 °C,1410 MHz,0.00 GB/s,0.00 %,1410 MHz,17.23 %,0.00 %,4,2.5 %,58.00 °C,160.41 W,5.4 %,1512 MHz,0.00 GB/s,16,82.01 W,0.00 %,0.00 %,0.00 %
2025-05-07 16:34:16.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.30 W,0.00 %,0.12 GB/s,0.05 GB/s,59.00 °C,1410 MHz,0.00 GB/s,0.00 %,1410 MHz,17.26 %,0.00 %,4,5.2 %,58.00 °C,155.83 W,5.5 %,1512 MHz,0.00 GB/s,16,99.28 W,0.00 %,0.00 %,0.00 %
2025-05-07 16:34:16.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.18 W,0.00 %,0.12 GB/s,0.05 GB/s,59.00 °C,1410 MHz,0.00 GB/s,0.00 %,1410 MHz,20.45 %,0.00 %,4,3.3 %,58.00 °C,151.79 W,5.5 %,1512 MHz,0.00 GB/s,16,88.49 W,0.00 %,0.00 %,0.00 %
2025-05-07 16:34:16.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.26 W,0.00 %,0.12 GB/s,0.05 GB/s,59.00 °C,1410 MHz,0.00 GB/s,6.00 %,1410 MHz,20.45 %,0.00 %,4,3.1 %,58.00 °C,151.56 W,5.5 %,1512 MHz,0.00 GB/s,16,138.56 W,0.00 %,0.00 %,0.00 %
2025-05-07 16:34:16.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.09 W,100.00 %,0.09 GB/s,0.04 GB/s,61.00 °C,1410 MHz,0.00 GB/s,6.00 %,1410 MHz,23.93 %,14.40 %,4,4.0 %,58.00 °C,148.76 W,5.6 %,1512 MHz,0.00 GB/s,16,88.11 W,70.10 %,12.50 %,0.00 %
2025-05-07 16:34:16.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.33 W,100.00 %,0.08 GB/s,0.05 GB/s,61.00 °C,1155 MHz,0.00 GB/s,5.00 %,1155 MHz,30.38 %,15.40 %,4,2.5 %,64.00 °C,142.71 W,5.6 %,1512 MHz,0.00 GB/s,16,287.67 W,90.90 %,12.40 %,4.00 %
2025-05-07 16:34:16.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.30 W,100.00 %,0.08 GB/s,0.04 GB/s,63.00 °C,1185 MHz,0.00 GB/s,76.00 %,1185 MHz,53.15 %,16.80 %,4,3.4 %,64.00 °C,130.22 W,5.6 %,1512 MHz,0.00 GB/s,16,303.94 W,91.50 %,12.40 %,18.00 %
2025-05-07 16:34:16.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.07 W,100.00 %,0.09 GB/s,0.04 GB/s,63.00 °C,1080 MHz,0.00 GB/s,76.00 %,1080 MHz,73.85 %,15.20 %,4,5.3 %,63.00 °C,153.48 W,5.6 %,1512 MHz,0.00 GB/s,16,327.95 W,70.00 %,12.50 %,18.00 %
2025-05-07 16:34:16.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.12 W,100.00 %,0.09 GB/s,0.05 GB/s,63.00 °C,1170 MHz,0.00 GB/s,100.00 %,1170 MHz,73.85 %,13.30 %,4,3.1 %,63.00 °C,151.37 W,5.6 %,1512 MHz,0.00 GB/s,16,325.97 W,69.20 %,11.90 %,31.00 %
2025-05-07 16:34:16.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,9.26 W,99.90 %,0.08 GB/s,0.04 GB/s,63.00 °C,1155 MHz,0.00 GB/s,100.00 %,1155 MHz,73.85 %,18.60 %,4,3.7 %,65.00 °C,150.07 W,5.6 %,1512 MHz,0.00 GB/s,16,313.57 W,90.50 %,12.50 %,31.00 %
