timestamp,task_name,name,index,nvlink_tx_bytes,clocks.current.sm [MHz],pcie.link.gen.current,utilization.gpu [%],utilization.memory [%],power.draw [W],dram_power,nvlink_rx_bytes,sm_occupancy,pcie.link.width.current,temperature.memory,pcie_tx_bytes,clocks.current.graphics [MHz],sm_active,tensor_active,usage.memory [%],clocks.current.memory [MHz],dram_active,pcie_rx_bytes,dram_usage,cpu_power,cpu_usage,temperature.gpu
2025-05-07 16:36:03.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1410 MHz,4,0.00 %,0.00 %,80.93 W,9.36 W,0.00 GB/s,0.00 %,16,61.00 °C,0.12 GB/s,1410 MHz,0.00 %,0.00 %,17.23 %,1512 MHz,0.00 %,0.05 GB/s,5.4 %,152.84 W,1.9 %,58.00 °C
2025-05-07 16:36:03.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1410 MHz,4,6.00 %,0.00 %,80.75 W,9.06 W,0.00 GB/s,58.80 %,16,61.00 °C,0.09 GB/s,1410 MHz,64.20 %,0.00 %,17.26 %,1512 MHz,40.50 %,0.04 GB/s,5.5 %,153.97 W,3.0 %,58.00 °C
2025-05-07 16:36:03.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1410 MHz,4,6.00 %,0.00 %,92.84 W,9.26 W,0.00 GB/s,0.00 %,16,61.00 °C,0.12 GB/s,1410 MHz,0.00 %,0.00 %,20.45 %,1512 MHz,0.00 %,0.05 GB/s,5.5 %,153.91 W,3.4 %,59.00 °C
2025-05-07 16:36:03.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1410 MHz,4,5.00 %,4.00 %,101.05 W,9.19 W,0.00 GB/s,12.40 %,16,61.00 °C,0.09 GB/s,1410 MHz,100.00 %,90.80 %,20.45 %,1512 MHz,25.30 %,0.05 GB/s,5.6 %,152.76 W,3.7 %,59.00 °C
2025-05-07 16:36:03.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1410 MHz,4,5.00 %,4.00 %,91.25 W,9.34 W,0.00 GB/s,12.50 %,16,61.00 °C,0.09 GB/s,1410 MHz,100.00 %,70.00 %,30.38 %,1512 MHz,12.10 %,0.05 GB/s,5.6 %,147.22 W,3.1 %,62.00 °C
2025-05-07 16:36:03.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1185 MHz,4,49.00 %,14.00 %,375.86 W,9.24 W,0.00 GB/s,12.40 %,16,61.00 °C,0.08 GB/s,1185 MHz,100.00 %,91.20 %,30.38 %,1512 MHz,16.70 %,0.04 GB/s,5.6 %,129.68 W,3.3 %,64.00 °C
2025-05-07 16:36:03.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1155 MHz,4,49.00 %,14.00 %,307.05 W,9.18 W,0.00 GB/s,91.10 %,16,61.00 °C,0.05 GB/s,1155 MHz,100.00 %,0.00 %,38.66 %,1512 MHz,90.20 %,0.04 GB/s,5.6 %,132.70 W,3.1 %,64.00 °C
2025-05-07 16:36:03.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1065 MHz,4,100.00 %,24.00 %,300.43 W,9.22 W,0.00 GB/s,12.50 %,16,63.00 °C,0.09 GB/s,1065 MHz,100.00 %,70.10 %,73.85 %,1512 MHz,13.60 %,0.04 GB/s,5.6 %,152.52 W,3.7 %,64.00 °C
2025-05-07 16:36:03.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1170 MHz,4,100.00 %,24.00 %,307.34 W,9.06 W,0.00 GB/s,12.50 %,16,63.00 °C,0.09 GB/s,1170 MHz,100.00 %,70.00 %,73.85 %,1512 MHz,13.10 %,0.05 GB/s,5.6 %,148.72 W,3.1 %,64.00 °C
2025-05-07 16:36:03.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1140 MHz,4,100.00 %,28.00 %,303.35 W,9.17 W,0.00 GB/s,12.40 %,16,63.00 °C,0.08 GB/s,1140 MHz,100.00 %,90.70 %,73.85 %,1512 MHz,20.30 %,0.04 GB/s,5.6 %,151.53 W,3.4 %,65.00 °C
