timestamp,task_name,name,index,temperature.gpu,clocks.current.memory [MHz],clocks.current.graphics [MHz],pcie_tx_bytes,utilization.memory [%],nvlink_tx_bytes,cpu_power,sm_occupancy,nvlink_rx_bytes,sm_active,pcie.link.width.current,pcie_rx_bytes,temperature.memory,dram_active,power.draw [W],dram_power,dram_usage,clocks.current.sm [MHz],utilization.gpu [%],usage.memory [%],pcie.link.gen.current,cpu_usage,tensor_active
2025-05-07 16:37:50.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,59.00 °C,1512 MHz,1410 MHz,0.10 GB/s,0.00 %,0.00 GB/s,153.46 W,0.00 %,0.00 GB/s,0.00 %,16,0.04 GB/s,61.00 °C,2.00 %,80.96 W,9.38 W,5.4 %,1410 MHz,9.00 %,17.13 %,4,3.7 %,0.00 %
2025-05-07 16:37:50.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,59.00 °C,1512 MHz,1410 MHz,0.12 GB/s,0.00 %,0.00 GB/s,150.22 W,0.00 %,0.00 GB/s,0.00 %,16,0.05 GB/s,61.00 °C,0.00 %,82.43 W,9.25 W,5.5 %,1410 MHz,0.00 %,17.26 %,4,2.2 %,0.00 %
2025-05-07 16:37:50.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,59.00 °C,1512 MHz,1410 MHz,0.12 GB/s,0.00 %,0.00 GB/s,156.66 W,0.00 %,0.00 GB/s,0.00 %,16,0.05 GB/s,61.00 °C,0.00 %,82.43 W,9.33 W,5.5 %,1410 MHz,0.00 %,20.45 %,4,3.7 %,0.00 %
2025-05-07 16:37:50.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,59.00 °C,1512 MHz,1410 MHz,0.12 GB/s,0.00 %,0.00 GB/s,154.33 W,0.00 %,0.00 GB/s,0.00 %,16,0.05 GB/s,61.00 °C,0.00 %,110.72 W,9.20 W,5.5 %,1410 MHz,6.00 %,20.45 %,4,3.4 %,0.00 %
2025-05-07 16:37:50.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,59.00 °C,1512 MHz,1410 MHz,0.09 GB/s,0.00 %,0.00 GB/s,151.24 W,12.50 %,0.00 GB/s,100.00 %,16,0.05 GB/s,61.00 °C,12.30 %,82.88 W,8.94 W,5.6 %,1410 MHz,6.00 %,21.61 %,4,3.4 %,70.00 %
2025-05-07 16:37:50.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1512 MHz,1125 MHz,0.08 GB/s,13.00 %,0.00 GB/s,147.58 W,12.50 %,0.00 GB/s,100.00 %,16,0.05 GB/s,61.00 °C,16.40 %,408.57 W,9.16 W,5.6 %,1125 MHz,41.00 %,30.38 %,4,3.7 %,69.90 %
2025-05-07 16:37:50.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1512 MHz,1155 MHz,0.08 GB/s,13.00 %,0.00 GB/s,125.53 W,12.40 %,0.00 GB/s,99.90 %,16,0.04 GB/s,63.00 °C,16.50 %,305.20 W,9.26 W,5.6 %,1155 MHz,41.00 %,30.38 %,4,3.9 %,93.30 %
2025-05-07 16:37:50.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1512 MHz,1065 MHz,0.09 GB/s,24.00 %,0.00 GB/s,143.50 W,12.50 %,0.00 GB/s,100.00 %,16,0.05 GB/s,63.00 °C,20.90 %,299.65 W,9.20 W,5.6 %,1065 MHz,100.00 %,65.57 %,4,4.5 %,69.90 %
2025-05-07 16:37:51.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1512 MHz,1110 MHz,0.09 GB/s,24.00 %,0.00 GB/s,155.91 W,12.50 %,0.00 GB/s,100.00 %,16,0.05 GB/s,65.00 °C,16.30 %,273.92 W,9.07 W,5.6 %,1110 MHz,100.00 %,73.85 %,4,2.8 %,69.80 %
2025-05-07 16:37:51.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1512 MHz,1155 MHz,0.08 GB/s,29.00 %,0.00 GB/s,151.33 W,12.40 %,0.00 GB/s,100.00 %,16,0.04 GB/s,63.00 °C,20.30 %,299.94 W,9.52 W,5.6 %,1155 MHz,100.00 %,73.85 %,4,7.4 %,90.40 %
2025-05-07 16:37:51.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1512 MHz,1185 MHz,0.08 GB/s,29.00 %,0.00 GB/s,149.44 W,95.30 %,0.00 GB/s,98.60 %,16,0.05 GB/s,63.00 °C,30.60 %,305.99 W,9.23 W,5.6 %,1185 MHz,100.00 %,73.85 %,4,4.6 %,0.90 %
2025-05-07 16:37:51.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1512 MHz,1110 MHz,0.09 GB/s,28.00 %,0.00 GB/s,149.52 W,12.50 %,0.00 GB/s,100.00 %,16,0.04 GB/s,65.00 °C,11.30 %,313.85 W,9.35 W,5.6 %,1110 MHz,100.00 %,75.93 %,4,4.3 %,69.90 %
2025-05-07 16:37:51.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,64.00 °C,1512 MHz,1170 MHz,0.08 GB/s,28.00 %,0.00 GB/s,149.63 W,12.50 %,0.00 GB/s,99.90 %,16,0.04 GB/s,65.00 °C,18.30 %,269.90 W,9.23 W,5.6 %,1170 MHz,100.00 %,75.93 %,4,2.8 %,91.30 %
2025-05-07 16:37:51.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1512 MHz,1140 MHz,0.09 GB/s,24.00 %,0.00 GB/s,154.31 W,12.50 %,0.00 GB/s,100.00 %,16,0.05 GB/s,65.00 °C,11.10 %,289.92 W,9.13 W,5.6 %,1140 MHz,100.00 %,78.00 %,4,3.4 %,70.00 %
2025-05-07 16:37:51.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1512 MHz,1080 MHz,0.09 GB/s,24.00 %,0.00 GB/s,151.29 W,12.50 %,0.00 GB/s,100.00 %,16,0.05 GB/s,65.00 °C,13.90 %,253.08 W,9.23 W,5.6 %,1080 MHz,100.00 %,78.00 %,4,3.1 %,69.90 %
2025-05-07 16:37:51.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,66.00 °C,1512 MHz,1170 MHz,0.08 GB/s,33.00 %,0.00 GB/s,151.36 W,12.40 %,0.00 GB/s,100.00 %,16,0.04 GB/s,65.00 °C,15.40 %,309.29 W,9.16 W,5.6 %,1170 MHz,100.00 %,78.00 %,4,5.0 %,91.00 %
2025-05-07 16:37:51.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1512 MHz,1125 MHz,0.08 GB/s,33.00 %,0.00 GB/s,157.98 W,12.40 %,0.00 GB/s,100.00 %,16,0.04 GB/s,65.00 °C,17.80 %,303.74 W,9.04 W,5.6 %,1125 MHz,100.00 %,78.00 %,4,3.4 %,91.90 %
2025-05-07 16:37:52.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1512 MHz,1065 MHz,0.09 GB/s,24.00 %,0.00 GB/s,153.79 W,12.50 %,0.00 GB/s,100.00 %,16,0.05 GB/s,65.00 °C,14.10 %,301.50 W,9.02 W,5.6 %,1065 MHz,100.00 %,80.07 %,4,3.4 %,69.90 %
2025-05-07 16:37:52.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,66.00 °C,1512 MHz,1170 MHz,0.08 GB/s,24.00 %,0.00 GB/s,150.01 W,12.40 %,0.00 GB/s,100.00 %,16,0.05 GB/s,65.00 °C,23.80 %,245.32 W,9.12 W,5.6 %,1170 MHz,100.00 %,80.07 %,4,3.1 %,90.80 %
2025-05-07 16:37:52.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,66.00 °C,1512 MHz,1155 MHz,0.08 GB/s,31.00 %,0.00 GB/s,152.98 W,93.30 %,0.00 GB/s,100.00 %,16,0.05 GB/s,65.00 °C,52.40 %,306.47 W,9.29 W,5.6 %,1155 MHz,100.00 %,80.07 %,4,4.7 %,2.60 %
2025-05-07 16:37:52.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1512 MHz,1065 MHz,0.09 GB/s,31.00 %,0.00 GB/s,152.73 W,12.50 %,0.00 GB/s,100.00 %,16,0.05 GB/s,65.00 °C,15.40 %,285.78 W,9.28 W,5.6 %,1065 MHz,100.00 %,82.14 %,4,5.9 %,69.90 %
2025-05-07 16:37:52.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1512 MHz,1170 MHz,0.08 GB/s,28.00 %,0.00 GB/s,150.15 W,12.40 %,0.00 GB/s,100.00 %,16,0.04 GB/s,65.00 °C,17.00 %,297.42 W,9.13 W,5.6 %,1170 MHz,100.00 %,82.14 %,4,4.7 %,91.30 %
2025-05-07 16:37:52.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,66.00 °C,1512 MHz,1170 MHz,0.07 GB/s,28.00 %,0.00 GB/s,149.41 W,99.60 %,0.00 GB/s,100.00 %,16,0.05 GB/s,65.00 °C,91.40 %,300.35 W,9.31 W,5.6 %,1170 MHz,100.00 %,82.14 %,4,3.7 %,0.20 %
2025-05-07 16:37:52.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,66.00 °C,1512 MHz,1065 MHz,0.09 GB/s,28.00 %,0.00 GB/s,149.03 W,12.50 %,0.00 GB/s,100.00 %,16,0.05 GB/s,65.00 °C,13.70 %,278.99 W,8.96 W,5.6 %,1065 MHz,100.00 %,84.21 %,4,3.4 %,70.10 %
2025-05-07 16:37:52.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,1512 MHz,1170 MHz,0.09 GB/s,30.00 %,0.00 GB/s,148.36 W,12.50 %,0.00 GB/s,100.00 %,16,0.05 GB/s,65.00 °C,14.00 %,278.99 W,9.21 W,5.6 %,1170 MHz,100.00 %,84.21 %,4,3.1 %,70.00 %
2025-05-07 16:37:52.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,66.00 °C,1512 MHz,1155 MHz,0.07 GB/s,30.00 %,0.00 GB/s,154.17 W,12.40 %,0.00 GB/s,100.00 %,16,0.03 GB/s,65.00 °C,20.40 %,233.26 W,9.25 W,5.6 %,1155 MHz,100.00 %,84.21 %,4,4.0 %,90.60 %
2025-05-07 16:37:52.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,66.00 °C,1512 MHz,1050 MHz,0.08 GB/s,22.00 %,0.00 GB/s,150.63 W,90.20 %,0.00 GB/s,98.50 %,16,0.07 GB/s,65.00 °C,38.40 %,310.63 W,9.09 W,5.6 %,1050 MHz,100.00 %,84.21 %,4,3.1 %,3.10 %
