timestamp,task_name,name,index,cpu_power,usage.memory [%],cpu_usage,dram_power,dram_active,temperature.memory,dram_usage,sm_occupancy,nvlink_tx_bytes,nvlink_rx_bytes,utilization.gpu [%],temperature.gpu,pcie.link.gen.current,pcie.link.width.current,clocks.current.memory [MHz],clocks.current.sm [MHz],pcie_rx_bytes,sm_active,tensor_active,clocks.current.graphics [MHz],utilization.memory [%],pcie_tx_bytes,power.draw [W]
2025-05-07 16:38:44.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,153.72 W,17.13 %,3.1 %,9.30 W,2.20 %,61.00 °C,5.4 %,0.00 %,0.00 GB/s,0.00 GB/s,1.00 %,58.00 °C,4,16,1512 MHz,1410 MHz,0.05 GB/s,0.00 %,0.00 %,1410 MHz,0.00 %,0.12 GB/s,81.23 W
2025-05-07 16:38:44.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,151.07 W,17.26 %,3.7 %,9.09 W,0.00 %,61.00 °C,5.4 %,0.00 %,0.00 GB/s,0.00 GB/s,1.00 %,58.00 °C,4,16,1512 MHz,1410 MHz,0.05 GB/s,0.00 %,0.00 %,1410 MHz,0.00 %,0.12 GB/s,88.88 W
2025-05-07 16:38:44.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.56 W,20.45 %,3.1 %,9.18 W,0.00 %,61.00 °C,5.5 %,0.00 %,0.00 GB/s,0.00 GB/s,0.00 %,58.00 °C,4,16,1512 MHz,1410 MHz,0.05 GB/s,0.00 %,0.00 %,1410 MHz,0.00 %,0.12 GB/s,103.02 W
2025-05-07 16:38:44.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,152.02 W,20.45 %,3.4 %,9.21 W,0.00 %,61.00 °C,5.5 %,0.00 %,0.00 GB/s,0.00 GB/s,0.00 %,59.00 °C,4,16,1512 MHz,1410 MHz,0.80 GB/s,0.00 %,0.00 %,1410 MHz,0.00 %,0.21 GB/s,103.02 W
2025-05-07 16:38:44.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,150.59 W,30.38 %,2.5 %,9.28 W,13.50 %,61.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,5.00 %,59.00 °C,4,16,1512 MHz,1320 MHz,0.05 GB/s,100.00 %,70.00 %,1320 MHz,4.00 %,0.09 GB/s,377.36 W
2025-05-07 16:38:44.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,150.35 W,30.38 %,3.4 %,8.96 W,43.90 %,61.00 °C,5.6 %,92.80 %,0.00 GB/s,0.00 GB/s,5.00 %,62.00 °C,4,16,1512 MHz,1155 MHz,0.05 GB/s,100.00 %,2.70 %,1155 MHz,4.00 %,0.08 GB/s,313.08 W
2025-05-07 16:38:44.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,154.29 W,34.52 %,5.6 %,9.49 W,19.00 %,61.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,78.00 %,64.00 °C,4,16,1512 MHz,1155 MHz,0.04 GB/s,99.90 %,90.70 %,1155 MHz,19.00 %,0.08 GB/s,313.08 W
2025-05-07 16:38:44.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,153.40 W,73.85 %,5.4 %,9.28 W,13.80 %,63.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,78.00 %,64.00 °C,4,16,1512 MHz,1080 MHz,0.04 GB/s,100.00 %,70.00 %,1080 MHz,19.00 %,0.08 GB/s,318.61 W
2025-05-07 16:38:44.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,156.65 W,73.85 %,4.8 %,9.19 W,15.50 %,63.00 °C,5.6 %,12.50 %,0.00 GB/s,0.00 GB/s,100.00 %,63.00 °C,4,16,1512 MHz,1170 MHz,0.05 GB/s,100.00 %,69.80 %,1170 MHz,31.00 %,0.09 GB/s,282.79 W
2025-05-07 16:38:45.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,150.97 W,73.85 %,3.4 %,9.27 W,16.80 %,63.00 °C,5.6 %,12.40 %,0.00 GB/s,0.00 GB/s,100.00 %,65.00 °C,4,16,1512 MHz,1155 MHz,0.04 GB/s,100.00 %,91.70 %,1155 MHz,31.00 %,0.08 GB/s,368.06 W
