timestamp,task_name,name,index,cpu_usage,usage.memory [%],sm_active,nvlink_rx_bytes,dram_power,temperature.gpu,nvlink_tx_bytes,utilization.memory [%],dram_usage,sm_occupancy,power.draw [W],cpu_power,temperature.memory,clocks.current.memory [MHz],tensor_active,clocks.current.sm [MHz],pcie_tx_bytes,dram_active,pcie_rx_bytes,utilization.gpu [%],clocks.current.graphics [MHz],pcie.link.width.current,pcie.link.gen.current
2025-05-07 16:40:30.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,5.6 %,17.13 %,0.00 %,0.00 GB/s,9.46 W,59.00 °C,0.00 GB/s,0.00 %,5.4 %,0.00 %,81.81 W,153.29 W,61.00 °C,1512 MHz,0.00 %,1410 MHz,0.12 GB/s,2.00 %,0.05 GB/s,0.00 %,1410 MHz,16,4
2025-05-07 16:40:30.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.7 %,17.26 %,0.00 %,0.00 GB/s,9.32 W,58.00 °C,0.00 GB/s,0.00 %,5.4 %,0.00 %,88.79 W,154.97 W,61.00 °C,1512 MHz,0.00 %,1410 MHz,0.12 GB/s,0.00 %,0.05 GB/s,0.00 %,1410 MHz,16,4
2025-05-07 16:40:31.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.6 %,20.45 %,0.00 %,0.00 GB/s,9.15 W,59.00 °C,0.00 GB/s,0.00 %,5.5 %,0.00 %,88.79 W,154.30 W,61.00 °C,1512 MHz,0.00 %,1410 MHz,0.12 GB/s,0.00 %,0.05 GB/s,0.00 %,1410 MHz,16,4
2025-05-07 16:40:31.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,20.45 %,0.00 %,0.00 GB/s,9.09 W,59.00 °C,0.00 GB/s,0.00 %,5.5 %,0.00 %,90.56 W,154.14 W,61.00 °C,1512 MHz,0.00 %,1410 MHz,0.12 GB/s,0.00 %,0.05 GB/s,0.00 %,1410 MHz,16,4
2025-05-07 16:40:31.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,2.8 %,23.93 %,100.00 %,0.00 GB/s,9.28 W,59.00 °C,0.00 GB/s,0.00 %,5.6 %,12.50 %,153.54 W,149.90 W,61.00 °C,1512 MHz,69.90 %,1140 MHz,0.09 GB/s,14.30 %,0.04 GB/s,6.00 %,1140 MHz,16,4
2025-05-07 16:40:31.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.1 %,30.38 %,100.00 %,0.00 GB/s,9.13 W,63.00 °C,0.00 GB/s,0.00 %,5.6 %,12.40 %,88.98 W,155.56 W,61.00 °C,1512 MHz,91.80 %,1140 MHz,0.08 GB/s,17.50 %,0.04 GB/s,6.00 %,1140 MHz,16,4
2025-05-07 16:40:31.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,30.38 %,99.90 %,0.00 GB/s,9.25 W,64.00 °C,0.00 GB/s,22.00 %,5.6 %,12.40 %,307.15 W,151.12 W,63.00 °C,1512 MHz,92.40 %,1155 MHz,0.08 GB/s,17.00 %,0.05 GB/s,98.00 %,1155 MHz,16,4
2025-05-07 16:40:31.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,2.8 %,73.85 %,100.00 %,0.00 GB/s,8.93 W,64.00 °C,0.00 GB/s,22.00 %,5.6 %,12.50 %,318.80 W,151.64 W,63.00 °C,1512 MHz,70.00 %,1065 MHz,0.09 GB/s,13.80 %,0.05 GB/s,98.00 %,1065 MHz,16,4
2025-05-07 16:40:31.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.3 %,73.85 %,100.00 %,0.00 GB/s,9.41 W,64.00 °C,0.00 GB/s,34.00 %,5.6 %,12.50 %,331.98 W,136.10 W,63.00 °C,1512 MHz,69.90 %,1080 MHz,0.09 GB/s,15.00 %,0.04 GB/s,100.00 %,1080 MHz,16,4
2025-05-07 16:40:31.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,73.85 %,100.00 %,0.00 GB/s,9.21 W,65.00 °C,0.00 GB/s,34.00 %,5.6 %,12.40 %,304.43 W,126.89 W,63.00 °C,1512 MHz,91.20 %,1155 MHz,0.08 GB/s,15.50 %,0.04 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:31.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.4 %,73.85 %,100.00 %,0.00 GB/s,9.20 W,65.00 °C,0.00 GB/s,23.00 %,5.6 %,12.30 %,293.22 W,116.73 W,63.00 °C,1512 MHz,90.30 %,1155 MHz,0.08 GB/s,16.50 %,0.04 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:31.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.0 %,75.93 %,100.00 %,0.00 GB/s,9.20 W,65.00 °C,0.00 GB/s,23.00 %,5.6 %,12.50 %,279.26 W,113.10 W,63.00 °C,1512 MHz,69.90 %,1095 MHz,0.05 GB/s,13.00 %,0.03 GB/s,100.00 %,1095 MHz,16,4
2025-05-07 16:40:32.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,5.0 %,75.93 %,100.00 %,0.00 GB/s,9.29 W,64.00 °C,0.00 GB/s,23.00 %,5.6 %,12.40 %,278.51 W,129.22 W,65.00 °C,1512 MHz,91.70 %,1155 MHz,0.08 GB/s,17.70 %,0.04 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:32.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,4.9 %,75.93 %,99.90 %,0.00 GB/s,9.18 W,65.00 °C,0.00 GB/s,31.00 %,5.6 %,12.50 %,278.51 W,151.04 W,65.00 °C,1512 MHz,91.10 %,1155 MHz,0.08 GB/s,18.10 %,0.04 GB/s,100.00 %,1155 MHz,16,4
2025-05-07 16:40:32.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,3.7 %,78.00 %,100.00 %,0.00 GB/s,9.10 W,65.00 °C,0.00 GB/s,31.00 %,5.6 %,12.50 %,300.73 W,149.64 W,65.00 °C,1512 MHz,69.80 %,1065 MHz,0.09 GB/s,14.30 %,0.05 GB/s,100.00 %,1065 MHz,16,4
