timestamp,task_name,name,index,temperature.memory,utilization.memory [%],dram_usage,pcie.link.gen.current,nvlink_tx_bytes,tensor_active,dram_active,usage.memory [%],sm_active,pcie_tx_bytes,cpu_power,clocks.current.sm [MHz],cpu_usage,dram_power,power.draw [W],pcie.link.width.current,sm_occupancy,nvlink_rx_bytes,utilization.gpu [%],pcie_rx_bytes,clocks.current.graphics [MHz],temperature.gpu,clocks.current.memory [MHz]
2025-05-07 16:41:24.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,61.00 °C,0.00 %,5.4 %,4,0.00 GB/s,0.00 %,0.00 %,17.23 %,0.00 %,0.12 GB/s,153.88 W,1410 MHz,2.2 %,9.43 W,81.52 W,16,0.00 %,0.00 GB/s,0.00 %,0.05 GB/s,1410 MHz,59.00 °C,1512 MHz
2025-05-07 16:41:24.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,61.00 °C,0.00 %,5.4 %,4,0.00 GB/s,0.00 %,0.00 %,17.26 %,0.00 %,0.12 GB/s,151.94 W,1410 MHz,4.3 %,9.24 W,82.70 W,16,0.00 %,0.00 GB/s,0.00 %,0.05 GB/s,1410 MHz,59.00 °C,1512 MHz
2025-05-07 16:41:24.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,61.00 °C,0.00 %,5.5 %,4,0.00 GB/s,0.00 %,0.00 %,20.45 %,0.00 %,0.12 GB/s,154.71 W,1410 MHz,4.3 %,9.22 W,93.33 W,16,0.00 %,0.00 GB/s,0.00 %,0.05 GB/s,1410 MHz,59.00 °C,1512 MHz
2025-05-07 16:41:24.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,61.00 °C,0.00 %,5.5 %,4,0.00 GB/s,0.00 %,0.00 %,20.45 %,0.00 %,0.12 GB/s,154.75 W,1410 MHz,3.0 %,9.15 W,107.95 W,16,0.00 %,0.00 GB/s,6.00 %,0.05 GB/s,1410 MHz,59.00 °C,1512 MHz
2025-05-07 16:41:24.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,61.00 °C,0.00 %,5.6 %,4,0.00 GB/s,70.00 %,13.50 %,23.93 %,100.00 %,0.09 GB/s,149.32 W,1410 MHz,3.1 %,9.20 W,83.07 W,16,12.50 %,0.00 GB/s,6.00 %,0.05 GB/s,1410 MHz,59.00 °C,1512 MHz
2025-05-07 16:41:24.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,61.00 °C,0.00 %,5.6 %,4,0.00 GB/s,70.10 %,14.00 %,30.38 %,100.00 %,0.09 GB/s,147.74 W,1170 MHz,3.1 %,9.05 W,417.96 W,16,12.50 %,0.00 GB/s,6.00 %,0.05 GB/s,1170 MHz,63.00 °C,1512 MHz
2025-05-07 16:41:24.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,4.00 %,5.6 %,4,0.00 GB/s,93.30 %,16.60 %,30.38 %,99.90 %,0.08 GB/s,135.96 W,1155 MHz,3.4 %,9.13 W,281.64 W,16,12.40 %,0.00 GB/s,5.00 %,0.05 GB/s,1155 MHz,64.00 °C,1512 MHz
2025-05-07 16:41:24.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,4.00 %,5.6 %,4,0.00 GB/s,4.20 %,37.90 %,71.78 %,100.00 %,0.08 GB/s,153.74 W,1065 MHz,5.2 %,9.23 W,281.64 W,16,92.30 %,0.00 GB/s,5.00 %,0.05 GB/s,1065 MHz,65.00 °C,1512 MHz
2025-05-07 16:41:24.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,30.00 %,5.6 %,4,0.00 GB/s,69.90 %,13.20 %,73.85 %,100.00 %,0.09 GB/s,155.65 W,1065 MHz,5.0 %,9.25 W,284.63 W,16,12.50 %,0.00 GB/s,100.00 %,0.05 GB/s,1065 MHz,64.00 °C,1512 MHz
2025-05-07 16:41:24.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,30.00 %,5.6 %,4,0.00 GB/s,90.40 %,19.20 %,73.85 %,99.90 %,0.08 GB/s,150.79 W,1170 MHz,6.2 %,9.17 W,293.02 W,16,12.50 %,0.00 GB/s,100.00 %,0.04 GB/s,1170 MHz,65.00 °C,1512 MHz
