timestamp,task_name,name,index,pcie.link.gen.current,temperature.gpu,clocks.current.memory [MHz],cpu_usage,nvlink_rx_bytes,clocks.current.graphics [MHz],dram_usage,clocks.current.sm [MHz],power.draw [W],sm_occupancy,nvlink_tx_bytes,cpu_power,utilization.memory [%],pcie_rx_bytes,pcie_tx_bytes,usage.memory [%],pcie.link.width.current,dram_power,temperature.memory,utilization.gpu [%],sm_active,tensor_active,dram_active
2025-05-07 17:15:12.9,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.5 %,0.00 GB/s,210 MHz,4.6 %,210 MHz,43.09 W,0.00 %,0.00 GB/s,132.65 W,0.00 %,0.04 GB/s,0.09 GB/s,0.00 %,16,9.22 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:13.0,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,2.5 %,0.00 GB/s,210 MHz,4.6 %,210 MHz,43.09 W,0.00 %,0.00 GB/s,146.67 W,0.00 %,0.04 GB/s,0.09 GB/s,0.00 %,16,9.06 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:13.1,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,2.2 %,0.00 GB/s,210 MHz,4.6 %,210 MHz,44.59 W,0.00 %,0.00 GB/s,147.13 W,0.00 %,0.04 GB/s,0.09 GB/s,0.00 %,16,9.19 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:13.2,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,0.3 %,0.00 GB/s,1290 MHz,4.6 %,1290 MHz,44.58 W,0.00 %,0.00 GB/s,147.36 W,0.00 %,0.05 GB/s,0.12 GB/s,0.00 %,16,9.06 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:13.3,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,4.0 %,0.00 GB/s,1290 MHz,4.6 %,1290 MHz,44.58 W,0.00 %,0.00 GB/s,149.73 W,0.00 %,0.05 GB/s,0.11 GB/s,0.00 %,16,9.17 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:13.4,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.9 %,0.00 GB/s,1290 MHz,4.6 %,1290 MHz,61.31 W,0.00 %,0.00 GB/s,146.19 W,0.00 %,0.05 GB/s,0.11 GB/s,0.00 %,16,9.09 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:13.5,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,2.1 %,0.00 GB/s,1290 MHz,4.6 %,1290 MHz,63.49 W,0.00 %,0.00 GB/s,143.63 W,0.00 %,0.05 GB/s,0.11 GB/s,0.00 %,16,9.19 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:13.6,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,1.9 %,0.00 GB/s,1290 MHz,4.6 %,1290 MHz,63.39 W,0.00 %,0.00 GB/s,141.57 W,0.00 %,0.05 GB/s,0.11 GB/s,0.00 %,16,9.19 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:13.7,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,3.1 %,0.00 GB/s,1290 MHz,4.6 %,1290 MHz,63.39 W,0.00 %,0.00 GB/s,142.27 W,0.00 %,0.05 GB/s,0.11 GB/s,0.00 %,16,9.32 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
2025-05-07 17:15:13.8,sleep,NVIDIA A800 80GB PCIe,0,4,31.00 °C,1512 MHz,2.5 %,0.00 GB/s,1290 MHz,4.6 %,1290 MHz,63.39 W,0.00 %,0.00 GB/s,136.13 W,0.00 %,0.05 GB/s,0.11 GB/s,0.00 %,16,9.23 W,33.00 °C,0.00 %,0.00 %,0.00 %,0.00 %
