timestamp,task_name,name,index,cpu_power,sm_occupancy,cpu_usage,clocks.current.sm [MHz],pcie.link.gen.current,sm_active,clocks.current.memory [MHz],pcie_rx_bytes,pcie.link.width.current,clocks.current.graphics [MHz],temperature.gpu,dram_usage,pcie_tx_bytes,dram_active,usage.memory [%],nvlink_rx_bytes,utilization.memory [%],tensor_active,nvlink_tx_bytes,temperature.memory,power.draw [W],dram_power,utilization.gpu [%]
2025-05-07 17:15:45.2,sleep,NVIDIA A800 80GB PCIe,0,84.21 W,0.00 %,2.5 %,210 MHz,4,0.00 %,1512 MHz,0.03 GB/s,16,210 MHz,31.00 °C,4.6 %,0.08 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,43.51 W,9.29 W,0.00 %
2025-05-07 17:15:45.4,sleep,NVIDIA A800 80GB PCIe,0,83.61 W,0.00 %,3.7 %,210 MHz,4,0.00 %,1512 MHz,0.03 GB/s,16,210 MHz,31.00 °C,4.6 %,0.08 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,43.51 W,9.39 W,0.00 %
2025-05-07 17:15:45.5,sleep,NVIDIA A800 80GB PCIe,0,84.24 W,0.00 %,2.2 %,210 MHz,4,0.00 %,1512 MHz,0.03 GB/s,16,210 MHz,31.00 °C,4.6 %,0.09 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,44.60 W,9.22 W,0.00 %
2025-05-07 17:15:45.7,sleep,NVIDIA A800 80GB PCIe,0,81.94 W,0.00 %,1.2 %,1035 MHz,4,0.00 %,1512 MHz,0.03 GB/s,16,1035 MHz,32.00 °C,4.6 %,0.09 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,49.42 W,9.48 W,0.00 %
2025-05-07 17:15:45.8,sleep,NVIDIA A800 80GB PCIe,0,83.17 W,0.00 %,2.2 %,1035 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1035 MHz,32.00 °C,4.6 %,0.09 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,49.42 W,9.33 W,0.00 %
2025-05-07 17:15:45.9,sleep,NVIDIA A800 80GB PCIe,0,83.10 W,0.00 %,1.6 %,1035 MHz,4,0.00 %,1512 MHz,0.03 GB/s,16,1035 MHz,32.00 °C,4.6 %,0.09 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,51.30 W,9.23 W,0.00 %
2025-05-07 17:15:46.0,sleep,NVIDIA A800 80GB PCIe,0,82.41 W,0.00 %,0.6 %,1215 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1215 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,50.31 W,9.34 W,0.00 %
2025-05-07 17:15:46.1,sleep,NVIDIA A800 80GB PCIe,0,83.00 W,0.00 %,1.6 %,1215 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1215 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,50.31 W,9.23 W,0.00 %
2025-05-07 17:15:46.2,sleep,NVIDIA A800 80GB PCIe,0,82.35 W,0.00 %,0.9 %,1215 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1215 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,58.98 W,9.25 W,0.00 %
2025-05-07 17:15:46.3,sleep,NVIDIA A800 80GB PCIe,0,84.19 W,0.00 %,10.9 %,1215 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1215 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,58.98 W,9.27 W,0.00 %
2025-05-07 17:15:46.4,sleep,NVIDIA A800 80GB PCIe,0,84.16 W,0.00 %,3.4 %,1215 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1215 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,58.88 W,9.49 W,0.00 %
2025-05-07 17:15:46.5,sleep,NVIDIA A800 80GB PCIe,0,84.45 W,0.00 %,1.9 %,1215 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1215 MHz,32.00 °C,4.6 %,0.09 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,52.36 W,9.20 W,0.00 %
2025-05-07 17:15:46.6,sleep,NVIDIA A800 80GB PCIe,0,83.71 W,0.00 %,0.3 %,1215 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1215 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,58.10 W,9.28 W,0.00 %
2025-05-07 17:15:46.8,sleep,NVIDIA A800 80GB PCIe,0,82.78 W,0.00 %,1.9 %,1215 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1215 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,52.39 W,9.27 W,0.00 %
2025-05-07 17:15:46.9,sleep,NVIDIA A800 80GB PCIe,0,82.23 W,0.00 %,1.8 %,1215 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1215 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,56.12 W,9.13 W,0.00 %
2025-05-07 17:15:47.0,sleep,NVIDIA A800 80GB PCIe,0,81.37 W,0.00 %,0.6 %,1215 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1215 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,54.54 W,9.16 W,0.00 %
2025-05-07 17:15:47.1,sleep,NVIDIA A800 80GB PCIe,0,82.38 W,0.00 %,1.2 %,1215 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1215 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,52.86 W,9.34 W,0.00 %
2025-05-07 17:15:47.2,sleep,NVIDIA A800 80GB PCIe,0,83.02 W,0.00 %,0.9 %,1215 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1215 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,57.01 W,9.29 W,0.00 %
2025-05-07 17:15:47.3,sleep,NVIDIA A800 80GB PCIe,0,81.78 W,0.00 %,1.9 %,1215 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1215 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,53.86 W,9.38 W,0.00 %
2025-05-07 17:15:47.4,sleep,NVIDIA A800 80GB PCIe,0,83.06 W,0.00 %,0.6 %,1215 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1215 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,58.99 W,9.26 W,0.00 %
2025-05-07 17:15:47.5,sleep,NVIDIA A800 80GB PCIe,0,83.85 W,0.00 %,0.9 %,1215 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1215 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,53.76 W,9.36 W,0.00 %
2025-05-07 17:15:47.6,sleep,NVIDIA A800 80GB PCIe,0,83.10 W,0.00 %,3.7 %,1215 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1215 MHz,32.00 °C,4.6 %,0.10 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,57.40 W,9.42 W,0.00 %
2025-05-07 17:15:47.7,sleep,NVIDIA A800 80GB PCIe,0,83.84 W,0.00 %,1.5 %,1215 MHz,4,0.00 %,1512 MHz,0.04 GB/s,16,1215 MHz,32.00 °C,4.6 %,0.09 GB/s,0.00 %,0.00 %,0.00 GB/s,0.00 %,0.00 %,0.00 GB/s,35.00 °C,58.98 W,9.48 W,0.00 %
