timestamp,task_name,name,index,nvlink_tx_bytes,clocks.current.memory [MHz],nvlink_rx_bytes,pcie_tx_bytes,sm_occupancy,clocks.current.sm [MHz],clocks.current.graphics [MHz],pcie.link.gen.current,temperature.gpu,pcie_rx_bytes,tensor_active,temperature.memory,sm_active,dram_power,power.draw [W],pcie.link.width.current,usage.memory [%],dram_usage,utilization.memory [%],cpu_power,cpu_usage,utilization.gpu [%],dram_active
2025-05-07 17:16:50.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.09 GB/s,0.00 %,1140 MHz,1140 MHz,4,32.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.45 W,49.03 W,16,0.00 %,4.6 %,0.00 %,82.01 W,1.5 %,0.00 %,0.00 %
2025-05-07 17:16:50.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.08 GB/s,0.00 %,1140 MHz,1140 MHz,4,32.00 °C,0.03 GB/s,0.00 %,35.00 °C,0.00 %,9.39 W,49.22 W,16,0.00 %,4.6 %,0.00 %,83.08 W,0.6 %,0.00 %,0.00 %
2025-05-07 17:16:50.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.08 GB/s,0.00 %,240 MHz,240 MHz,4,32.00 °C,0.03 GB/s,0.00 %,35.00 °C,0.00 %,9.34 W,48.33 W,16,0.00 %,4.6 %,0.00 %,80.95 W,2.5 %,0.00 %,0.00 %
2025-05-07 17:16:50.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.08 GB/s,0.00 %,225 MHz,225 MHz,4,32.00 °C,0.03 GB/s,0.00 %,35.00 °C,0.00 %,9.42 W,45.28 W,16,0.00 %,4.6 %,0.00 %,83.05 W,3.1 %,0.00 %,0.00 %
2025-05-07 17:16:50.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,225 MHz,225 MHz,4,32.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.35 W,45.37 W,16,0.00 %,4.7 %,0.00 %,84.42 W,1.2 %,0.00 %,0.00 %
2025-05-07 17:16:51.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1140 MHz,1140 MHz,4,32.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.26 W,45.37 W,16,0.00 %,4.6 %,0.00 %,81.38 W,2.2 %,0.00 %,0.00 %
2025-05-07 17:16:51.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.09 GB/s,0.00 %,1140 MHz,1140 MHz,4,32.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.21 W,52.37 W,16,0.00 %,4.6 %,0.00 %,82.70 W,1.9 %,0.00 %,0.00 %
2025-05-07 17:16:51.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1140 MHz,1140 MHz,4,32.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.30 W,50.50 W,16,0.00 %,4.6 %,0.00 %,83.76 W,0.6 %,0.00 %,0.00 %
2025-05-07 17:16:51.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1140 MHz,1140 MHz,4,32.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.32 W,50.50 W,16,0.00 %,4.6 %,0.00 %,84.15 W,2.2 %,0.00 %,0.00 %
2025-05-07 17:16:51.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.09 GB/s,0.00 %,1140 MHz,1140 MHz,4,32.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.47 W,54.73 W,16,0.00 %,4.6 %,0.00 %,83.11 W,5.9 %,0.00 %,0.00 %
2025-05-07 17:16:51.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1260 MHz,1260 MHz,4,32.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.63 W,51.29 W,16,0.00 %,4.6 %,0.00 %,82.69 W,5.8 %,0.00 %,0.00 %
2025-05-07 17:16:51.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1260 MHz,1260 MHz,4,32.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.32 W,51.40 W,16,0.00 %,4.6 %,0.00 %,83.88 W,3.1 %,0.00 %,0.00 %
2025-05-07 17:16:51.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1260 MHz,1260 MHz,4,32.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.27 W,56.02 W,16,0.00 %,4.6 %,0.00 %,82.89 W,1.9 %,0.00 %,0.00 %
2025-05-07 17:16:51.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.09 GB/s,0.00 %,1260 MHz,1260 MHz,4,32.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.33 W,55.92 W,16,0.00 %,4.6 %,0.00 %,82.68 W,0.6 %,0.00 %,0.00 %
2025-05-07 17:16:52.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1260 MHz,1260 MHz,4,32.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.23 W,55.92 W,16,0.00 %,4.6 %,0.00 %,81.83 W,1.9 %,0.00 %,0.00 %
2025-05-07 17:16:52.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1260 MHz,1260 MHz,4,32.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.38 W,61.56 W,16,0.00 %,4.6 %,0.00 %,83.06 W,1.8 %,0.00 %,0.00 %
2025-05-07 17:16:52.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.09 GB/s,0.00 %,1260 MHz,1260 MHz,4,32.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.18 W,57.11 W,16,0.00 %,4.6 %,0.00 %,82.98 W,0.6 %,0.00 %,0.00 %
2025-05-07 17:16:52.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1260 MHz,1260 MHz,4,32.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.22 W,57.11 W,16,0.00 %,4.6 %,0.00 %,84.25 W,1.9 %,0.00 %,0.00 %
2025-05-07 17:16:52.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1260 MHz,1260 MHz,4,32.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.14 W,60.67 W,16,0.00 %,4.6 %,0.00 %,81.42 W,2.2 %,0.00 %,0.00 %
2025-05-07 17:16:52.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1260 MHz,1260 MHz,4,32.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.27 W,61.84 W,16,0.00 %,4.6 %,0.00 %,82.56 W,1.8 %,0.00 %,0.00 %
2025-05-07 17:16:52.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1260 MHz,1260 MHz,4,32.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.14 W,61.75 W,16,0.00 %,4.6 %,0.00 %,83.02 W,4.1 %,0.00 %,0.00 %
2025-05-07 17:16:52.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1260 MHz,1260 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.42 W,61.75 W,16,0.00 %,4.6 %,0.00 %,83.46 W,3.7 %,0.00 %,0.00 %
2025-05-07 17:16:52.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1260 MHz,1260 MHz,4,32.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.28 W,61.72 W,16,0.00 %,4.6 %,0.00 %,83.93 W,3.4 %,0.00 %,0.00 %
2025-05-07 17:16:52.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1260 MHz,1260 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.16 W,61.84 W,16,0.00 %,4.6 %,0.00 %,82.40 W,1.5 %,0.00 %,0.00 %
2025-05-07 17:16:53.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1260 MHz,1260 MHz,4,32.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.19 W,61.84 W,16,0.00 %,4.6 %,0.00 %,85.99 W,3.1 %,0.00 %,0.00 %
2025-05-07 17:16:53.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1260 MHz,1260 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.22 W,58.10 W,16,0.00 %,4.6 %,0.00 %,83.00 W,1.5 %,0.00 %,0.00 %
2025-05-07 17:16:53.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1395 MHz,1395 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.17 W,65.96 W,16,0.00 %,4.6 %,0.00 %,82.97 W,0.6 %,0.00 %,0.00 %
2025-05-07 17:16:53.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1395 MHz,1395 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.15 W,64.18 W,16,0.00 %,4.6 %,0.00 %,82.81 W,0.6 %,0.00 %,0.00 %
2025-05-07 17:16:53.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1395 MHz,1395 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.31 W,64.18 W,16,0.00 %,4.6 %,0.00 %,82.24 W,2.5 %,0.00 %,0.00 %
2025-05-07 17:16:53.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1395 MHz,1395 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.41 W,64.08 W,16,0.00 %,4.6 %,0.00 %,81.08 W,1.5 %,0.00 %,0.00 %
